Protein/gene	Accession number	Change  between passages	Function
Metalloproteinase inhibitor 3 precursor, tissue inhibitor of metalloproteinases 3 (TIMP-3), mitogen-inducible gene 5 (MIG5)	Z30183	0.4	Oncogenes and tumor suppressors
Synapse-associated protein 102 (SAP102), neuroendocrine-DLG (NE-DLG, DLG3, human homolog of Drosophila discs large (DLG))1	U49089	0.4	Oncogenes and tumor suppressors
SARP3	AF017988	0.4	Oncogenes and tumor suppressors
Fibronectin receptor alpha subunit (FNRA), integrin  alpha 5 (ITGA5), VLA5, CD49E antigen	X06256	0.4	Cell adhesion receptor proteins
Cadherin 8 (CDH8)1	L34060	0.4	Cell adhesion receptor proteins
Zyxin-related protein ZRP-1	AF000974	0.4	Cell adhesion receptor proteins
ERK-1 (p44-ERK-1), microtubule-associated protein 2 kinase, insulin-stimulated MAP2 kinase, MAPK-1 (044-MAPK), PRKM3	X60188	0.2	Cell cycle
ERK-3, MAPK3 (p97-MAPK), PRKM5	X80692	0.3	Cell cycle
MEKK-3	U78876	0.3	Cell cycle
Cell division protein kinase 8 (CDK-8), protein kinase K35	X85753	0.4	Cell cycle
ERK-5, BMK1 kinase	U25278	0.4	Cell cycle
Serine/threonine-protein kinase NEK3, NIMA-related protein kinase 3, HSPK 36	Z29067	0.4	Cell cycle
G2/mitosis-specific cyclin A (CCNA, CCN1)	X51688	0.4	Cell cycle
Protein D123	D14878	0.3	Cell cycle
IMP dehydrogenase 1	J05272	0.3	Cell cycle
Bullous pemphigoid antigen 1 (BPAG1, BPA), hemidesmosomal plaque protein	M63618	0.4	Cell cycle
G2/mitosis-specific cyclin G1 (CCNG1, CYCG1)1	U47413	0.2	Cell cycle
CDC-like kinase 1 (CLK1)1	L29222	0.4	Cell cycle
P73 (monoallelically expressed p53-related protein)1	Y11416	0.5	Cell cycle
MDM2-like p53-binding protein (MDMX)	AF007111	0.5	Cell cycle
Probable G protein–coupled receptor GPR4, GPR19	U21051	0.4	Cell receptors
IgG receptor FC large subunit P51 precursor (FCRN), neonatal FC receptor, IgG FC fragment receptor transporter alpha Chain	U12255	0.4	Cell receptors
Oncostatin M-specific receptor Beta subunit	U60805	0.5	Cell receptors
Keratinocyte growth factor receptor (KGFR), fibroblast growth factor receptor 2 (FGFR2) + soluble KGFR + FGF-BEK, heparin-binding growth factor receptor K-sam (HGFR K-sam) + secreted FGFR K-sam-III + secreted FGFR K-sam-IV	M80634 + U11814 + X52832, M35718 + M87771 + M87772	0.4	Cell receptors
Histamine H1 receptor (HRH1)1	D28481	0.5	Cell receptors
IFN-gamma receptor (IFNR- gamma, IFNGR1), CDW119 antigen	J03143	0.4	Cell receptors
Vascular endothelial growth factor C precursor (VEGF-C), vascular endothelial growth	U43142	0.3	Cell signaling, extracellular communication
factor related protein (VRP), FLT4 ligand	Y00064	0.4	Cell signaling, extracellular communication
Secretogranin I precursor (SGI), chromogranin B1 Wnt-10B precursor, Wnt-121	X97057	0.4	Cell signaling, extracellular communication
Semaphorin	U33920	0.4	Cell signaling, extracellular communication
Ephrin-B2 precursor, EPH-related receptor tyrosine kinase ligand 5 (LERK-5), HTK ligand (HTK-L)	L38734	0.5	Cell signaling, extracellular communication
T-cell surface glycoprotein E2 precursor, CD99 antigen, MIC-2 protein	M16279	0.3	Cell-surface antigens
Type II cytoskeletal 2 epidermal keratin (KRT2E), cytokeratin 2E (K2E, CK2E)	M99061, S43646	0.3	Cytoskeleton-motility proteins
Vimentin (VIM)	X56134, M14144	0.4	Cytoskeleton-motility proteins
Type I cytoskeletal 16 keratin, cytokeratin 16 (K16, CK16), pseudokeratin K16 type I	M21772, M20336	0.4	Cytoskeleton-motility proteins
Zyxin + zyxin-2	X94991, X95735	0.3	Cytoskeleton-motility proteins
DNA-binding protein CPBP	U44975	0.5	DNA binding and chromatin proteins
Laminin  Beta 2-subunit precursor (laminin B2, LAMB2), S-laminin	S77512	0.3	Extracellular matrix proteins
Heparan sulfate proteoglycan (HSPG2)	M85289	0.3	Extracellular matrix proteins
PIG121	AF010316	0.4	Functionally unclassified proteins
KIAA02041	D86959	0.5	Functionally unclassified proteins
