GeneSymbol	Number	Gene Description	Gbm/MmRatio	Frequency	Pvalue
CDH3	AA425556	Cadherin3,type1,P-cadherin(placental)	0.014	1	0.000047
DSG2	W37448	Desmoglein2	0.041	—	0.000047
PCDH17	AA669075	Protocadherin17	8	—	0.000047
CDH2	W49619	Cadherin2,type2,N-cadherin(neuronal)	19.7	3	0.000047
PCDH1	R77512	Protocadherin1(cadherin-like1)	5	1	0.000047
CDH10	R14164	Cadherin10,type2(T2-cadherin)	4	—	0.000047
PCDH9	R38168	Protocadherin9	17	—	0.000047
CDH5	H02884	Cadherin5,type2,VE-cadherin(vascularepithelium)	0.2	—	0.000047
CDH1	AI671174	Cadherin1,type1,E-cadherin(epithelial)	0.052	2	0.000047
CDH11	AA136983	Cadherin11,type2,OB-cadherin(osteoblast)	0.22	—	0.000047
FMOD	AA486471	Fibromodulin	0.14	—	0.00008
PRELP	AA131664	Proline/Arginine-richendLeucine-richrepeatprotein	0.042	9	0.00008
OMD	N32201	Osteomodulin	0.011	5	0.00008
BGN	BE262957	Biglycan	0.41	—	0.00008
OGN	AA045327	Osteoglycin(osteoinductivefactor,mimecan)	0.005	1	0.00008
DSCAM	N64532	Downsyndromecelladhesionmolecule	10	1	0.00009
GHR	AA775738	Growthhormonereceptor	0.34	1	0.00009
IL6ST	AA775738	Interleukin6signaltransducer(GP130,OncostatinM  receptor)	0.52	2	0.00009
IFNGR1	BE973918	Interferongreceptor1	0.21	—	0.00009
LEPR	H51066	Leptinreceptor	0.35	1	0.00009
AGTRL1	R58969	AngiotensinIIreceptor-like1	21	1	0.00014
GPM6A	AA448033	GlycoproteinM6A	90	3	0.00014
GPR4	AI492409	Gprotein-coupledreceptor4	0.15	—	0.00014
TMA4SF7	AA100696	Tetraspanin4	0.13	2	0.00014
SDC2	H64346	Syndecan2(heparinsulfateproteoglycan1,cellsurface- associated,fibroglycan)	0.042	1	0.00014
TMA4SF13	W86202	Tetraspanin13	14	2	0.00014
NCAM2	AI306467	Neuralcelladhesionmolecule2	6	4	0.00017
DSCAM	N64532	Downsyndromecelladhesionmolecule	10	1	0.00017
ALCAM	RI3558	Activatedleucocytecelladhesionmolecule	0.092	2	0.00017
JAM2	AA410345	Junctionaladhesionmolecule2	0.094	3	0.00017
JAM3	H73479	Junctionaladhesionmolecule3	0.065	—	0.00017
TUBB4	BX100915	Tubulinb4	8	1	0.00027
TUBA8	BF195571	Tubulina8	6	—	0.00027
TUBA1	AA180912	Tubulina1(testisspecific)	4	1	0.00027
TUBA2	AA426374	Tubulina2	5	1	0.00027
TUBA4A	AA626698	a-TubulinisotypeH2-a	55	—	0.00027
TUBB	AI672565	Tubulinb2A	14	—	0.00027
TUBB2	AI000256	Tubulinb2C	2	2	0.00027
TUBA3	AI865469	Tubulina3	6	2	0.00027
INSR	T47312	Insulinreceptor	0.17	—	0.00083
PDGFRA	H23235	Platelet-derivedgrowthfactorreceptor,apolypeptide	19	—	0.00083
BMPR1A	AA991180	Bonemorphogeneticproteinreceptortype1a	0.42	2	0.00083
KIT	H23235	Hardy-Zuckerman4felinesarcomaviraloncogenehomolog	0.23	—	0.00083
TEK	H02848	Tyrosinekinase,endothelial(venousmalformations,multiple  cutaneous,andmucosal)	0.14	3	0.00083
EPHA7	N91461	EPHreceptorA7	0.031	—	0.00083
