dataset1	gene/protein	hits2	region	up/down3
M	PROK2	36	3p13	up
M	GPR109B	36	12q24.31	up
M	LYZ	36	12q15	up
M	COX-2	36	1q25.2-q25.3	up
M	MNDA	36	1q22	up
M	IL1B	36	2q14	up
M	C5AR1	36	19q13.3-q13.4	up
M	S100A12	36	1q21	up
M	IL8RB	36	2q35	up
M	PAI-2	36	18q21.3	up
M	G0S2	36	1q32.2-q41	up
M	BCL2A1	36	15q24.3	up
M	TNFAIP6	35	2q23.3	up
M	REG1A	34	2p12	up
M	FCGR3B	34	1q23	up
M	TREM1	34	6p21.1	up
M	TMEM71	33	8q24.22	up
M	AQP9	32	15q22.1-q22.2	up
M	CXCL6	31	4q21	up
M	S100A8	29	1q21	up
M	NCF2	29	1q25	up
M	SELE	25	1q22-q25	up
M	REG1B	19	2p12	up
M	KLK11	19	19q13.3-q13.4	down
M	MMP-1	15	11q22.3	up
P	IL-4	36	5q31.1	up
P	ferritin	36	19q13.3-q13.4;11q13	down
P	IL-6	36	7p21	up
P	apolipoproteinH	36	17q23-qter	down
P	EGF	36	4q25	up
P	MMP-2	36	16q13-q21	up
P	TGF®	36	2p13	down
P	lymphotactin	36	1q23	up
P	erythropoietin	34	7q22	up
P	alpha-2macroglobulin	33	12p13.3-p12.3	down
P	GM-CSF	24	5q31.1	up
P	insulin	11	11p15.5	up
