Fisher ratio	Accession number	Abbreviation	Locus	p53 binding site	Function
8.75	M28209	RAB1A	2p14	-1692 to -1662, -722 to -702	Oncogenesis/Signal transduction
6.75	U81006	TM9SF2	13q32.3	-212 to -183, -125 to -101	Endosomal protein
6.61	X81003	PPP1R11	6p21.3	-1572 to -1548	Hemochromatosis candidate gene
6.28	X76228	ATP6V1E1	22q11.1	absent	Molecular transport
6.25	U02680	PTK9	12p11.22	-1850 to -1823, -305 to -283	Signal transduction
5.54	D87446	RW1	2q11.1	-2949 to -2927, -889 to -867, -889 to -863, -889 to -862, -876-844	Unknown
5.12	HG2755-HT2862	PLS3	Xq24	absent	Signal transduction
4.23	M19311	CALM2	2p21	-401 to -377	Signal transduction
4.23	Z12830	SSR1	6p23	-2086 to -2064, -2073 to -2053, -2073 to -2048, -1259 to -1239	Cell proliferation
4.13	L24804	TEBP	12q12	-1189 to -1168	Signal transduction
3.97	U47414	CCNG2	4q13.3	-1713 to -1693	Cell cycle
3.83	X68194	SYPL	7q11.23	-467 to -448	Molecular transport
3.72	D87684	UBXD2	2q14.3	-2115 to -2096	Unknown
3.67	M23294	HEXB	5q13	-1619 to -1597, -1231 to -1203	Metabolism
3.66	X92098	RNP24	12q24.31	absent	Molecular transport
3.64	U62136	UBE2V2	8q11.1	absent	Proteolysis/peptidolysis
3.61	D14658	KIAA0102	11q13.3	absent	Unknown
3.5	U73824	EIF4G2	11p15	absent	Translational modi¢cation
3.47	AF002020	NPC1	18q11-q12	-2712 to -2682, -2711 to -2682	Molecular transport
3.47	U14603	PTP4A2	1p35	-1254 to -1235	Signal transduction
3.43	D13630	BZW1	2q33	-1530 to -1510	Cell cycle
3.4	U86782	POH1	2q24.3	-1478 to -1455	Proteolysis/peptidolysis
3.4	X90872	HSGP25L2G	5q35.3	absent	Molecular transport
3.32	M28713	DIA1	22q13.2-q13.31	absent	Energy pathway
3.16	L38961	ITM1	11q23.3	-2769 to -2747, -2395 to -2372, -2381 to -2358, -2116 to -2086, -2095 to -2063, -1367 to -1341	Transmembrane protein
3.09	M26708	PTMA	2q35-q36	-1738 to -1715, -1352 to -1320	Cell proliferation
3.07	U41766	ADAM9	8p11.21	-412 to -388	Cell motility/cell adhesion
3.03	HG2463-HT2559	CDC42	1p36.1	-2846 to -2826, -1531 to -1501	Miscellaneous
2.99	HG4297-HT4567	PC4	5p13.3	-1919 to -1898, -1011 to -984	Transcription
2.97	M33521	BAT3	6p21.3	-2150 to -2128	Stress response
2.91	Z48042	M11S1	11p13	-639 to -609	Plasma membrane
2.88	M36341	ARF4	3p21.2-p21.1	absent	Signal transduction/metabolism
2.8	U93205	CLIC1	6p22.1-p21.2	-2130 to -2104	Molecular transport
2.76	HG3514-HT3708	TPM3	1q21.2	-2884 to -2863, -2808 to -2784, -2404 to -2382	Oncogenesis
2.73	M75715	ETF1	5q31.1	-2310 to -2291, -2300 to -2281, -1281 to -1260, -388 to -365	Translation
2.68	J03263	LAMP1	13q34	-1258 to -1239	Metastasis
2.67	D49489	P5	2p25.1	-1802 to -1779	Metabolism
2.66	M38591	S100A10	1q21	-2197 to -2177	Cell proliferation
2.61	U18009	VATI	17q21	absent	Molecular transport
2.6	X56468	YWHAQ	2p25.1	absent	Signal transduction/cell cycle
2.57	S65738	DSTN	20p11.23	-1971 to -1946, -1890 to -1869, -1562 to -1537	Cell structure
2.55	D14874	ADM	11p15.4	-1236 to -1204, -301 to -269	Oncogenesis
2.5	D80005	C9orf10	9q22.31	-606 to -580, -200 to -175	Unknown
2.43	Y00282	RPN2	20q12-q13.1	-647 to -628	Metabolism
2.4	D78577	YWHAH	22q12.3	-1637 to -1613, -1637 to -1612, -1588 to -1560, -1038 to -1017, -937 to -917, -937 to -906, -926 to -906	Signal transduction
2.38	M64992	PSMA1	11p15.1	-534 to -513	Proteolysis/peptidolysis
2.37	U02556	TCTE1L	Xp21	absent	Unknown
2.34	V00572	PGK1	Xq13	-1901 to -1877, -1886 to -1867	Signal transduction
2.34	AB000468	RNF4	4p16.3	-2876 to -2854, -2729 to -2704, -602 to -572	Transcription
2.3	X57346	YWHAB	20q13.1	-1127 to -1100	Signal transduction
2.27	U26312	CBX3	7p15.2	ND	DNA binding protein
2.26	X74104	SSR2	1q21-q23	absent	Signal transduction
2.25	D00017	ANXA2	15q21-q22	-2356 to -2329	Cell proliferation
2.23	D86960	KIAA0205	1p36.130-q42.3	absent	Unknown
2.22	U82130	TSG101	11p15	-808 to -785, -498 to -466	Oncogenesis
2.18	X12451	CTSL	9q21-q22	absent	Proteolysis/peptidolysis
2.18	U62389	IDH1	2q33.3	absent	Energy pathway
2.14	J04611	G22P1	22q13.2-q13.31	-1513 to -1482	DNA repair
