Probeset	Gene	Description	p-value
205891_at	ADORA2B	adenosine A2b receptor	1.65347E-12
213434_at	EPIM	epimorphin	2.03526E-12
211475_s_at	BAG1	BCL2-associated athanogene	1.2089E-11
201716_at	SNX1	sorting nexin 1	1.3942E-11
219933_at	GLRX2	glutaredoxin 2	2.82157E-11
204513_s_at	ELMO1	engulfment and cell motility 1	2.92588E-11
203011_at	IMPA1	inositol(myo)-1(or 4)-monophosphatase 1	4.20475E-11
202743_at	PIK3R3	phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)	4.51605E-11
204491_at	PDE4D	Phosphodiesterase 4D, cAMP-specific	8.05036E-11
204000_at	GNB5	guanine nucleotide binding protein (G protein), beta 5	8.7681E-11
204115_at	GNG11	guanine nucleotide binding protein (G protein), gamma 11	1.02678E-10
218913_s_at	GMIP	GEM interacting protein	2.64411E-10
200994_at	IPO7	importin 7	2.65447E-10
202286_s_at	TACSTD2	tumor-associated calcium signal transducer 2	2.75325E-10
209035_at	MDK	midkine (neurite growth-promoting factor 2)	7.31553E-10
218995_s_at	EDN1	endothelin 1	7.75626E-10
219855_at	NUDT11	nudix (nucleoside diphosphate linked moiety X)-type motif 11	8.77697E-10
209678_s_at	PRKCI	protein kinase C, iota	1.04253E-09
202501_at	MAPRE2	microtubule-associated protein, RP/EB family, member 2	2.31343E-09
212117_at	RHOQ	ras homolog gene family, member Q	3.22134E-09
206277_at	P2RY2	purinergic receptor P2Y, G-protein coupled, 2	3.92313E-09
209295_at	TNFRSF10B	tumor necrosis factor receptor superfamily, member 10b	4.33798E-09
205376_at	INPP4B	inositol polyphosphate-4-phosphatase, type II, 105kDa	4.50987E-09
206722_s_at	EDG4	endothelial differentiation, lysophosphatidic acid GPCR,4	7.96715E-09
205673_s_at	ASB9	ankyrin repeat and SOCS box-containing 9	1.24878E-08
201471_s_at	SQSTM1	sequestosome 1	1.34231E-08
204352_at	TRAF5	TNF receptor-associated factor 5	1.46887E-08
206907_at	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9	1.57771E-08
218150_at	ARL5	ADP-ribosylation factor-like 5	2.04888E-08
205459_s_at	NPAS2	neuronal PAS domain protein 2	2.22961E-08
205455_at	MST1R	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)	2.45512E-08
202641_at	ARL3	ADP-ribosylation factor-like 3	2.78193E-08
201667_at	GJA1	gap junction protein, alpha 1, 43kDa (connexin 43)	2.86113E-08
210512_s_at	VEGF	vascular endothelial growth factor	2.90316E-08
212104_s_at	RBM9	RNA binding motif protein 9	5.42805E-08
200762_at	DPYSL2	dihydropyrimidinase-like 2	5.43168E-08
221235_s_at	TGFBRAP1	transforming growth factor, beta receptor associated protein 1	5.51367E-08
211302_s_at	PDE4B	phosphodiesterase 4B, cAMP-specific	5.51731E-08
205080_at	RARB	retinoic acid receptor, beta	7.03586E-08
202266_at	TTRAP	TRAF and TNF receptor associated protein	7.2889E-08
205240_at	GPSM2	G-protein signalling modulator 2 (AGS3-like, C. elegans)	8.30858E-08
213798_s_at	CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)	8.61121E-08
221819_at	RAB35	RAB35, member RAS oncogene family	8.9216E-08
207011_s_at	PTK7	PTK7 protein tyrosine kinase 7	9.78716E-08
204255_s_at	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	1.1087E-07
208864_s_at	TXN	thioredoxin	1.34274E-07
209885_at	RHOD	ras homolog gene family, member D	1.50021E-07
201923_at	PRDX4	peroxiredoxin 4	1.6148E-07
204392_at	CAMK1	calcium/calmodulin-dependent protein kinase I	2.24378E-07
203269_at	NSMAF	neutral sphingomyelinase (N-SMase) activation associated factor	2.59238E-07
