Regulation	Rank	Gene	C-SD	Accession no.	I-R	Unigene
Up	1	Incyte EST	+	NA	13.8	NA
Up	2, 20	RDC1 orphan G-protein-coupled receptor	+&  +4.1	U67784	+8.5,  +4.5	Hs.23016
Up	3	Antigen identified by monoclonal antibody MRC OX-2	NA	AL134591	7.9	Hs.79015
Up	4	Myx RI (myxovirus resistance I, IFN-inducible p78)	+	AF135187	7.7	Hs.76391
Up	5, 42	SISI-3 (STAT-induced STAT inhibitor 3)	NA	AB006967	+7.4,  +2.9	Hs.296176
Up	6	Interferon-induced protein 56	NA	NM_001548	7.2	Hs.20315
Up	7	Interferon-induced transmembrane protein 3 (1-8U)	+	BF033678	6.4	Hs.182241
Up	8	PLAT (tissue plasminogen activator)	NA	M18182	5.8	Hs.274404
Up	9	Mal. T-cell differentiation protein	NA	NM_002371	5.3	Hs.80395
Up	10	Interferon alpha-inducible protein (clone IFI-6-16)	+	BE407364	5.2	Hs.265827
Up	11	IGFBP5 (insulin-like growth factor binding protein 5)	+	AU132011	5.2	Hs.103391
Up	12	Thromboinodulin	$	M16552	4.8	Hs.2030
Up	13	Paired basic amino acid cleaving system 4	+	D28513	4.8	Hs.170414
Up	14	Complement component 1, r subcomponent	NA	M14058	4.6	Hs.1279
Up	15	Nucleoside phosphorylase	NA	BE741350	4.6	Hs.75514
Up	16	2-Macroglobulin	NA	AU119825	4.6	Hs.74561
Up	17	TGF 3	+&  +2.0	X14885	4.5	Hs.2025
Up	18	-Tubulin complex protein 2	+	AF042379	4.5	Hs.13386
Up	19	Interferon-induced transmembrane protein I (9-27)	NA	BF184283	4.5	Hs.146360
Up	21	IL-13	NA	NM_002188	4.4	NA
Up	26	Angiopoietin 2	( +-2.7)	NM_001147	4.1	NA
Up	28	Myx R2 (myxovirus resistance 2)	NA	M30818	3.9	Hs.926
Up	31	HIF-1 hypoxia-induced factor	NA	AF207601	3.8	Hs.197540
Up	37	vEts oncogene transcription factor (E26-2)	NA	AF017257	3.2	Hs.85146
Up	40	STAT-induced STAT inhibitor 2	NA	NM_003877	3	NA
Up	44	IL-1 R (interleukin-1 receptor)	NA	M29492	2.8	Hs.2112
Up	55	TGF receptor  III	NA	AJ25610	2.6	Hs.79059
Down	1	Connective tissue growth factor	+$	U14750	-14.1	Hs.75511
Down	2	Fibronectin 1	+	AW385690	-12.6	Hs.287820
Down	3	BARD1 (BRCA1-associated protein 1)	+	NM_006768	-12.2	Hs.122764
Down	4	Cardiac ankyrin repeat protein	+	X83703	-11.8	Hs.74019
Down	5	PAI-1 plasminogen activator inhibitor, type I	+&  -3.5	J03764	-11.7	Hs.82085
Down	6, 33	DROC downregulated in ovarian cancer I	NA	NM_014890	-7.1,  -3.4	Hs.15432
Down	7	Keratin 7	NA	M13955	-6.7	Hs.23881
Down	8	TC-1, function unknown	+	AK026240	-6.4	Hs.283683
Down	9	Granzyme K (serine protease, granzyme 3; tryptase II)	$	NM_002104	-6.1	Hs.3066
Down	10	Biglycan	+	U82695	-6	NA
Down	11	Solute carrier family 21 (member 3)	NA	NM_005075	-5.8	Hs.46440
Down	12	Connexin 37 (gap junction protein  4)	&  -4.9	AL121988	-5.6	Hs.296310
Down	13	TSP1 thrombospondin 1	+	NM_003246	-5.3	Hs.87409
Down	14	Endothelin 1	+	NM_001955	-5.2	Hs.2271
Down	15	TGF (transforming growth factor)	NA	NM_003236	-5.2	Hs.170009
Down	16	Syndecan 2 (heparan sulfate proteoglycan 1)	$	AK025488	-5.2	Hs.1501
Down	17	MMP2 (matrix metalloproteinase 2, type IV collagenase)	+$	J03210	-5.1	Hs.111301
Down	18	Transgelin	NA	BE378718	-5	Hs.75777
Down	19	4-Integrin ( 4 subunit of VLA-4 receptor)	+	NM_000885	-4.8	Hs.40034
Down	20	BMP4 bone morphogenetic protein 4	&  -7.1	M22490	-4.7	Hs.68879
Down	23	Keratin 7	NA	AA307373	-4.1	Hs.23881
Down	25	Urokinase plasminigen activator	NA	M15476	-3.9	Hs.77274
Down	26	Stromal cell-derived factor 1	+	AL137026	-3.9	Hs.237356
Down	27	GRK4 G-coupled receptor kinase	(&  -4.0)	U27768	-3.9	Hs.227571
Down	40	IGFBP 10 cysteine-rich angiogenic inducer, cyr61	+&  -3.1	Z98053	-3.1	Hs.8867
Down	41	BMSA1 (bone marrow stromal antigen 1)	&  -4.8	AI219377	-3.1	Hs.169998
Down	46	BMP6 bone morphogenic protein	&  -3.1	AA426586	-2.9	Hs.285671
