Category	Gene Description	Log Signal Ratio	Probe Set ID	GenBank ID
Complement component	Complement receptor 2 (CD21)	2	102289_r_at	M29281
Complement component	Complement component 1, q subcomponent, c polypeptide	1.5	92223_at	X66295
Complement component	Properdin factor, complement	1.4	101468_at	X12905
Complement component	Complement component 1, q subcomponent,  polypeptide	1.3	98562_at	X58861
Complement component	Complement component C3	1	93497_at	K02782
Cytokine	CXC chemokine ligand 13 (BLC, BCA-1)	3.4	102025_at	AF030636
Cytokine	CC chemokine ligand 7 (MCP-3)	3.4	94761_at	X70058
Cytokine	CC chemokine ligand 17 (TARC)	1.7	97783_at	AJ242587
Cytokine	EBI3	1.6	93608_at	AF013114
Cytokine	CXC chemokine ligand 12 (stromal cell-derived factor 1- )	1.4	160511_at	L12029
Cytokine	CC chemokine ligand 19	1.4	96950_at	AW120505
Cytokine	Lymphotoxin	1.4	102940_at	U16985
Cytokine	CC chemokine ligand 8 (MCP-2)	1	92459_at	AB023418
Cytokine	CC chemokine ligand 9 (MIP-1)	1	104388_at	U49513
Growth factor	Stem cell growth factor	2.2	103244_at	AB009245
Growth factor	Glycoprotein 39	1.1	99952_at	X93035
Histocompatibility antigen	Histocompatibility 2, class II, locus Mb2	1.5	101868_i_at	X90807
Histocompatibility antigen	Histocompatibility 2, class II, locus Mb1	1.3	98034_at	U35330
Histocompatibility antigen	Histocompatibility 2, class II antigen E	1.2	94285_at	X00958
Histocompatibility antigen	Histocompatibility 2, class II antigen A, 1	1.1	100998_at	M21932
Histocompatibility antigen	Histocompatibility 2, M region locus 2	1.1	101300_at	M26156
Histocompatibility antigen	Histocompatibility 2, class II antigen A,  	1	92866_at	X52643
Metabolic enzyme	Interleukin-four induced gene 1 (Figure 1)	2.1	96515_at	U70430
Metabolic enzyme	7-Dehydrocholesterol reductase	1.5	98989_at	AF057368
Metabolic enzyme	Acid phosphatase 5, tartrate resistant	1.4	98859_at	M99054
Metabolic enzyme	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (Enpp2)	1.3	97317_at	AW122933
Other	Serum amyloid A 3	2	102712_at	X03505
Other	CD72 antigen	1.9	101878_at	J04170
Other	pM1 protein, member of XLR family expressed in lymphoid cells	1.9	92665_f_at	X07967
Other	Mouse endogenous proviral superantigen (Mtv-7 sag)	1.4	92780_f_at	M90535
Other	Lipocalin 2	1.3	160564_at	X81627
Other	S100 calcium-binding protein A4	1.2	99051_at	M36579
Other	CDC46 protein	1.1	100156_at	D26090
Other	GPI-anchored membrane protein 1	1.1	161232_r_at	NM_016739
Other	CD80 antigen	1	104606_at	M55561
Other	CD37 antigen	1	98980_at	U18372
Other	Lymphocyte antigen 6 complex, locus D (Ly-6D)	1	160553_at	X63782
Protease	Macrophage metalloelastase (MMP-12)	1.6	95338_s_at	M82831
Protease	Cathepsin K	1.5	160406_at	AJ006033
Receptor	Bacteria binding macrophage receptor MARCO	2.5	102974_at	U18424
Receptor	CC chemokine receptor 5	1.8	161968_f_at	AV370035
Receptor	Formyl peptide receptor 1	1.4	99387_at	L22181
Receptor	Paired-Ig-like receptor A1	1.4	95784_at	U96682
Receptor	B lymphocyte lineage restricted mb-1 (Ig , CD79a)	1.4	102778_at	X13450
Receptor	G-protein coupled receptor 26	1.3	100435_at	U13370
Receptor	Glial cell line–derived neurotrophic factor family receptor  2	1.2	92449_at	AF002701
Receptor	Polymeric immunoglobulin receptor	1	99926_at	AB001489
Receptor	Lymphocyte antigen 86 (MD-1)	1	94425_at	AB007599
Receptor	B cell-specific glycoprotein B29 (Ig)	1	161012_at	J03857
Signal transduction	Brain immunologic-like with tyrosine-based motifs (BIT)	2.6	95803_at	D85785
Signal transduction	vav-T	1.4	96511_s_at	D83266
Signal transduction	Hematopoietic-specific early-response A1-d	1.2	93869_s_at	U23781
Signal transduction	Neutrophil cytosolic factor 4	1.2	103662_at	U59488
Signal transduction	CD19 antigen	1.1	99945_at	M28240
Signal transduction	CD20 antigen	1.1	99446_at	M62541
Signal transduction	Hematopoietic cell phosphatase	1.1	102851_s_at	M68902
Signal transduction	Hematopoietic-specific early-response A1-b	1.1	102914_s_at	U23778
Signal transduction	B cell linker protein BLNK	1	100772_g_at	AF068182
Signal transduction	Bruton agammaglobulinemia tyrosine kinase	1	92668_at	L10627
Signal transduction	Baculoviral IAP repeat-containing 2	1	160645_at	U88908
Transcription factor	Transcription elongation factor A (SII), 3	2.4	102344_s_at	AI132239
Transcription factor	Lymphoid-specific interferon regulatory factor (LSIRF)	1.6	92737_at	U20949
Transcription factor	B-cell–specific coactivator BOB.1	1.1	93915_at	Z54283
Transcription factor	RelB	1	103091_at	M83380
