Gene_symbol	Description_Ensembl	Numerator(r)	Fold Change	q-value(%)	gene_id	transcript_id	RefSeq	description_RefSeq	GB_accession
15E1_HUMAN	UPF0203 protein 15E1.1 (HSPC132). [Source:Uniprot/SWISSPROT;Acc:O43715]	1.04	2.05	0	ENSG00000170855	ENST00000302432	NM_016399	hypothetical protein HSPC132	-
NA	NA	1.17	2.26	0	NA	NA	NM_015920	ribosomal protein S27-like	-
CCR7	C-C chemokine receptor type 7 precursor (C-C CKR-7) (CC-CKR-7) (CCR-7) (MIP-3 beta receptor) (EBV-induced G protein-coupled receptor 1) (EBI1) (BLR2). [Source:Uniprot/SWISSPROT;Acc:P32248]	0.86	1.81	0	ENSG00000126353	ENST00000246657	NM_001838	chemokine (C-C motif) receptor 7	BC035343
MS4A1	B-lymphocyte antigen CD20 (B-lymphocyte surface antigen B1) (Leu-16) (Bp35). [Source:Uniprot/SWISSPROT;Acc:P11836]	0.6	1.51	0	ENSG00000156738	ENST00000345732	NM_152866	membrane-spanning 4-domains, subfamily A, member 1	X07203
TMEM30A	transmembrane protein 30A; chromosome 6 open reading frame 67 [Homo sapiens]. [Source:RefSeq;Acc:NM_018247]	0.65	1.57	0	ENSG00000112697	ENST00000316076, ENST00000230461	NM_018247	transmembrane protein 30A	AL832815
PLAC8	Placenta-specific gene 8 protein (C15 protein) (BM-004). [Source:Uniprot/SWISSPROT;Acc:Q9NZF1]	0.49	1.41	0	ENSG00000145287	ENST00000311507	NM_016619	placenta-specific 8	CR621787
PLK3	Serine/threonine-protein kinase PLK3 (EC 2.7.1.37) (Polo-like kinase 3) (PLK-3) (Cytokine-inducible serine/threonine-protein kinase) (FGF- inducible kinase) (Proliferation-related kinase). [Source:Uniprot/SWISSPROT;Acc:Q9H4B4]	0.47	1.39	0	ENSG00000173846	ENST00000308348	NM_004073	polo-like kinase 3 (Drosophila)	U56998
NP_848657	NA	0.66	1.58	0	ENSG00000158457	ENST00000289407	NM_178562	hypothetical protein MGC50844	BC044244
NA	NA	0.74	1.67	0	NA	NA	NA	NA	NA
CD83	CD83 antigen precursor (Cell surface protein HB15) (B-cell activation protein). [Source:Uniprot/SWISSPROT;Acc:Q01151]	0.58	1.49	0	ENSG00000112149	ENST00000262078	NM_004233	CD83 antigen (activated B lymphocytes, immunoglobulin superfamily)	BC030830
