Gene Function	Gene Symbol	Gene Description	Accession Number	Expression
GC B cell phenotype	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	AA521434, R99749	Positive
GC B cell phenotype	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2	N74648, AI076225, AI004995, AA703557	Positive
GC B cell phenotype	E2F5	E2F transcription factor 5, p130-binding	AA455521	Positive
GC B cell phenotype	MYBL1 (A-myb)	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	AA911236	Positive
GC B cell phenotype	BCL7A	B-cell CLL/lymphoma 7A	AA281583, AA417616	Positive
GC B cell phenotype	FMR2	fragile X mental retardation 2	AI368687	Positive
GC B cell phenotype	GCET2 (HGAL)	germinal center expressed transcript 2	N69118	Positive
B lineage	PAX5	paired box gene 5 (B-cell lineage specific activator protein)	R16555	Positive
B lineage	ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	AA099595	Positive
B lineage	CD79B	CD79B antigen (immunoglobulin-associated beta)	R72079	Positive
B lineage	BLNK	B-cell linker	AA931361	Positive
B lineage	EBF	early B-cell factor	AA504812, AA917497	Positive
B lineage	PLCG2	phospholipase C, gamma 2 (phosphatidylinositol-specific)	H57180	Positive
B lineage	PILRB	paired immunoglobin-like type 2 receptor beta	AA453028	Positive
B lineage	RGS13	regulator of G-protein signalling 13	H70046	Positive
B lineage	FREB	Fc receptor homolog expressed in B cells	N72999	Positive
Proliferation	CDCA7	cell division cycle associated 7	N38809, AA406348	Positive
Proliferation	ARHH	ras homolog gene family, member H	N90273	Positive
Proliferation	CDC2L5	cell division cycle 2-like 5 (cholinesterase-related cell division controller)	AA489042	Positive
Proliferation	MSF	MLL septin-like fusion	T95297	Positive
Proliferation	RNTRE/ USP6NL	related to the N terminus of tre / usp6 n-term like	AA281057	Positive
Proliferation	TCL6	T-cell leukemia/lymphoma 6	AA286814	Positive
DNA metabolism	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	T97942	Positive
DNA metabolism	PRDM15	PR domain containing 15	AI243521, AA401228	Positive
