Accession No.	Gene Name	Expression in tumor tissue compared to normal lung
AA031770	EST	UP
AA064715	mel transforming oncogene (derived from cell line NK14)- RAB8 homolog	UP
AA232979	Human clone A9A2BR11	UP
AA293744	similar to rat tricarboxylate carrier-like protein	DOWN
AA418670	jun D proto-oncogene	DOWN
AA424735	Phophatidylinositol glycan class A (paroxysmal nocturnal hemogloblinuria) (PIGA)	DOWN
AA425352	EST	DOWN
AA448289	D123 gene product	UP
AA455956	seven in absentia (Drosophila) homolog 1	DOWN
AA456394	four and a half LIM domains 1	DOWN
AA456400	unknown	UP
AA464669	B-cell associated protein	UP
AA488233	papillary renal cell carcinoma (translocation-associated)	UP
AA504442	chaperonin containing TCP1, subunit 4 (delta)	UP
AA598637	splicing factor 30, survival of motor neuron-related	UP
H05577	peptidylprolyl isomerase F (cyclophilin F)	UP
H05580	small nuclear ribonucleoprotein D1 polypeptide (16kD)	UP
H16454	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	UP
H27912	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3	UP
H47080	Homo sapiens, Similar to DKFZP564M2423 protein, clone MGC:684	UP
H53658	Human clone 23933 mRNA sequence	UP
H56918	Human clone 23933 mRNA sequence	UP
H63865	unknown	DOWN
H68845	peroxiredoxin 2	UP
H87496	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kD	DOWN
N52373	MDS023 protein	UP
N52646	KIAA0144 gene product	UP
N54494	carboxypeptidase B-like protein	DOWN
N59119	zinc finger protein 207	UP
N63941		DOWN
R00608	EST	DOWN
R06429	Homo sapiens ubiquitin protein ligase (UBE3B)	UP
R11302	EST	DOWN
R18985	cleavage and polyadenylation specific factor 6, 68kD subunit	UP
R21425	NS1-associated protein 1	UP
R60946	prohibitin	UP
R66896	EST	DOWN
R70784	MCT-1 protein	UP
R72518	secretory carrier membrane protein 3	UP
R91821	EST	DOWN
R98008	Homo sapiens cDNA FLJ11558 fis, clone HEMBA1003086	UP
R98442	UDP-glucose:glycoprotein glucosyltransferase 1	UP
T52435	chloride channel, nucleotide-sensitive, 1A	UP
T62179	FBJ murine osteosarcoma viral oncogene homolog B	DOWN
T63761	uteroglobin	DOWN
T94781	potassium inwardly-rectifying channel, subfamily J, member 15	DOWN
T97478	EST	DOWN
T98253	EST, Weakly similar to aldolase B	UP
T98612	collagen, type III, alpha 1	UP
T98684	chaperonin containing TCP1, subunit 4 (delta)	UP
W32907	Homo sapiens DC49 mRNA	UP
W55872	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	DOWN
W84445	Ras-related associated with diabetes	DOWN
W96134	v-jun avian sarcoma virus 17 oncogene homolog	DOWN
