GenBank ID	Gene title
M14505	Cyclin-dependent kinase 4
X66364	Cyclin-dependent kinase 5
L20320	Cyclin-dependent kinase 7
X80343	Cyclin-dependent kinase 5, regulatory subunit 1 (p35)
L29222	CDC-like kinase 1
L29220	CDC-like kinase 3
X66358	Cyclin-dependent kinase-like 1 (CDC2-related kinase)
X66360	PCTAIRE protein kinase 2
L25676	Cyclin-dependent kinase 9 (CDC2-related kinase)
M74091	Cyclin C
X59798	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)
M90813	Cyclin D2
M73812	Cyclin E1
U47413	Cyclin G1
U22398	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)
U17075	Cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)
X92669	Menage a trois 1 (CAK assembly factor)
U63131	CDC37 cell division cycle 37 homolog (S. cerevisiae)
U77949	CDC6 cell division cycle 6 homolog (S. cerevisiae)
X79483	Mitogen-activated protein kinase 12
L05624	Mitogen-activated protein kinase kinase 1
U39657	Mitogen-activated protein kinase kinase 6
M15796	Proliferating cell nuclear antigen
X74262	Retinoblastoma binding protein 4
S66431	RBP2 retinoblastoma binding protein
X85133	RBQ1 retinoblastoma binding protein
L23959	Transcription factor Dp-1
L29511	Growth factor receptor-bound protein 2
U69276	Growth factor receptor-bound protein 10
M95712	v-raf murine sarcoma viral oncogene homolog B1
D89667	Prefoldin 5
L16785	Nonmetastatic cells 2, protein (NM23B) expressed in
AF010310	Proline dehydrogenase (oxidase) 1
U90313	Glutathione S-transferase-like protein (GSTTLp28)
L22474	BCL2-associated X protein
U23765	BCL2-antagonist/killer 1
U13737	Caspase 3, apoptosis-related cysteine protease
U37448	Caspase 7, apoptosis-related cysteine protease
U56390	Caspase 9, apoptosis-related cysteine protease
U60519	Caspase 10, apoptosis-related cysteine protease
Y10256	Mitogen-activated protein kinase kinase kinase 14
AF015956	Death-associated protein 6
U45878	Baculoviral IAP repeat-containing 3
U45879	Baculoviral IAP repeat-containing 2
L11015	Lymphotoxin beta (TNF superfamily, member 3)
U57059	Tumor necrosis factor (ligand) superfamily, member 10
Y09392	Tumor necrosis factor receptor superfamily, member 25
X76104	Death-associated protein kinase 1
M63167	v-akt murine thymoma viral oncogene homolog 1
S78085	Programmed cell death 2
U56976	Phosphodiesterase 1B, calmodulin-dependent
J03746	Microsomal glutathione S-transferase 1
X79389	Glutathione S-transferase theta 1
S40706	DNA-damage-inducible transcript 3
M60974	Growth arrest and DNA-damage-inducible, alpha
L08096	Tumor necrosis factor (ligand) superfamily, member 7
