Accession #	Description	Tumor/Normal	Chromosomal Location
M57399	Nerve growth factor	-23.2	7q23
J03071	Growth hormone	+23.2	17q22~q24
X57025	Insulin-like growth factor I	-17.4	12q22~q24
M24351	Parathyroid hormone-like protein	-12.3	12p11.23
M22489	Bone morphogenetic protein 2A	+16.7	20p12
J03278	Platelet derived growth factor receptor	-21.8	5q31~q32
L20814	Glutamate receptor 2	+32.5	4q32~q33
U95367	GABA-A receptor pi	-28.0	5q32~q33
M33210	Colony stimulating factor 1 receptor	-20.0	5q33~q34
X59065	Fibroblast growth factor 1	-8.7	5q31
