Probe Set ID	Fold change	P-value	UniGene ID	Gene title	Gene symbol	Chromosome	Function
207574_s_at	3.73213	0.00002	Hs.110571	Growth arrest and DNA-damage-inducible, beta	GADD45B	chr19p13.3	Genes involved in apoptosis
202014_at	3.03143	0.00002	Hs.631593	Protein phosphatase 1, regulatory (inhibitor) subunit 15A	PPP1R15A	chr19q13.2	Genes involved in apoptosis
201635_s_at, 201637_s_at	3.03143	0.00002	Hs.478407	Fragile X mental retardation, autosomal homolog 1	FXR1	chr3q28	Genes involved in apoptosis
216449_x_at	3.73213	0.00002	Hs.192374	Tumor rejection antigen (gp96) 1	TRA1	chr12q24.2-q24.3	Genes involved in apoptosis
200799_at, 200800_s_at	3.03143	0.00002	Hs.520028	Heat shock 70kDa protein 1A	HSPA1A	chr6p21.3	Genes involved in apoptosis
202581_at	9.18959	0.00002	Hs.274402	Heat shock 70kDa protein 1B	HSPA1B	chr6p21.3	Genes involved in apoptosis
202693_s_at	3.4822	0.00002	Hs.268887	Serine/threonine kinase 17a (apoptosis-inducing)	STK17A	chr7p12-p14	Genes involved in apoptosis
222043_at	3.03143	0.000774	Hs.436657	Clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)	CLU	chr8p21-p12	Genes involved in apoptosis
217168_s_at	4	0.00002	Hs.146393	Homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	HERPUD1	chr16q12.2-q13	Genes involved in response to unfolded protein
200664_s_at	4.92458	0.000023	Hs.515210	DnaJ (Hsp40) homolog, subfamily B, member 1	DNAJB1	chr19p13.2	Genes involved in response to unfolded protein
208744_x_at	3.4822	0.00002	Hs.36927	Heat shock 105kDa/110kDa protein 1	HSPH1	chr13q12.3	Genes involved in response to unfolded protein
216449_x_at	3.73213	0.00002	Hs.192374	Tumor rejection antigen (gp96) 1	TRA1	chr12q24.2-q24.3	Genes involved in response to unfolded protein
200799_at, 200800_s_at	3.03143	0.00002	Hs.520028	Heat shock 70kDa protein 1A	HSPA1A	chr6p21.3	Genes involved in response to unfolded protein
202581_at	9.18959	0.00002	Hs.274402	Heat shock 70kDa protein 1B	HSPA1B	chr6p21.3	Genes involved in response to unfolded protein
221667_s_at	4.28709	0.00002	Hs.400095	Heat shock 22kDa protein 8	HSPB8	chr12q24.23	Genes involved in response to unfolded protein
203810_at, 203811_s_at	3.24901	0.00002	Hs.13852	DnaJ (Hsp40) homolog, subfamily B, member 4	DNAJB4	chr1p31.1	Genes involved in response to unfolded protein
117_at, 213418_at	22.6274	0.00002		Heat shock 70kDa protein 6 (HSP70B?)	HSPA6	chr1q23	Genes involved in response to unfolded protein
217168_s_at	4	0.00002	Hs.146393	Homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	HERPUD1	chr16q12.2-q13	Genes involved in cellular protein metabolism
200664_s_at	4.92458	0.000023	Hs.515210	DnaJ (Hsp40) homolog, subfamily B, member 1	DNAJB1	chr19p13.2	Genes involved in cellular protein metabolism
208744_x_at	3.4822	0.00002	Hs.36927	Heat shock 105kDa/110kDa protein 1	HSPH1	chr13q12.3	Genes involved in cellular protein metabolism
216449_x_at	3.73213	0.00002	Hs.192374	Tumor rejection antigen (gp96) 1	TRA1	chr12q24.2-q24.3	Genes involved in cellular protein metabolism
213097_s_at	3.24901	0.00003	Hs.558476	Zuotin related factor 1	ZRF1	chr7q22-q32	Genes involved in cellular protein metabolism
202693_s_at	3.4822	0.00002	Hs.268887	Serine/threonine kinase 17a (apoptosis-inducing)	STK17A	chr7p12-p14	Genes involved in cellular protein metabolism
220030_at	4	0.00002	Hs.24979	serine/threonine/tyrosine kinase 1	STYK1	chr12p13.2	Genes involved in cellular protein metabolism
222162_s_at	3.24901	0.00002	Hs.534115	Disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	ADAMTS1	chr21q21.2	Genes involved in cellular protein metabolism
202842_s_at, 202843_at	4	0.00002	Hs.6790	DnaJ (Hsp40) homolog, subfamily B, member 9	DNAJB9	chr7q31 14q24.2-q24.3	Genes involved in cellular protein metabolism
117_at, 213418_at	22.6274	0.00002		Heat shock 70kDa protein 6 (HSP70B?)	HSPA6	chr1q23	Genes involved in cellular protein metabolism
208785_s_at	4	0.00002	Hs.356061	Microtubule-associated protein 1 light chain 3 beta	MAP1LC3B	chr16q24.2	Genes involved in cellular protein metabolism
212445_s_at	3.03143	0.00002	Hs.185677	Neural precursor cell expressed, developmentally down-regulated 4-like	NEDD4L	chr18q21	Genes involved in cellular protein metabolism
200799_at, 200800_s_at	3.03143	0.00002	Hs.520028	Heat shock 70kDa protein 1A	HSPA1A	chr6p21.3	Genes involved in cellular protein metabolism
202581_at	9.18959	0.00002	Hs.274402	Heat shock 70kDa protein 1B	HSPA1B	chr6p21.3	Genes involved in cellular protein metabolism
204157_s_at	3.03143	0.000552	Hs.167451	KIAA0999 protein	KIAA0999	chr11q23.3	Genes involved in cellular protein metabolism
221667_s_at	4.28709	0.00002	Hs.400095	Heat shock 22kDa protein 8	HSPB8	chr12q24.23	Genes involved in cellular protein metabolism
204106_at	3.03143	0.00002	Hs.79358	Testis-specific kinase 1	TESK1	chr9p13	Genes involved in cellular protein metabolism
203810_at, 203811_s_at	3.24901	0.00002	Hs.13852	DnaJ (Hsp40) homolog, subfamily B, member 4	DNAJB4	chr1p31.1	Genes involved in cellular protein metabolism
209166_s_at	4.59479	0.000618	Hs.356769	Mannosidase, alpha, class 2B, member 1	MAN2B1	chr19cen-q13.1	Genes involved in cellular protein metabolism
208290_s_at, 208708_x_at	4.59479	0.00002	Hs.433702	Eukaryotic translation initiation factor 5	EIF5	chr14q32.32	Genes involved in cellular protein metabolism
202147_s_at	4.28709	0.000046	Hs.7879	Interferon-related developmental regulator 1	IFRD1	chr7q22-q31	Other function
202195_s_at	3.73213	0.00002	Hs.482873	Transmembrane emp24 protein transport domain containing 5	TMED5	chr1pter-q31.3	Other function
202352_s_at	3.24901	0.00002	Hs.4295	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	PSMD12	chr17q24.2	Other function
202679_at	3.03143	0.00002	Hs.464779	Niemann-Pick disease, type C1	NPC1	chr18q11-q12	Other function
203588_s_at	4.28709	0.00002	Hs.379018	Transcription factor Dp-2 (E2F dimerization partner 2)	TFDP2	chr3q23	Other function
204058_at	5.87203	0.000046	Hs.21160	Malic enzyme 1, NADP(+)-dependent, cytosolic	ME1	chr6q12	Other function
206173_x_at	3.4822	0.00002	Hs.511316	GA binding protein transcription factor, beta subunit 2, 47kDa	GABPB2	chr15q21.2	Other function
207526_s_at	3.4822	0.00002	Hs.66	Interleukin 1 receptor-like 1	IL1RL1	chr2q12	Other function
208868_s_at, 208869_s_at, 211458_s_at	11.3137	0.00002	Hs.524250	GABA(A) receptor-associated protein like 1	GABARAPL1	chr12p13.2	Other function
209102_s_at	3.24901	0.00002	Hs.162032	HMG-box transcription factor 1	HBP1	chr7q22-q31	Other function
209383_at	3.03143	0.00002	Hs.505777	DNA-damage-inducible transcript 3	DDIT3	chr12q13.1-q13.2	Other function
217127_at	6.9644	0.00003	Hs.19904	Cystathionase (cystathionine gamma-lyase)	CTH	chr1p31.1	Other function
218645_at	3.73213	0.00002	Hs.489722	Zinc finger protein (C2H2 type) 277	ZNF277	chr7q31.1	Other function
218954_s_at	11.3137	0.00006	Hs.632052	BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like	BRF2	chr8p12	Other function
218964_at	4.59479	0.00002	Hs.10431	AT rich interactive domain 3B (BRIGHT- like)	ARID3B	chr15q24	Other function
219312_s_at	6.06287	0.002032	Hs.591868	Zinc finger and BTB domain containing 10	ZBTB10	chr8q13-q21.1	Other function
219557_s_at	4.92458	0.00002	Hs.523467	Nuclear receptor interacting protein 3	NRIP3	chr11p15.3	Other function
221308_at	6.9644	0.000147	Hs.334831	Fibroblast growth factor receptor substrate 2	FRS2	chr12q15	Other function
222269_at	3.03143	0.000273	Hs.512181	Chromosome X open reading frame 33	CXorf33	chrXq21.1	Other function
36711_at	6.49802	<0.00001	Hs.517617	V-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	MAFF	chr22q13.1	Other function
