MicroRNAs	Hazard	95% CI	p-value	Unique ID
hsa-mir-25	0.44	0.27-0.72	0.001	MIMAT0000081
hsa-mir-191	0.51	0.33-0.79	0.003	MIMAT0000440
hsa-mir-93	0.56	0.37-0.83	0.004	MIMAT0000093
hsa-mir-103-1	0.56	0.37-0.84	0.005	MIMAT0000101
hsa-let-7e	0.45	0.26-0.79	0.006	MIMAT0000066
hsa-mir-502	0.24	0.09-0.66	0.006	MIMAT0002873
hsa-mir-130a	0.31	0.13-0.72	0.006	MIMAT0000425
hsa-mir-557	2.82	1.32-6.03	0.008	MIMAT0003221
hsa-mir-146a	0.61	0.42-0.89	0.01	MIMAT0000449
hsa-mir-26b	0.7	0.53-0.92	0.01	MIMAT0000083
hsa-mir-574	0.4	0.20-0.80	0.01	MIMAT0003239
hsa-mir-638	1.72	1.13-2.60	0.011	MIMAT0003308
hsa-mir-34c	0.32	0.13-0.77	0.011	MIMAT0000686
hsa-mir-34a	0.48	0.27-0.85	0.011	MIMAT0000255
hsa-mir-564	3.81	1.35-10.78	0.012	MIMAT0003228
hsa-mir-107	0.59	0.39-0.89	0.012	MIMAT0000104
hsa-mir-663	1.7	1.12-2.60	0.012	MIMAT0003326
hsa-let-7a-1	0.7	0.53-0.93	0.015	MIMAT0000062
hsa-mir-198	2.82	1.21-6.56	0.016	MIMAT0000228
hsa-mir-134	0.36	0.15-0.85	0.019	MIMAT0000447
hsa-mir-20b	0.64	0.44-0.93	0.02	MIMAT0001413
hsa-mir-513a-1	2.14	1.12-4.08	0.021	MIMAT0002877
hsa-mir-92b	0.58	0.36-0.94	0.026	MIMAT0003218
hsa-mir-17	0.7	0.50-0.97	0.03	MIMAT0000070
hsa-mir-195	0.73	0.55-0.97	0.03	MIMAT0000461
hsa-mir-16-1	0.71	0.52-0.97	0.031	MIMAT0000069
hsa-mir-29b-1	0.74	0.56-0.97	0.031	MIMAT0000100
hsa-mir-215	0.41	0.18-0.93	0.033	MIMAT0000272
hsa-mir-302c	2.54	1.07-6.03	0.034	MIMAT0000716
hsa-let-7g	0.77	0.60-0.98	0.036	MIMAT0000414
hsa-let-7i	0.73	0.53-0.98	0.039	MIMAT0000415
hsa-mir-18a	0.6	0.36-0.98	0.041	MIMAT0001412
hsa-mir-491	1.57	1.01-2.42	0.043	MIMAT0002807
hsa-mir-106a	0.71	0.50-0.99	0.044	MIMAT0000103
hsa-let-7d	0.66	0.44-1.00	0.047	MIMAT0000065
hsa-mir-658	1.88	1.00-3.5	0.049	MIMAT0003336
