UGCluster	Symbol	Name	GOabr
Hs.82302	HS6ST2	heparan sulfate 6-O-sulfotransferase 2	transferase activity
Hs.245644	GCHFR	GTP cyclohydrolase I feedback regulatory protein	NA
Hs.93868	PHF2	PHD finger protein 2	DNA binding|nucleus|regulation of transcription, DNA-dependent
Hs.306123	MAGEF1	melanoma antigen, family F, 1	NA
Hs.437433	C16orf34	chromosome 16 open reading frame 34	NA
Hs.196669	EBP	emopamil binding protein (sterol isomerase)	cholestenol delta-isomerase activity|cholesterol biosynthesis|drug transporter activity|endoplasmic reticulum|integral to plasma membrane|isomerase activity|skeletal development|steroid delta-isomerase activity|transmembrane receptor activity
Hs.502564	FLJ20719	hypothetical protein FLJ20719	NA
Hs.202453	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	cell cycle arrest|cell proliferation|iron ion homeostasis|nucleus|regulation of transcription from Pol II promoter|transcription factor activity
Hs.349084	DNAH11	dynein, axonemal, heavy polypeptide 11	ATP binding|axonemal dynein complex|microtubule motor activity|microtubule-based movement|nucleotide binding
Hs.73980	TNNT1	troponin T1, skeletal, slow	NA
Hs.294101	PBX3	pre-B-cell leukemia transcription factor 3	anterior compartment specification|carbon utilization by fixation of carbon dioxide|embryonic development|nucleus|nucleus|posterior compartment specification|protein binding|regulation of transcription, DNA-dependent|regulation of transcriptional preinitiation complex formation|ribulose bisphosphate carboxylase complex|ribulose-bisphosphate carboxylase activity|transcription factor activity
Hs.283693	MRPL1	mitochondrial ribosomal protein L1	RNA binding|intracellular|large ribosomal subunit|mitochondrion|protein biosynthesis|structural constituent of ribosome
Hs.245540	ARL4	ADP-ribosylation factor-like 4	GTP binding|GTPase activity|nucleus|small GTPase mediated signal transduction
Hs.5710	CREG	cellular repressor of E1A-stimulated genes	RNA polymerase II transcription factor activity|cell proliferation|development|regulation of transcription from Pol II promoter|transcription corepressor activity
Hs.109752	C6orf108	chromosome 6 open reading frame 108	cell proliferation|nucleus
Hs.351871	MGC20262	hypothetical protein MGC20262	NA
Hs.390395	FLJ14007	hypothetical protein FLJ14007	molecular_function unknown
Hs.108973	DPM2	dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	transferase activity, transferring glycosyl groups
Hs.436405	IDH3B	isocitrate dehydrogenase 3 (NAD+) beta	carbohydrate metabolism|electron transporter activity|isocitrate dehydrogenase (NAD+) activity|isocitrate metabolism|mitochondrion|oxidoreductase activity|tricarboxylic acid cycle
Hs.17719	KIAA0114	KIAA0114 gene product	NA
Hs.149255	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase, type I, alpha	1-phosphatidylinositol-4-phosphate 5-kinase activity|1-phosphatidylinositol-4-phosphate 5-kinase activity|cellular_component unknown|glycerophospholipid metabolism|kinase activity|phosphorylation|signal transduction|transferase activity
Hs.42650	ZWINT	ZW10 interactor	nucleus
Hs.433413	ERH	enhancer of rudimentary homolog (Drosophila)	molecular_function unknown|nucleobase, nucleoside, nucleotide and nucleic acid metabolism|pyrimidine nucleoside metabolism|regulation of cell cycle
Hs.47649	MCCC1	methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)	ATP binding|biotin binding|biotin metabolism|leucine catabolism|ligase activity|metabolism|methylcrotonoyl-CoA carboxylase activity|mitochondrial matrix
Hs.439171	LOC51668	HSPCO34 protein	NA
Hs.448580	SEC6L1	SEC6-like 1 (S. cerevisiae)	exocytosis|intracellular protein transport|protein transporter activity
Hs.288969	HSCARG	HSCARG protein	NA
Hs.173933	NFIA	nuclear factor I/A	DNA replication|nucleus|nucleus|regulation of transcription, DNA-dependent|regulation of transcription, DNA-dependent|transcription|transcription factor activity|transcription factor activity|viral genome replication
Hs.444840	C7orf24	chromosome 7 open reading frame 24	NA
Hs.501565	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	metabolism|oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
Hs.425633	CKMT1	creatine kinase, mitochondrial 1 (ubiquitous)	creatine kinase activity|mitochondrion|transferase activity, transferring phosphorus-containing groups
Hs.167531	MCCC2	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)	biotin carboxylase activity|biotin carboxylase complex|leucine catabolism|ligase activity|methylcrotonoyl-CoA carboxylase activity|mitochondrion
Hs.183006	GLCE	glucuronyl C5-epimerase	Golgi apparatus|heparan sulfate proteoglycan biosynthesis|heparin biosynthesis|integral to membrane|isomerase activity|peptidoglycan biosynthesis|racemase and epimerase activity, acting on carbohydrates and derivatives
Hs.163502	WDR34	WD repeat domain 34	NA
Hs.297681	SERPINA1	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	acute-phase response|extracellular|protein binding|serine-type endopeptidase inhibitor activity
Hs.362996	KIAA0779	KIAA0779 protein	integral to membrane
Hs.460337	SURF5	surfeit 5	biological_process unknown|cytoplasm|cytoplasm|molecular_function unknown|soluble fraction
Hs.25647	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	DNA binding|DNA methylation|cell growth and/or maintenance|inflammatory response|nucleus|regulation of transcription from Pol II promoter|specific RNA polymerase II transcription factor activity
Hs.20084	RXRA	retinoid X receptor, alpha	nucleus|regulation of transcription, DNA-dependent|retinoid-X receptor activity|signal transduction|steroid binding|steroid hormone receptor activity|transcription coactivator activity|transcription factor activity|vitamin metabolism
Hs.35962	NA	CDNA clone IMAGE:4448513, partial cds	NA
