 Affymetrix ID 	 Method 1 genes (87%)* 	 Symbol 	 Gene function 	 Fold change 
 201828_x_at 	 caaxbox1 	 FAM127A 	 plasmamembrane 	 4.8 
 205691_at 	 synaptogyrin3 	 SYNGR3 	 plasmamembrane 	 8.6 
 207180_s_at 	" hiv-1tatinteractiveprotein2,30kda "	 HTATIP2 	" cellcycle,transcription,apoptosis "	 3.0 
 208796_s_at 	 cycling1 	 CCNG1 	" regulationofcellcycle, "	 2.1 
 209116_x_at 	" hemoglobin,? "	 HBB 	 circulatorysystemprocess 	 18.9 
 211560_s_at 	" aminolevulinate,?-,synthase2 "	 ALAS2 	" responsetohypoxia, "	 3.3 
 	 (sideroblastic/hypochromicanemia) 	 	 immuneresponse 	 
 214696_at 	 chromosome17openreadingframe91 	 C17orf91 	 	 2.8 
 217650_x_at 	" st3?-galactoside?-2,3-sialyltransferase2 "	 ST3GAL2 	 carbohydratemetabolism 	 2.3 
				
 Affymetrix ID 	 Method 2 genes (82%)† 	 Symbol 	 Gene function 	 Fold change 
 201029_s_at 	 cd99antigen 	 CD99 	 celladhesion 	 ?2.2 
 201288_at 	 rhogdpdissociationinhibitor? 	 ARHGDIB 	" immuneresponse,Rho/Rassignaling "	 ?2.3 
 201310_s_at 	 chromosome5openreadingframe13 	 C5orf13 	 cellcommunication 	 ?5.9 
 201347_x_at 	 glyoxylatereductase/hydroxypyruvate 	 GRHPR 	 metabolicprocess 	 2.1 
 	 reductase 	 	 	 
 206660_at 	 immunoglobulin?-likepolypeptide1 	 IGLL1 	 immuneresponse 	 ?44.7 
 208892_s_at 	 dualspecificityphosphatase6 	 DUSP6 	" cellcycle,inactivationofmitogen- "	 ?2.2 
 	 	 	 activatedproteinkinaseactivity 	 
 209806_at 	" histone1,h2bk "	 HIST1H2BK 	 nucleosomeassembly 	 5.1 
 209942_x_at 	" melanomaantigenfamilya,3 "	 MAGEA3 	 tumorantigen 	 26.3 
 211921_x_at 	" prothymosin,? "	 PTMA 	" cellcycle,transcription "	 ?1.6 
 213515_x_at 	" hemoglobin,?a "	 HBG2 	 oxygentransport 	 138.2 
				
 Affymetrix ID 	 Bcl-2 family genes (81%) 	 Symbol 	 Gene function 	 Fold change 
 200796_s_at 	 myeloidcellleukemiasequence1 	 MCL1 	 apoptosis 	 1.8 
 	 (bcl2-related) 	 	 	 
 200797_s_at 	 myeloidcellleukemiasequence1 	 MCL1 	 apoptosis 	 1.4 
 	 (bcl2-related) 	 	 	 
 200798_x_at 	 myeloidcellleukemiasequence1 	 MCL1 	 apoptosis 	 1.7 
 	 (bcl2-related) 	 	 	 
 203684_s_at 	 b-cellcll/lymphoma2 	 BCL2 	 apoptosis 	 ?1.7 
 204493_at 	 bh3interactingdomaindeathagonist 	 BID 	 apoptosis 	 ?1.2 
 206665_s_at 	 bcl2-like1(Bcl-xL) 	 BCL2L1 	 apoptosis 	 2.6 
 209311_at 	 bcl2-like2(Bcl-w) 	 BCL2L2 	 apoptosis 	 2.6 
 211692_s_at 	 bcl2bindingcomponent3(Puma) 	 BBC3 	 apoptosis 	 2.2 
