Micro-RNAname	Foldchangeb	Pvaluec	Targetprediction	Up-/Down-Regulated
hsa-mir-31	4.42	0.015	GRM4MAP4K5CD48CCNC	Upregulated
hsa-mir-338	3.55	0.01	MLF1BMX	Upregulated
hsa-mir-21	3.17	2.00E-04	CCL1PDCD4WWP1RTN4MSH2MALT1	Upregulated
hsa-mir-412	3.11	0.014	INCENPFBLN2VAV1	Upregulated
hsa-mir-193b	2.56	0.009	ODC1STMN1GRB7	Upregulated
hsa-mir-504	2.35	0.021	STARD3RASSF1IL2RG	Upregulated
hsa-mir-24-2	2.33	0.005	DNM3TRPM1	Upregulated
hsa-mir-135b	2.31	0.014	DHODHTRPC1FOXN3	Upregulated
hsa-mir-645	2.18	0.006	TNKSA4GALTDDB2	Upregulated
hsa-mir-126	0.15	2.53E-08	LTB	Downregulated
hsa-mir-30a	0.16	1.28E-06	MAP3K5SEMA3AFAP	Downregulated
hsa-mir-126	0.2	3.11E-07	FGFBP1PENKSCAP	Downregulated
hsa-mir-143	0.28	9.09E-06	MAPK7CDC6CD53	Downregulated
hsa-mir-30d	0.29	2.28E-07	MAP3K5DLL4	Downregulated
hsa-mir-451	0.31	0.011	CDKN2DCAB39PSMB8	Downregulated
hsa-mir-100	0.35	7.71E-06	GNMTFRAP1GMPS	Downregulated
hsa-mir-660	0.38	0.011	HCKCADM1MRPL28	Downregulated
hsa-mir-652	0.41	9.45E-06	EEF2CCKARNPTN	Downregulated
hsa-mir-26a	0.41	4.90E-05	SMAD1HSPA8SLIT2	Downregulated
hsa-mir-29c	0.42	1.06E-05	GRIP1HBP1LOXL4	Downregulated
hsa-mir-181a	0.42	7.04E-05	Hoxb5E2f5CARD11	Downregulated
hsa-mir-29a	0.44	0.001	GRIP1HBP1LOXL4	Downregulated
hsa-mir-129	0.44	0.006	POLIMAP3K1EPHA1	Downregulated
hsa-mir-130a	0.46	1.40E-05	METS1PR1FRZB	Downregulated
hsa-mir-101	0.48	1.36E-05	SMOXUBE2D1DKK1	Downregulated
hsa-mir-26b	0.49	4.72E-06	PRKCQDUSP5HSPA8	Downregulated
