Affymetrix Probeset ID	HUGO Symbol	Transcript ID	RefSeq Protein ID
210512_s_at	VEGFA	AB209485 /// AF022375 /// AK098750 /// ENST00000230480 /// ENST00000324450 /// ENST00000372055 /// ENST00000372064 /// ENST00000372067 /// ENST00000372077 /// ENST00000413642 /// ENST00000417285 /// ENST00000425836 /// ENST00000426830 /// ENST00000457104 /// NM_001025366 /// NM_001025367 /// NM_001025368 /// NM_001025369 /// NM_001025370 /// NM_001033756 /// NM_003376 /// uc003owd.1 /// uc003owe.1 /// uc003owf.1 /// uc003owg.1 /// uc003owh.1 /// uc003owi.1 /// uc003owj.1 /// uc003owk.1	NP_001020537 /// NP_001020538 /// NP_001020539 /// NP_001020540 /// NP_001020541 /// NP_001028928 /// NP_003367
201250_s_at	SLC2A1	ENST00000426263 /// K03195 /// NM_006516 /// uc001cik.1	NP_006507
200886_s_at	PGAM1	AK125057 /// AK315910 /// BC000455 /// BC010038 /// BC011678 /// BC053356 /// BC062302 /// BC066959 /// BC073742 /// BC157873 /// ENST00000334828 /// ENST00000355965 /// J04173 /// NM_002629 /// uc001knh.1	NP_002620
201231_s_at	ENO1	AK090592 /// AK298600 /// AL833741 /// BC001810 /// BC004458 /// BC009912 /// BC011130 /// BC015641 /// BC019084 /// BC021064 /// BC022545 /// BC027725 /// BC050642 /// BX537400 /// ENST00000234590 /// M14328 /// M55914 /// NM_001428 /// U88968 /// uc001api.1 /// uc001apj.1 /// uc001apk.1 /// uc001apl.1	NP_001419
200650_s_at	LDHA	AK296667 /// BC001829 /// BC067223 /// BC072009 /// ENST00000227157 /// ENST00000379412 /// ENST00000396222 /// ENST00000422447 /// ENST00000430553 /// ENST00000445376 /// NM_001135239 /// NM_005566 /// uc001mok.1 /// uc001mol.1	NP_001128711 /// NP_005557
200822_x_at	TPI1	AK298809 /// AK300661 /// BC007086 /// BC007812 /// BC009329 /// BC009885 /// BC011611 /// BC015100 /// BC017917 /// BC018899 /// CR610831 /// ENST00000229270 /// ENST00000396705 /// M10036 /// NM_000365 /// NM_001159287 /// NR_027483 /// uc001qrk.1	NP_000356 /// NP_001152759
207543_s_at	P4HA1	BC034998 /// ENST00000263556 /// ENST00000307116 /// ENST00000373008 /// ENST00000394890 /// ENST00000412021 /// ENST00000440381 /// M24486 /// M24487 /// NM_000917 /// NM_001017962 /// NM_001142595 /// NM_001142596 /// uc001jtg.1 /// uc001jth.1 /// uc001jti.1	NP_000908 /// NP_001017962 /// NP_001136067 /// NP_001136068
218982_s_at	MRPS17	AB049950 /// AK026553 /// BC047445 /// BC054031 /// CR590495 /// ENST00000285298 /// ENST00000426595 /// ENST00000443449 /// NM_015969 /// uc003trb.1 /// uc003trd.1	NP_057053 /// NP_872439
209714_s_at	CDKN3	AF213033 /// AF213036 /// AF213038 /// AF213039 /// AF213041 /// AF213042 /// AF213044 /// AF213045 /// AF213046 /// AF213047 /// AF213048 /// AF213049 /// AY257474 /// BC064965 /// BT019451 /// CR407666 /// EF560750 /// ENST00000335183 /// ENST00000442975 /// ENST00000458126 /// L25876 /// L27711 /// NM_001130851 /// NM_005192 /// U02681 /// uc001xap.1 /// uc001xaq.1 /// uc001xar.1	NP_001124323 /// NP_005183
202912_at	ADM	BC015961 /// CR625700 /// D14874 /// ENST00000278175 /// NM_001124 /// uc001mik.1 /// uc001mil.1 /// uc001mim.1	NP_001115
200632_s_at	NDRG1	AF004162 /// AK026383 /// AK124709 /// AK126924 /// AK129867 /// BC003175 /// BC006260 /// D87953 /// ENST00000323851 /// ENST00000354944 /// ENST00000414097 /// NM_001135242 /// NM_006096 /// uc003yue.1 /// uc003yuf.1 /// uc003yug.1 /// uc003yuh.1	NP_001128714 /// NP_006087
209191_at	TUBB6	AK092677 /// BC002654 /// ENST00000317702 /// NM_032525 /// uc002kqv.1 /// uc002kqw.1 /// uc002kqx.1	NP_115914
