CloneID	UnigeneID	AccessionNo.	Gene	TranscriptName	Locus	LocusID
915245	Hs.101307	AA578919	SLC14A1	solutecarrierfamily14(ureatransporter)member1(Kiddbloodgroup)	18,q12.3	6563
280989	Hs.101307	N47685	SLC14A1	solutecarrierfamily14(ureatransporter)member1(Kiddbloodgroup)	18,q12.3	6563
50562	Hs.283683	H16793	C8orf4	chromosome8openreadingframe4	8,p11.21	56892
141806	Hs.211600	R70479	TNFAIP3	tumornecrosisfactoralpha-inducedprotein3	6,q23.3	7128
310406	Hs.512234	N98591	IL6	interleukin6(interferonbeta2)	7,p15.3	3569
770670	Hs.211600	AA433807	TNFAIP3	tumornecrosisfactoralpha-inducedprotein3	6,q23.3	7128
1601601	Hs.1349	AA995402	CSF2	colonystimulatingfactor2(granulocyte-macrophage)	5,q23.3	1437
153340	Hs.75765	R47771	CXCL2	chemokine(C-X-Cmotif)ligand2	4,q13.3	2920
324437	Hs.789	W46900	CXCL1	chemokine(C-X-Cmotif)ligand1(melanomagrowthstimulatingactivityalpha)	4,q13.3	2919
2577230	Hs.98998	AW075585	TNC	tenascinC(hexabrachion)	9,q33.1	3371
768638	Hs.118747	AA425352	SLC15A2	solutecarrierfamily15(H /peptidetransporter)member2	3,q21.1	6565
269815	Hs.28792	N27159	INHBA	inhibinbetaA(activinA	7,p14.1	3624
1855896	Hs.240951	AI263890	NKD2	nakedcuticlehomolog2(Drosophila)	5,p15.33	85409
796170	Hs.360628	AA461086	PDE5A	phosphodiesterase5A,cGMP-specific	4,q26	401154
153025	Hs.2250	R50018	LIF	leukemiainhibitoryfactor(cholinergicdifferentiationfactor)	22,q12.2	3976
1892897	Hs.89983	AI278088	MASP1	mannan-bindinglectinserineprotease1(C4/C2activatingcomponentofRa-reactivefactor)	3,q27.3	5648
986643	Hs.86172	AA548667	PRRX2	pairedrelatedhomeobox2	9,q34.11	51450
346861	Hs.64896	W78156	NPL	N-acetylneuraminatepyruvatelyase(dihydrodipicolinatesynthase)	1,q25.3	80896
1652111	NA	AI023924	NA	NA	3,q27.3	NA
220376	Hs.240443	H86813	TncRNA	trophoblast-derivednoncodingRNA	11,q13.1	NA
143322	Hs.367688	R74357	NA	CloneIMAGE:4794726mRNA	7,p21.1	NA
173674	Hs.514556	H22445	NPTX1	neuronalpentraxinI	17,q25.3	NA
146622	Hs.1104	R79952	BMP5	bonemorphogeneticprotein5	6,p12.1	653
565075	Hs.25590	AA126561	STC1	stanniocalcin1	8,p21.2	6781
753062	Hs.15476	AA436473	DEF6	differentiallyexpressedinFDCP6homolog(mouse)	6,p21.31	50619
23185	Hs.98998	R39239	TNC	tenascinC(hexabrachion)	9,q33.1	3371
810213	Hs.82112	AA464525	IL1R1	interleukin1receptortypeI	2,q11.2	3554
753071	Hs.82101	AA436565	PHLDA1	pleckstrinhomology-likedomainfamilyA	12,q21.2	22822
768561	Hs.303649	AA425102	CCL2	chemokine(C-Cmotif)ligand2	17,q11.2	6347
786657	Hs.154654	AA451886	CYP1B1	cytochromeP450family1	2,p22.2	1545
121637	Hs.288300	T97554	FLJ23231	hypotheticalproteinFLJ23231	1,p34.3	80149
25194	Hs.25318	R39044	RAB27B	RAB27BmemberRASoncogenefamily	18,q21.2	5874
144012	Hs.271721	R76896	NA	CloneIMAGE:4179986mRNA	5,p13.2	NA
199648	Hs.295131	R96609	AKR1C1	aldo-ketoreductasefamily1memberC1(dihydrodioldehydrogenase1;20-alpha(3-alpha)-hydroxysteroiddehydrogenase)	10,p15.1	1645
1704093	Hs.411308	AI148164	GALNTL2	UDP-N-acetyl-alpha-D-galactosamine:polypeptideN-acetylgalactosaminyltransferase-like2	3,p25.1	117248
448417	Hs.334174	AA777555	TNFRSF19	tumornecrosisfactorreceptorsuperfamilymember19	13,q12.12	55504
1558642	Hs.297405	AA976544	MLPH	melanophilin	2,q37.3	79083
283329	Hs.252451	N51438	SEMA3A	semadomainimmunoglobulindomain(Ig)	7,q21.11	10371
202243	NA	H52411	GPC5	glypican5	13,q31.3	NA
138265	Hs.82112	R56687	IL1R1	interleukin1receptortypeI	NA	3554
