Ranka	S2N	p-Valueb	Rep. gene ID	Rep. gene symbol	Rep. gene name
1	?0.79	0.0001	54546	RNF186	Ring finger protein 186
2	0.66	0.0001	22890	ZBTB1	Zinc finger and BTB domain containing 1
3	0.67	0.0001	3921	RPSA	Ribosomal protein SA
4	0.71	0.0001	64327	LMBR1	Limb region 1 homolog (mouse)
5	0.55	0.0001	3921	RPSA	Ribosomal protein SA
6	0.58	0.0002	55342	STRBP	Spermatid perinuclear RNA binding protein
7	?0.66	0.0001	4161	MC5R	Melanocortin 5 receptor
8	?0.62	0.0001	79946	C10orf95	Chromosome 10 open reading frame 95
9	?0.51	0.0008			pro1048
10	?0.59	0.0001	9158	FIBP	Fibroblast growth factor (acidic) intracellular binding protein
11	?0.62	0.0001	7547	ZIC3	Zic family member 3 heterotaxy 1 (odd-paired homolog, Drosophila)
12	0.55	0.0007	57599	WDR48	WD repeat domain 48
13	?0.65	0.0001	1152	CKB	Creatine kinase, brain
14	0.56	0.0004	7295	TXN	Thioredoxin
15	?0.59	0.0001	1489	CTF1	Cardiotrophin 1
16	0.55	0.0001	388358		Hypothetical gene supported by BC042812
17	0.58	0.0002	80273	GRPEL1	GrpE-like 1, mitochondrial (E. coli)
18	?0.63	0.0001	4054	LTBP3	Latent transforming growth factor beta binding protein 3
19	0.55	0.0004	54927	CHCHD3	Coiled-coil-helix-coiled-coil-helix domain containing 3
20	?0.53	0.0008	54905	CYP2W1	Cytochrome P450, family 2, subfamily W, polypeptide 1
21	0.63	0.0001	2668	GDNF	Glial cell-derived neurotrophic factor
22	?0.58	0.0002	84432	PROK1	Prokineticin 1
