GenBank ID	Gene Description	Mean of EBV +/EBV- ratio for the 3 Burkitt’s Lymphoma (BL) pairs	Function
M15400	Retinoblastoma-associated protein (RB1); PP110; P105-RB	2.98	Cell proliferation Cell cycle
D84212	Aurora-related kinase 1 (ARK1)	3.67	Cell proliferation Cell cycle
U09579	Cyclin-dependent kinase inhibitor 1 (CDKN1A); WAF1, p21	7.49	Cell proliferation Cell cycle
M27364	Elongation factor 1 alpha (EF1  alpha)	3.68	Translation
Y08614	CRM1 protein	2.68	Protein processing
X64318	E4BP4	1.89	Inhibition of apoptosis
U31628	Interleukin-15 receptor alpha subunit precursor	1.13101	Inhibition of apoptosis
X14454	Interferon regulatory factor 1 (IRF1)	3.54	Interferon response
X03557	Interferon-induced 56-kd protein (IFI-56K)	1.2101	Interferon response
M33882	Interferon-regulated resistance GTP-binding protein MXA	6.32	Interferon response
AB004904	STAT-induced STAT inhibitor 3	5.89	Interferon response
U07707	Epidermal growth factor receptor substrate 15 (EPS15)	2.98	Signal transduction Receptors
M32315	Tumor necrosis factor receptor (TNFR) . (TNFR2)	3.81	Signal transduction Receptors
L09753	CD30 ligand (CD30L); CD153 antigen	3	Signal transduction Receptors
M27543	Guanine nucleotide-binding protein G(K) alpha 3 subunit (GNA3)	4.79	Signal transduction Receptors
D29767	Tyrosine-protein kinase tec	2.85	Kinases
X62055	Protein-tyrosine phosphatase 1C (PTP1C) SHP1	1.45102	Tyrosine phosphatase
D83597	RP105	1.46101	Cell adhesion
K01171	HLA class II histocompatibility antigen alpha chain	1.33101	Immune system
X00497	HLA-DR antigen-associated invariant subunit	6.36101	Immune system
U58514	Chitinase precursor	2.84102	Immune system
