Symbol	Locus	Gene name	Further Description
ARHGDIB	12p12.3	Rho GDP dissociation inhibitor (GDI) beta	Conventional RCC-specific
C1QB	1p36.3-p34.1	Complement component 1, q subcomponent, beta polypeptide	Conventional RCC-specific
CCND1	11q13	Cyclin dl (prad1: parathyroid adenomatosis 1)	Conventional RCC-specific
CD37	19p13-q13.4	Cd37 antigen	Conventional RCC-specific
DEPP	10q11.23	Decidual protein induced by progesterone	Conventional RCC-specific
FLJ 12443	5p15.2	Hypothetical protein FLJ 12443	Conventional RCC-specific
HLA-DQB1	6p21.3	Major histocompatibility complex, class 11, dq beta 1	Conventional RCC-specific
IGFBP3	7p13-p12	Insulin-like growth factor binding protein 3	Conventional RCC-specific
INHBB	2cen-q13	Inhibin, beta b (activin ab beta polypeptide)	Conventional RCC-specific
LILRB1	19q13.4	Leukocyte immunoglobulin-like receptor, subfamily b (with TM and ITIM domains), member 1	Conventional RCC-specific
PACE4	15q26	Paired basic amino-acid cleaving system 4	Conventional RCC-specific
PFKP	10p15.3-p15.2	Phosphofructokinase, platelet	Conventional RCC-specific
PSMB8	6p21.3	Proteasome (prosome, macropain) subunit, beta type,8(large multifunctional protease 7)	Conventional RCC-specific
RGS1	1q31	Regulator of G-protein signaling 1	Conventional RCC-specific
SLC6A3	5p15.3	Solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	Conventional RCC-specific
TNFSF7	19p13	Tumor necrosis factor (ligand) superfamily, member 7	Conventional RCC-specific
TYROBP	19q13.1	TYRO protein tyrosine kinase binding protein	Conventional RCC-specific
VEGF	6p12	Vascular endothelial growth factor	Conventional RCC-specific
BIN1	2q14	Bridging integrator 1	Papillary RCC-specific
CLDN3	7q11.23	Claudin 3	Papillary RCC-specific
DKFZP564D206	7p21.3	DKFZP564D206 protein	Papillary RCC-specific
DKFZp586I1420	7p15.3	Hypothetical protein DKFZp586I1420	Papillary RCC-specific
LCN2	9q34	Lipocalin 2 (oncogene 24p3)	Papillary RCC-specific
LGALS3BP	17q25	Lectin, galactoside-binding, soluble, 3 binding protein	Papillary RCC-specific
LOC51626	2p25.1-p24.1	CGI-60 protein	Papillary RCC-specific
RBPMS	8p12-p11	RNA-binding protein gene with multiple splicing	Papillary RCC-specific
SCHIP1	3q25.32	Schwannomin interacting protein 1	Papillary RCC-specific
SOX4	6p22.3	SRY (sex determining region Y)-box 4	Papillary RCC-specific
TCF2	17cen-q21.3	Transcription factor 2, hepatic; LF-B3; variant hepatic nuclear factor	Papillary RCC-specific
VIL2	6q25-q26	Villin 2 (ezrin)	Papillary RCC-specific
ATP6IP2	Xq21	ATPase, H+ transporting, lysosomal interacting protein 2	Chromophobe RCC-specific
BPGM	7q31-q34	2,3-bisphosphoglycerate mutase	Chromophobe RCC-specific
CDS1	4q21	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1	Chromophobe RCC-specific
