rank according to univariate p value	p value	FoldChange (>1 in mt)	Probe set	Description	Gene symbol	Entrez Gene ID	Coeffic	Cytoband
17	0.0001	1.46	212415_at	septin 6	40062	23157	1	Xq24
767	0.01	-1.32	213353_at	ATP-binding cassette, sub-family A (ABC1), member 5	ABCA5	23461	-1	17q24.3
421	0.01	1.36	218322_s_at	acyl-CoA synthetase long-chain family member 5	ACSL5	51703	1	10q25.1-q25.2
871	0.02	-1.35	205013_s_at	adenosine A2a receptor	ADORA2A	135	-1	22q11.23
1672	0.04	1.46	212543_at	absent in melanoma 1	AIM1	202	1	6q21
1637	0.04	-1.35	204348_s_at	adenylate kinase 3-like 1	AK3L1	205	-1	1p31.3
711	0.01	-1.44	203608_at	aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)	ALDH5A1	7915	-1	6p22.2-p22.3
963	0.02	1.41	204446_s_at	arachidonate 5-lipoxygenase	ALOX5	240	1	10q11.2
103	0.0013	-1.42	202630_at	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	APPBP2	10513	-1	17q21-q23
156	0.0019	1.34	211621_at		AR	367	1	Xq11.2-q12
480	0.01	1.42	211110_s_at	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	AR	367	1	Xq11.2-q12
30	0.0003	1.49	201288_at	Rho GDP dissociation inhibitor (GDI) beta	ARHGDIB	397	1	12p12.3
1032	0.02	1.49	202986_at	aryl-hydrocarbon receptor nuclear translocator 2	ARNT2	9915	1	15q24
56	0.0006	-1.31	214553_s_at	cyclic AMP phosphoprotein, 19 kD	ARPP-19	10776	-1	15q21.2
221	0.0028	1.34	209788_s_at	type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	ARTS-1	51752	1	5q15
574	0.01	-1.34	205047_s_at	asparagine synthetase	ASNS	440	-1	7q21.3
1125	0.02	1.38	201242_s_at	ATPase, Na+/K+ transporting, beta 1 polypeptide	ATP1B1	481	1	1q24
51	0.0005	-1.36	201171_at	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e	ATP6V0E	8992	-1	5q35.1
428	0.01	1.32	211944_at	BAT2 domain containing 1	BAT2D1	23215	1	1q23.3
1238	0.02	-1.37	203685_at	B-cell CLL/lymphoma 2	BCL2	596	-1	18q21.33|18q21.3
392	0.01	1.98	202357_s_at	B-factor, properdin	BF	629	1	6p21.3
1894	0.04	1.32	210538_s_at	baculoviral IAP repeat-containing 3	BIRC3	330	1	11q22
92	0.0011	-1.43	218732_at	Bcl-2 inhibitor of transcription	BIT1	51651	-1	17q23.1
1594	0.03	1.42	201641_at	bone marrow stromal cell antigen 2	BST2	684	1	19p13.2
1288	0.03	1.32	38241_at	butyrophilin, subfamily 3, member A3	BTN3A3	10384	1	6p21.3
130	0.0015	-1.35	218597_s_at	chromosome 10 open reading frame 70	C10orf70	55847	-1	10q21.1
1231	0.02	1.50	217966_s_at	chromosome 1 open reading frame 24	C1orf24	116496	1	1q25
1358	0.03	1.56	217967_s_at	chromosome 1 open reading frame 24	C1orf24	116496	1	1q25
396	0.01	1.38	212875_s_at	chromosome 21 open reading frame 25	C21orf25	25966	1	21q22.3
102	0.0013	1.36	205248_at	chromosome 21 open reading frame 5	C21orf5	9980	1	21q22.2
1655	0.04	1.39	204365_s_at	chromosome 2 open reading frame 23	C2orf23	65055	1	2p11.2
391	0.01	1.76	204364_s_at	chromosome 2 open reading frame 23	C2orf23	65055	1	2p11.2
179	0.0023	1.84	214428_x_at	complement component 4A /// complement component 4B /// complement component 4B, telomeric	C4A /// C4B	720	1	6p21.3
193	0.0025	1.92	208451_s_at	complement component 4A /// complement component 4B /// complement component 4B, telomeric	C4A /// C4B	721	1	6p21.3
2099	0.05	-1.49	218541_s_at	chromosome 8 open reading frame 4	C8orf4	56892	-1	8p11.2
1340	0.03	-1.35	205308_at	chromosome 8 open reading frame 70	C8orf70	51101	-1	8q21.12
328	0.0045	2.12	220414_at	calmodulin-like 5	CALML5	51806	1	10p15.1
1840	0.04	1.43	212551_at	CAP, adenylate cyclase-associated protein, 2 (yeast)	CAP2	10486	1	6p22.3
100	0.0013	1.40	208683_at	calpain 2, (m/II) large subunit	CAPN2	824	1	1q41-q42
49	0.0005	1.41	220066_at	caspase recruitment domain family, member 15	CARD15	64127	1	16q21
976	0.02	1.35	211366_x_at	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	CASP1	834	1	11q23
769	0.01	1.37	209970_x_at	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	CASP1	834	1	11q23
964	0.02	1.40	211368_s_at	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	CASP1	834	1	11q23
317	0.0043	1.41	206011_at	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	CASP1	834	1	11q23
824	0.01	1.35	205379_at	carbonyl reductase 3	CBR3	874	1	21q22.2
843	0.01	-1.39	212816_s_at	cystathionine-beta-synthase	CBS	875	-1	21q22.3
1630	0.03	1.49	1405_i_at	chemokine (C-C motif) ligand 5	CCL5	6352	1	17q11.2-q12
477	0.01	-1.34	201946_s_at	chaperonin containing TCP1, subunit 2 (beta)	CCT2	10576	-1	12q15
232	0.0030	1.47	209619_at	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	CD74	972	1	5q32
143	0.0017	1.39	218451_at	CUB domain containing protein 1	CDCP1	64866	1	3p21.31
614	0.01	2.16	201884_at	carcinoembryonic antigen-related cell adhesion molecule 5	CEACAM5	1048	1	19q13.1-q13.2
541	0.01	2.34	211657_at	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen) /// carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	CEACAM6	4680	1	19q13.2
911	0.02	2.34	203757_s_at	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	CEACAM6	4680	1	19q13.2
370	0.01	-2.16	204637_at	glycoprotein hormones, alpha polypeptide	CGA	1081	-1	6q12-q21
348	0.0048	1.36	221042_s_at	calmin (calponin-like, transmembrane)	CLMN	79789	1	14q32.13
811	0.01	-1.48	201116_s_at	carboxypeptidase E	CPE	1363	-1	4q32.3
1411	0.03	-1.32	201117_s_at	carboxypeptidase E	CPE	1363	-1	4q32.3
1957	0.04	1.35	209522_s_at	carnitine acetyltransferase	CRAT	1384	1	9q34.1
1437	0.03	-1.33	201161_s_at	cold shock domain protein A	CSDA	8531	-1	12p13.1
5	0.0000	1.96	206994_at	cystatin S	CST4	1472	1	20p11.21
481	0.01	1.33	210835_s_at	C-terminal binding protein 2	CTBP2	1488	1	10q26.13
591	0.01	-1.40	209617_s_at	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)	CTNND2	1501	-1	5p15.2
1140	0.02	1.47	205472_s_at	dachshund homolog 1 (Drosophila)	DACH1	1602	1	13q22
1462	0.03	1.57	205471_s_at	dachshund homolog 1 (Drosophila)	DACH1	1602	1	13q22
1017	0.02	-1.33	212690_at	DDHD domain containing 2	DDHD2	23259	-1	8p11.23
148	0.0018	1.35	209916_at	dehydrogenase E1 and transketolase domain containing 1	DHTKD1	55526	1	10p14
828	0.01	-1.32	218277_s_at	DEAH (Asp-Glu-Ala-His) box polypeptide 40	DHX40	79665	-1	17q23.1
2023	0.05	1.44	200606_at	desmoplakin	DSP	1832	1	6p24
639	0.01	-1.36	205741_s_at	dystrobrevin, alpha	DTNA	1837	-1	18q12
38	0.0004	-1.41	221586_s_at	E2F transcription factor 5, p130-binding	E2F5	1875	-1	8q21.2
1922	0.04	-1.33	219974_x_at	enoyl Coenzyme A hydratase domain containing 1	ECHDC1	55862	-1	6q22.33
106	0.0013	1.80	219850_s_at	ets homologous factor	EHF	26298	1	11p12
1420	0.03	-1.33	205321_at	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa	EIF2S3	1968	-1	Xp22.2-p22.1
1173	0.02	1.35	201340_s_at	ectodermal-neural cortex (with BTB-like domain)	ENC1	8507	1	5q12-q13.3
1081	0.02	1.38	204160_s_at	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)	ENPP4	22875	1	6p21.1
1374	0.03	1.40	206191_at	ectonucleoside triphosphate diphosphohydrolase 3	ENTPD3	956	1	3p21.3
734	0.01	1.32	205757_at	ectonucleoside triphosphate diphosphohydrolase 5	ENTPD5	957	1	14q24
936	0.02	-1.60	206070_s_at	EPH receptor A3	EPHA3	2042	-1	3p11.2
386	0.01	1.46	202017_at	epoxide hydrolase 1, microsomal (xenobiotic)	EPHX1	2052	1	1q42.1
948	0.02	1.40	205225_at	estrogen receptor 1	ESR1	2099	1	6q25.1
1484	0.03	1.33	217838_s_at	Enah/Vasp-like	EVL	51466	1	14q32.2
1695	0.04	-1.34	220147_s_at	family with sequence similarity 60, member A	FAM60A	58516	-1	12p11
7	0.0001	-1.35	208229_at	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	FGFR2	2263	-1	10q26
590	0.01	-1.31	218514_at	hypothetical protein FLJ10587	FLJ10587	55181	-1	17q22
1613	0.03	-1.34	220145_at	ASAP	FLJ21159	79884	-1	4q32.1
2028	0.05	1.36	202709_at	fibromodulin	FMOD	2331	1	1q32
1018	0.02	1.40	208006_at	forkhead box I1	FOXI1	2299	1	5q34
