Probeset ID	RefSeq Transcript ID(GeneBank Accession)	Gene Symbol	Gene Title	Signal Log Ratio	control siRNA_signal	nm23-H1 siRNA_Signal
201577_at	NM_000269 /// NM_198175	NME1	non-metastatic cells 1, protein (NM23A) expressed in	-3.5	24252.6	1991
226280_at	---	---	CDNA FLJ43545 fis, clone PROST2011631	-2.6	1699.9	288.2
209300_s_at	NM_015509	NECAP1	NECAP endocytosis associated 1	-2.4	2042.8	394
226038_at	NM_152271 /// XM_001128970	LONRF1	LON peptidase N-terminal domain and ring finger 1	-2.4	1108.7	260
203987_at	NM_003506	FZD6	frizzled homolog 6 (Drosophila)	-2.3	1468.9	252.7
206247_at	NM_005931	MICB	MHC class I polypeptide-related sequence B	-2.3	4627.4	893
241344_at	---	---	Transcribed locus	-2.2	730.9	287.5
225205_at	NM_004798	KIF3B	kinesin family member 3B	-2.1	3796.1	1031.8
225663_at	NM_001042473 /// NM_145698	ACBD5	acyl-Coenzyme A binding domain containing 5	-2.1	3292.2	750.1
228149_at	NM_152556	FLJ31818	hypothetical protein FLJ31818	-2.1	2013.8	586
202630_at	NM_006380	APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	-2	1365.4	346.6
223176_at	NM_173562	KCTD20	potassium channel tetramerisation domain containing 20	-2	3654.9	1043.4
225358_at	NM_145261 /// NM_201259 /// NM_201260 /// NM_201261	DNAJC19	DnaJ (Hsp40) homolog, subfamily C, member 19	-2	1158.3	257.8
225956_at	NM_153607	LOC153222	adult retina protein	-2	1144.5	508.8
203447_at	NM_005047	PSMD5	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5	-1.9	2423.1	667.1
221041_s_at	NM_012434	SLC17A5	solute carrier family 17 (anion/sugar transporter), member 5	-1.9	1029.4	380.4
228345_at	NM_001039840	CHIC1	Cysteine-rich hydrophobic domain 1	-1.9	1125.2	304
229036_at	NM_001024843 /// NM_015088	TNRC6B	trinucleotide repeat containing 6B	-1.9	1196.5	335.4
201565_s_at	NM_002166	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	-1.8	2607.9	772.6
202785_at	NM_005001	NDUFA7	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa	-1.8	2480	485.7
203943_at	NM_004798	KIF3B	kinesin family member 3B	-1.8	2411	638.7
209489_at	NM_001025596 /// NM_006560 /// NM_198700	CUGBP1	CUG triplet repeat, RNA binding protein 1	-1.8	3603.5	1188.8
212899_at	NM_015076	CDC2L6	cell division cycle 2-like 6 (CDK8-like)	-1.8	1522.9	449.8
221689_s_at	NM_153681 /// NM_153682	PIGP	phosphatidylinositol glycan anchor biosynthesis, class P	-1.8	5071.3	1381.4
223441_at	NM_012434	SLC17A5	solute carrier family 17 (anion/sugar transporter), member 5	-1.8	2223.4	611.6
224733_at	NM_001048251 /// NM_144601 /// NM_181553 /// NM_181554 /// NM_181555	CMTM3	CKLF-like MARVEL transmembrane domain containing 3	-1.8	1172.1	285.3
225068_at	NM_021633	KLHL12	kelch-like 12 (Drosophila)	-1.8	4048.8	1111
228299_at	NM_173562	KCTD20	Potassium channel tetramerisation domain containing 20	-1.8	5857.5	1575
201583_s_at	NM_006363 /// NM_032985 /// NM_032986	SEC23B	Sec23 homolog B (S. cerevisiae)	-1.7	2074.3	707.6
203407_at	NM_002705	PPL	periplakin	-1.7	1592.3	662.7
