Ref seq	locus link	Gene  symbol	cytoband	kb middle position	gene median class 1	gene median class 2	pvalue ttest gene	correlation with closest relevant clone	pvalue correlation with closest relevant clone	ref seq best correlated clone	p-value ttest best correlated clone (in S)	median class (poor)	median class (good)	% class (poor) UP	% class (good) UP	% class (poor) DOWN	% class (good) DOWN
NM_017702	54849	FLJ20186	14q31.3	85113	1.44E-01	-1.50E-01	4.02E-05	-4.35E-01	2.09E-04	RP11-406A9	5.49E-04	-1.05E-01	-1.82E-02	0	0	9.09E+00	0
NM_013231	23768	FLRT2,KIAA0405	14q31.3	85113	-2.21E-01	-2.66E-02	3.17E-04	3.28E-01	6.26E-03	RP11-203D9	5.24E-05	-8.55E-02	3.60E-04	0	0	4.55E+00	0
NM_012417	26207	PITPNC1,RDGBB,RDGBB1,RDGB-BETA	17q23.3	62962	3.35E-02	-5.22E-02	6.26E-03	3.94E-01	8.90E-04	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_002816	5718	PSMD12,p55	17q23.3	62779	-5.66E-02	-1.09E-01	7.33E-01	5.82E-01	1.88E-07	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_002266	3838	KPNA2,QIP2,RCH1,IPOA1,SRP1alpha	17q24.1	63468	1.15E-01	-2.76E-01	2.20E-08	5.29E-01	3.45E-06	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_004694	9120	SLC16A6,MCT6	17q24.1	63787	-4.92E-01	-2.29E-02	6.72E-04	2.02E-01	9.93E-02	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_015462	25926	DKFZP586L0724	17q24.1	63158	2.31E-02	-7.15E-02	1.05E-03	6.60E-01	9.55E-10	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_007168	10351	ABCA8,KIAA0822	17q24.1	64419	-1.74E-01	-1.96E-02	1.29E-03	-9.64E-02	4.34E-01	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
AL133105	54757	FAM20A,DKFZp434F2322	17q24.1	64077	-1.52E-02	-1.61E-01	2.99E-02	-1.69E-01	1.69E-01	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
NM_017983	55062	FLJ10055	17q24.1	63947	1.07E-02	-6.37E-02	3.13E-01	5.05E-01	1.15E-05	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_016627	51321	LOC51321	17q24.1	63760	-8.05E-02	-1.04E-01	3.41E-01	6.71E-01	3.68E-10	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_004459	2186	FALZ,BPTF,FAC1,NURF301	17q24.1	63332	-5.76E-02	-4.39E-02	5.46E-01	7.00E-01	3.19E-11	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_002734	5573	PRKAR1A,CAR,CNC1,PKR1,TSE1,PRKAR1,MGC17251	17q24.1	64030	-8.03E-02	-5.11E-02	9.58E-01	6.21E-01	1.59E-08	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_000346	6662	SOX9,CMD1,SRA1,CMPD1	17q24.2	67631	1.89E-01	2.75E-02	1.01E-01	9.01E-02	4.65E-01	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
AB067475	23461	ABCA5,ABC13,EST90625	17q24.2	64795	-1.62E-01	-1.32E-01	2.63E-01	3.00E-01	1.28E-02	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
AJ275973	23461	ABCA5,ABC13,EST90625	17q24.2	64795	-4.27E-02	-3.50E-02	4.05E-01	2.67E-01	2.75E-02	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
AI524330	2906	GRIN2D	17q24.2	67631	2.44E-02	1.62E-02	8.64E-01	8.10E-02	5.11E-01	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
NM_016185	51155	HN1	17q24.3	70653	8.62E-02	-1.79E-01	4.32E-07	4.83E-01	3.05E-05	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AL833387	60386	SLC25A19,DNC,MUP1,MCPHA	17q24.3	70789	6.31E-02	-1.08E-01	6.14E-07	4.76E-01	4.16E-05	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
NM_000154	2584	GALK1,GK1,GALK	17q24.3	71269	9.08E-02	-5.64E-02	2.73E-05	3.62E-01	2.42E-03	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_002086	2885	GRB2,ASH,Grb3-3,EGFRBP-GRB2	17q24.3	70870	1.05E-01	-3.50E-02	5.42E-04	2.82E-01	2.00E-02	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_004695	9121	SLC16A5,MCT5	17q24.3	70605	-2.30E-01	4.93E-02	5.88E-04	8.31E-02	5.00E-01	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
