GenBank ID	Description	Category	up-/down-regulates
W81196	CDC42 effector protein 2	Cell cycle and DNA damage repair	Upregulated genes
AA634006	actin, alpha2	Cell cycle and DNA damage repair	Upregulated genes
AA877255	human interferon regulatory factor 7	Apoptosis and senescence	Upregulated genes
AA058323	interferon induced transmembrane protein 1	Apoptosis and senescence	Upregulated genes
AA150500	interferon stimulated gene (20 kD)	Apoptosis and senescence	Upregulated genes
H26183	CCAAT/enhancer binding protein (C/EBP), beta	Signal transduction molecules and transcription factors	Upregulated genes
AA676804	CCAAT/enhancer binding protein (C/EBP), gamma	Signal transduction molecules and transcription factors	Upregulated genes
AA419177	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	Signal transduction molecules and transcription factors	Upregulated genes
R88242	ribonuclease/angiogenin inhibitor	Angiogenesis	Upregulated genes
R19956	vascular endothelial growth factor	Angiogenesis	Upregulated genes
AA664389	transforming growth factor beta-stimulated protein TSC-22	Angiogenesis	Upregulated genes
AA424695	integrin, alpha3 (antigen CD49C, alpha3 subunit of VLA-3 receptor)	Adhesion	Upregulated genes
AA485373	cathepsin D (lysosomal aspartyl protease)	Adhesion	Upregulated genes
AA143201	matrix metalloproteinase 1 (interstitial collagenase)	Invasion and metastasis	Upregulated genes
AA644092	nonmetastatic cell protein (nm23A)	Invasion and metastasis	Upregulated genes
R76314	ras homolog gene family (rho G)	Invasion and metastasis	Upregulated genes
N72228	synovial sarcoma, X breakpoint 2	Invasion and metastasis	Upregulated genes
AA411640	ras-related GTP-binding protein	Invasion and metastasis	Upregulated genes
R50354	leukemia inhibitory factor	Invasion and metastasis	Upregulated genes
AA676797	cyclin F	Cell cycle and DNA damage repair	Downregulated genes
N48329	CD2-associated protein	Cell cycle and DNA damage repair	Downregulated genes
AA488718	human BRCA2 region, mRNA sequence CG018	Cell cycle and DNA damage repair	Downregulated genes
AA041499	cell division cycle 4-like	Cell cycle and DNA damage repair	Downregulated genes
AA453176	ataxia telangiectasia and Rad3-related	Cell cycle and DNA damage repair	Downregulated genes
AA504348	topoisomerase (DNA) II alpha (170 kD)	Cell cycle and DNA damage repair	Downregulated genes
AA598974	cell division cycle 2, G1 to S and G2 to M	Cell cycle and DNA damage repair	Downregulated genes
AA678295	BRCA 1-associated RING domain 1	Cell cycle and DNA damage repair	Downregulated genes
N73242	CHK 1 (checkpoint, S. pombe)	Cell cycle and DNA damage repair	Downregulated genes
AA954188	tubulin-specific chaperone c	Cell cycle and DNA damage repair	Downregulated genes
AA401479	cyclin-dependent kinase 5	Cell cycle and DNA damage repair	Downregulated genes
N51014	homo sapiens apoptotic protease activating factor 1	Apoptosis and senescence	Downregulated genes
AA490894	tumor necrosis factor receptor shedding aminopeptidase regulator type 1	Apoptosis and senescence	Downregulated genes
AA293571	tumor necrosis factor receptor superfamily, member 6	Apoptosis and senescence	Downregulated genes
T50828	caspase 7, apoptosis-related cysteine protease	Apoptosis and senescence	Downregulated genes
AA699697	tumor necrosis factor (TNF superfamily, member 2)	Apoptosis and senescence	Downregulated genes
R37093	apoptosis regulator	Apoptosis and senescence	Downregulated genes
AA102068	heat shock transcription factor 4	Signal transduction molecules and transcription factors	Downregulated genes
AA234897	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)	Signal transduction molecules and transcription factors	Downregulated genes
AA039370	transcriptional enhancer factor tef-1	Signal transduction molecules and transcription factors	Downregulated genes
N62394	gap junction protein, beta1, 32 kD (connexin 32)	Signal transduction molecules and transcription factors	Downregulated genes
AA598794	connective tissue growth factor	Angiogenesis	Downregulated genes
N45138	transforming growth factor, beta2	Angiogenesis	Downregulated genes
H62473	transforming growth factor, beta receptor III (betaglycan, 300 kD)	Angiogenesis	Downregulated genes
R87964	integrin, alpha8	Adhesion	Downregulated genes
AA872420	collagen, type VIII, alpha1	Adhesion	Downregulated genes
AA463610	integrin, alpha2	Adhesion	Downregulated genes
R25521	neuronal cell adhesion molecule	Adhesion	Downregulated genes
H24650	laminin, gamma1	Adhesion	Downregulated genes
AA865557	integrin, alpha9	Adhesion	Downregulated genes
W37864	phosphatase and tensin homolog, PTEN	Invasion and metastasis	Downregulated genes
H24688	SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily c, member 2	Invasion and metastasis	Downregulated genes
AA598468	SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily a, member 5	Invasion and metastasis	Downregulated genes
N33214	matrix metalloproteinase 14	Invasion and metastasis	Downregulated genes
AA443351	V-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	Invasion and metastasis	Downregulated genes
H09997	matrix metalloproteinase 16	Invasion and metastasis	Downregulated genes
A1002301	RAB13, member RAS oncogene family	Invasion and metastasis	Downregulated genes
N24966	V-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3	Invasion and metastasis	Downregulated genes
W84711	fibronectin 1	Invasion and metastasis	Downregulated genes
