probeset	GeneSymbol	Gene Title	UniGene ID	Entrez Gene	cluster group
1558569_at	MAML2	Mastermind-like 2 (Drosophila)	Hs.428214	84441	a
1556054_at	TBC1D8	TBC1 domain family, member 8 (with GRAM domain)	Hs.442657	11138	a
1556493_a_at	JMJD2C	Jumonji domain containing 2C	Hs.157106	23081	a
1556658_a_at	MBNL1	Muscleblind-like (Drosophila)	Hs.478000	4154	a
1556820_a_at		Full length insert cDNA YR33G07	Hs.560193	---	a
1557418_at	ACSL4	Acyl-CoA synthetase long-chain family member 4	Hs.268785	2182	a
1557551_at	PSCD1	Pleckstrin homology, Sec7 and coiled-coil domains 1(cytohesin 1)	Hs.191215	9267	a
1557828_a_at	FLJ32363	FLJ32363 protein	Hs.448041	375444	a
1558078_at	POLR2J2	DNA directed RNA polymerase II polypeptide J-related gene	Hs.433879	246721	a
1558410_s_at		LOC441276	Hs.549405	442612	a
1559025_at	SEP09	septin 9	Hs.440932	10801	a
1559391_s_at	B4GALT5	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5	Hs.370487	9334	a
1559401_a_at	ZNF609	Zinc finger protein 609	Hs.170498	23060	a
1561167_at	ETV6	Ets variant gene 6 (TEL oncogene)	Hs.504765	2120	a
1561195_at	TM7SF1	Transmembrane 7 superfamily member 1 (upregulated in kidney)	Hs.498160	7107	a
1562031_at	JAK2	Janus kinase 2 (a protein tyrosine kinase)	Hs.434374	3717	a
1562529_s_at	RORA	RAR-related orphan receptor A	Hs.511626	6095	a
1563509_at	FYB	FYN binding protein (FYB-120/130)	Hs.370503	2533	a
1564077_at	LOC285513	Hypothetical protein LOC285513	Hs.100912	285513	a
1564776_at	LENG10	leukocyte receptor cluster (LRC) member 10	---	94057	a
1565597_at	FLJ20273	RNA-binding protein	Hs.518727	54502	a
1565804_at	ATXN1	Ataxin 1	Hs.434961	6310	a
1565703_at	SMAD4	SMAD, mothers against DPP homolog 4 (Drosophila)	Hs.75862	4089	a
1568983_a_at		CDNA clone IMAGE:4814008	Hs.122974	---	a
1569180_at	LOC51326	ADP-ribosylation factor-like	Hs.540942	51326	a
1569538_at		Clone FLB8310 PRO2225	Hs.567971	---	a
1569540_at		---	---	---	a
1569607_s_at	ANKRD20A1;C21orf81;LOC440841;LOC441425;ANKRD20A2	ankyrin repeat domain 20 family, member A1 /// chromosome 21 open reading frame 81 /// similar to ankyrin repeat domain 20A /// OTTHUMP00000015360 /// ankyrin repeat domain 20 family, member A2	Hs.364456	114035 /// 440841 /// 441425 /// 441430 /// 84210	a
1570165_at	CHST11	Carbohydrate (chondroitin 4) sulfotransferase 11	Hs.17569	50515	a
201295_s_at	WSB1	WD repeat and SOCS box-containing 1	Hs.446017	26118	a
206088_at		PREDICTED: Homo sapiens similar to Hypothetical protein KIAA0563 (LOC440457), mRNA	Hs.514415	---	a
207746_at	POLQ	polymerase (DNA directed), theta	Hs.241517	10721	a
213703_at	LOC150759	hypothetical protein LOC150759	Hs.531822	150759	a
215262_at		Clone 24629 mRNA sequence	Hs.142570	---	a
215555_at		CDNA FLJ13712 fis, clone PLACE2000394	Hs.549748	---	a
215599_at	SMA4	SMA4	Hs.482411	11039	a
216109_at	THRAP2	Thyroid hormone receptor associated protein 2	Hs.159799	23389	a
220704_at	ZNFN1A1	zinc finger protein, subfamily 1A, 1 (Ikaros)	Hs.435949	10320	a
221234_s_at	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2 /// BTB and CNC homology 1, basic leucine zipper transcription factor 2	Hs.269764	60468	a
222326_at	PDE4B	Phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)	Hs.198072	5142	a
222371_at	PIAS1	Protein inhibitor of activated STAT, 1	Hs.162458	8554	a
227198_at	AFF3	AF4/FMR2 family, member 3	Hs.444414	3899	a
226665_at	AHSA2	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)	Hs.558625	130872	a
226675_s_at	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	Hs.187199	378938	a
228793_at	JMJD1C	jumonji domain containing 1C	Hs.413416	221037	a
229483_at	UBE2H	Ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)	Hs.344165	7328	a
230312_at		CDNA FLJ45482 fis, clone BRTHA2001953	Hs.88045	---	a
230970_at	SSH2	Slingshot homolog 2 (Drosophila)	Hs.335205	85464	a
231024_at	LOC286272	Hypothetical protein LOC286272	Hs.178400	286272	a
231979_at		---	---	---	a
232286_at	LAF4	AF4/FMR2 family, member 3	Hs.444414	3899	a
232304_at	PELI1	Pellino homolog 1 (Drosophila)	Hs.7886	57162	a
232489_at	FLJ10287	hypothetical protein FLJ10287	Hs.440371	54482	a
232584_at	C20orf17	Chromosome 20 open reading frame 17	Hs.473117	128553	a
232882_at	FOXO1A	Forkhead box O1A (rhabdomyosarcoma)	Hs.370666	2308	a
232974_at	HDHD1A	Haloacid dehalogenase-like hydrolase domain containing 1A	Hs.185910	8226	a
233302_at	BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	Hs.510396	64919	a
233614_at	CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	Hs.430589	868	a
233940_at	EML4	Echinoderm microtubule associated protein like 4	Hs.432438	27436	a
233921_s_at	MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast)	Hs.209128	8379	a
234032_at	ZCCHC7	Zinc finger, CCHC domain containing 7	Hs.371588	84186	a
235693_at		Transcribed locus	Hs.557448	---	a
234148_at	LRRC5	Leucine rich repeat containing 8 family, member D	Hs.482087	55144	a
234151_at	CUGBP2	CUG triplet repeat, RNA binding protein 2	Hs.309288	10659	a
234260_at	CDC42SE2	CDC42 small effector 2	Hs.508829	56990	a
234604_at		CDNA: FLJ21228 fis, clone COL00739	Hs.306716	---	a
235150_at	SESN3	Sestrin 3	Hs.120633	143686	a
235167_at	DKFZp547E087	hypothetical gene LOC283846	Hs.531664	283846	a
235028_at		CDNA FLJ46440 fis, clone THYMU3016022	Hs.386042	---	a
235060_at	DKFZp547E087	hypothetical gene LOC283846	Hs.531664	283846	a
235274_at		Transcribed locus, weakly similar to NP_055301.1 neuronal thread protein AD7c-NTP [Homo sapiens]	Hs.560351	---	a
235412_at	ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7	Hs.508738	8874	a
235803_at	CRLF3	Cytokine receptor-like factor 3	Hs.567280	51379	a
236924_at	GLMN	Glomulin, FKBP associated protein	Hs.49105	11146	a
235987_at	PRKXP1	protein kinase, X-linked, pseudogene 1	Hs.12250	441733	a
236244_at	HNRPU	Heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	Hs.166463	3192	a
236379_at	EPB41	Erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	Hs.175437	2035	a
236558_at	MBNL1	Muscleblind-like (Drosophila)	Hs.478000	4154	a
236610_at	PDE4D	Phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	Hs.117545	5144	a
236778_at	ATRX	Alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	Hs.533526	546	a
236796_at	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2	Hs.269764	60468	a
237009_at	CD69	CD69 antigen (p60, early T-cell activation antigen)	Hs.208854	969	a
237035_at	WWOX	WW domain containing oxidoreductase	Hs.557587	51741	a
237594_at	MSI2	Musashi homolog 2 (Drosophila)	Hs.134470	124540	a
238320_at	TncRNA	trophoblast-derived noncoding RNA	Hs.556258	283131	a
238342_at	KIAA0220	PI-3-kinase-related kinase SMG-1-like	Hs.531664	283846	a
238774_at	LOC284058	LOC284058 protein	Hs.405514	284058	a
240102_at		T cell receptor, clone IGRB40	Hs.527077	---	a
239448_at		---	---	---	a
239646_at	KIAA1961	KIAA1961 gene	Hs.483329	96459	a
239735_at		MRNA (fetal brain cDNA g6_1g)	Hs.482458	---	a
239893_at	MCTP2	Multiple C2-domains with two transmembrane regions 2	Hs.33368	55784	a
239808_at	PITPNC1	Phosphatidylinositol transfer protein, cytoplasmic 1	Hs.231295	26207	a
239946_at	KIAA0922	KIAA0922 protein	Hs.205572	23240	a
240265_at	TRAF3IP3	TRAF3 interacting protein 3	Hs.147434	80342	a
240499_at	KIAA1128	KIAA1128	Hs.461988	54462	a
241036_at	HPS3	Hermansky-Pudlak syndrome 3	Hs.477898	84343	a
242551_at	C18orf1	Chromosome 18 open reading frame 1	Hs.149363	753	a
241365_at		CDNA FLJ42259 fis, clone TKIDN2011289	Hs.33024	---	a
