UNIQID	GenBank ID	UniGene ID	Gene Description
27291	J03040	Hs.111779	secreted protein, acidic, cysteine-rich (osteonectin)
28489	AB000221	Hs.16530	small inducible cytokine subfamily A (Cys-Cys), member 18, pulmonary and activation-regulated
17791	X02761	Hs.287820	fibronectin 1
28655	X72755	Hs.77367	monokine induced by gamma interferon
26715	M12529	Hs.169401	apolipoprotein E
23952	X02761	Hs.287820	fibronectin 1
28754	AF004230	Hs.204040	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1
19347	X12451	Hs.78056	cathepsin L
34257	J03040	Hs.111779	secreted protein, acidic, cysteine-rich (osteonectin)
32626	X72755	Hs.77367	monokine induced by gamma interferon
26717	M12529	Hs.169401	apolipoprotein E
27040	M11313	Hs.74561	alpha-2-macroglobulin
28874	AF019562	Hs.9963	TYRO protein tyrosine kinase binding protein
28342	X13334	Hs.75627	CD14 antigen
34876	X03124	Hs.5831	tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)
26102	AF004230	Hs.204040	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1
27093	X59812	Hs.82568	cytochrome P450, subfamily XXVIIA (steroid 27-hydroxylase, cerebrotendinous xanthomatosis), polypeptide 1
17305	X03124	Hs.5831	tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)
19379	X02761	Hs.287820	fibronectin 1
27510	J05070	Hs.151738	matrix metalloproteinase 9 (gelatinase B, 92kD gelatinase, 92kD type IV collagenase)
34426	NM_002982	Hs.303649	small inducible cytokine A2 (monocyte chemotactic protein 1)
34366	NM_006433	Hs.105806	granulysin
27788	X03124	Hs.5831	tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)
29272	NM_004131	Hs.1051	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)
16016	X02761	Hs.287820	fibronectin 1
24072	X03124	Hs.5831	tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)
16674	AF004230	Hs.204040	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1
27221	L22569	Hs.297939	cathepsin B
19338	X72755	Hs.77367	monokine induced by gamma interferon
28692	M33195	Hs.743	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide
16761	J03040	Hs.111779	secreted protein, acidic, cysteine-rich (osteonectin)
34401	L22569	Hs.297939	cathepsin B
27388	X14787	Hs.87409	thrombospondin 1
27400	M60626	Hs.753	formyl peptide receptor 1
17276	U67195	Hs.245188	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)
34395		Hs.371909	ESTs
16868	M11313	Hs.74561	alpha-2-macroglobulin
16914	M60626	Hs.753	formyl peptide receptor 1
27220	L22569	Hs.297939	cathepsin B
27592	J03040	Hs.111779	secreted protein, acidic, cysteine-rich (osteonectin)
15932	AB000221	Hs.16530	small inducible cytokine subfamily A (Cys-Cys), member 18, pulmonary and activation-regulated
16932	NM_000566	Hs.77424	Fc fragment of IgG, high affinity Ia, receptor for (CD64)
27270	J03040	Hs.111779	secreted protein, acidic, cysteine-rich (osteonectin)
29446		NA	NA
30473	M60626	Hs.753	formyl peptide receptor 1
19391	J03040	Hs.111779	secreted protein, acidic, cysteine-rich (osteonectin)
34418	X55720	Hs.2175	colony stimulating factor 3 receptor (granulocyte)
29622	X78565	Hs.289114	hexabrachion (tenascin C, cytotactin)
27593	J03210	Hs.111301	matrix metalloproteinase 2 (gelatinase A, 72kD gelatinase, 72kD type IV collagenase)
28506	S69115	Hs.10306	natural killer cell group 7 sequence
16732	X02761	Hs.287820	fibronectin 1
26123	X05610	Hs.75617	collagen, type IV, alpha 2
28932	NM_006144	Hs.90708	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)
19361	X14420	Hs.119571	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
33546	X14787	Hs.87409	thrombospondin 1
17696	NM_000566	Hs.77424	Fc fragment of IgG, high affinity Ia, receptor for (CD64)
27413	NM_000566	Hs.77424	Fc fragment of IgG, high affinity Ia, receptor for (CD64)
28390	NM_006144	Hs.90708	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)
27157	X59812	Hs.82568	cytochrome P450, subfamily XXVIIA (steroid 27-hydroxylase, cerebrotendinous xanthomatosis), polypeptide 1
29575	AF004230	Hs.204040	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1
17223	NM_006144	Hs.90708	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)
17913	AF019562	Hs.9963	TYRO protein tyrosine kinase binding protein
27509	J05070	Hs.151738	matrix metalloproteinase 9 (gelatinase B, 92kD gelatinase, 92kD type IV collagenase)
28847	X03663	Hs.174142	colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog
27440	X53416	Hs.195464	filamin A, alpha (actin binding protein 280)
19335	L22569	Hs.297939	cathepsin B
28170	U53446	Hs.81988	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)
30440	X72755	Hs.77367	monokine induced by gamma interferon
31398	X02761	Hs.287820	fibronectin 1
17331	NM_000566	Hs.77424	Fc fragment of IgG, high affinity Ia, receptor for (CD64)
17793	M59941	Hs.285401	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)
23923	NM_006433	Hs.105806	granulysin
28849	D10925	Hs.301921	chemokine (C-C motif) receptor 1
32659	M60626	Hs.753	formyl peptide receptor 1
34838	X02761	Hs.287820	fibronectin 1
15876	M27492	Hs.82112	interleukin 1 receptor, type I
17306	U09278	Hs.418	fibroblast activation protein, alpha
17471	X51985	Hs.74011	lymphocyte-activation gene 3
15885	U62027	Hs.155935	complement component 3a receptor 1
16754	J03210	Hs.111301	matrix metalloproteinase 2 (gelatinase A, 72kD gelatinase, 72kD type IV collagenase)
19368	M33195	Hs.743	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide
16021	S69115	Hs.10306	natural killer cell group 7 sequence
16687	L22569	Hs.297939	cathepsin B
26205	M20776	Hs.108885	collagen, type VI, alpha 1
27357		NA	NA
27847	L22569	Hs.297939	cathepsin B
23990		NA	NA
27499	D87071	Hs.79077	KIAA0233 gene product
28054	M23197	Hs.83731	CD33 antigen (gp67)
28641	D13666	Hs.136348	osteoblast specific factor 2 (fasciclin I-like)
16909	NM_006433	Hs.105806	granulysin
19363	NM_002341	Hs.890	lymphotoxin beta (TNF superfamily, member 3)
26020	NM_006500	Hs.211579	melanoma cell adhesion molecule
26025	X64177	Hs.2667	metallothionein 1H
17194	U54994	Hs.54443	chemokine (C-C motif) receptor 5
26314	X51675	Hs.179657	plasminogen activator, urokinase receptor
16944	D10925	Hs.301921	chemokine (C-C motif) receptor 1
17410	X14787	Hs.87409	thrombospondin 1
17698	D10925	Hs.301921	chemokine (C-C motif) receptor 1
28674	U03688	Hs.154654	cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile)
28510	AF054013	Hs.99855	formyl peptide receptor-like 1
29183	D00244	Hs.77274	plasminogen activator, urokinase
16990	M55542	Hs.62661	guanylate binding protein 1, interferon-inducible, 67kD
28596	M26062	Hs.75596	interleukin 2 receptor, beta
29299		NA	NA
26026	X64177	Hs.2667	metallothionein 1H
27052	M15395	Hs.83968	integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit)
27359	M11313	Hs.74561	alpha-2-macroglobulin
28770	Y00985	Hs.372783	superoxide dismutase 2, mitochondrial
24845	M26062	Hs.75596	interleukin 2 receptor, beta
26081	L13698	Hs.65029	growth arrest-specific 1
27274	J05593	Hs.325495	tissue inhibitor of metalloproteinase 2
27693	X04011	Hs.88974	cytochrome b-245, beta polypeptide (chronic granulomatous disease)
16962	X53416	Hs.195464	filamin A, alpha (actin binding protein 280)
27857	X05607	Hs.135084	cystatin C (amyloid angiopathy and cerebral hemorrhage)
28426	L04270	Hs.1116	lymphotoxin beta receptor (TNFR superfamily, member 3)
17693	NM_006433	Hs.105806	granulysin
24007	M55542	Hs.62661	guanylate binding protein 1, interferon-inducible, 67kD
26112		NA	NA
30460	D10925	Hs.301921	chemokine (C-C motif) receptor 1
16285	AF217974	Hs.96657	hyothetical protein
27296	X67016	Hs.252189	syndecan 4 (amphiglycan, ryudocan)
16296		NA	NA
27100	X06256	Hs.149609	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)
29325		NA	NA
30380	X04011	Hs.88974	cytochrome b-245, beta polypeptide (chronic granulomatous disease)
28382	X04011	Hs.88974	cytochrome b-245, beta polypeptide (chronic granulomatous disease)
28436	M27492	Hs.82112	interleukin 1 receptor, type I
28782	X98050	NA	NA
16673	X63359	Hs.294039	UDP glycosyltransferase 2 family, polypeptide B10
17713	M55542	Hs.62661	guanylate binding protein 1, interferon-inducible, 67kD
19331	S57235	Hs.246381	CD68 antigen
27297	NM_006288	Hs.125359	Thy-1 cell surface antigen
25109	X14618	Hs.1211	acid phosphatase 5, tartrate resistant
