t-value	Parametric p-value	% CV support	Average ratios in the High-risk group	Average ratios in the Low-risk group	Unique id	Description	Clone	UG cluster	Gene symbol	Map
5.69	p < 0.000001	100	3.346	1.349	164963	cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7)	1285503	Hs.663	CFTR	7q31.2
5.75	p < 0.000001	100	2.619	1.516	168336	claudin 10	958923	Hs.26126	CLDN10	13q31-q34
5.48	0.000001	100	2.291	1.294	164387	ESTs	1375813	Hs.133022		8
3.55	0.000791	54	2.155	1.64	162822	Homo sapiens cDNA FLJ36527 fis, clone TRACH2003941, mRNA sequence	3143449	Hs.378776		2
3.55	0.000784	56	2.107	1.47	160894	tumor-associated calcium signal transducer 2	1600421	Hs.23582	TACSTD2	1p32-p31
3.7	0.000485	98	2.098	1.54	169725	imprinted in Prader-Willi syndrome	623523	Hs.5022	IPW	15q11-q12
4.41	0.000047	100	2.064	1.466	166729	syndecan binding protein (syntenin) 2	1943485	Hs.64179	SDCBP2	20p13
4.83	0.000011	100	2.06	1.475	169514	cysteine-rich protein 1 (intestinal)	2121863	Hs.423190	CRIP1	7q11.23
4.05	0.000156	100	2.041	1.463	162045	non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)	2799253	Hs.72050	NME5	5q31
3.62	0.000644	76	2.035	1.487	163205	Homo sapiens cDNA FLJ37289 fis, clone BRAMY2014462, mRNA sequence	1287278	Hs.312323		11
4.37	0.000055	100	2.008	1.202	160115	prominin-like 1 (mouse)	2070568	Hs.112360	PROML1	4p15.33
3.65	0.000583	93	1.968	1.533	169629	ESTs, Highly similar to AF9_HUMAN AF-9 protein [H.sapiens]	389707	Hs.382134		9
3.94	0.000224	100	1.941	1.365	168430	cardiac ankyrin repeat protein	924319	Hs.355934	CARP	10q23.31
3.63	0.00061	85	1.909	1.49	167768	hypothetical protein FLJ10199	1520041	Hs.30925	FLJ10199	1p36.13
3.6	0.000681	76	1.902	1.427	162061	helicase, lymphoid-specific	2171287	Hs.203963	HELLS	10q24.2
4.26	0.000077	100	1.815	1.209	165298	hypothetical protein FLJ10901	2123889	Hs.73239	FLJ10901	1q31.3
3.81	0.000345	100	1.783	1.11	166813	nuclear receptor subfamily 4, group A, member 1	1958560	Hs.1119	NR4A1	12q13
3.48	0.000984	32	1.763	1.356	163362	ESTs	1593986	Hs.356158		14
4.5	0.000034	100	1.746	1.307	163409	ESTs, Weakly similar to cytokine receptor-like factor 2; cytokine receptor CRL2 precusor [Homo sapiens] [H.sapiens]	1640094	Hs.361171		10
5.21	0.000003	100	1.726	1.216	165160	synaptotagmin-like 2	1415307	Hs.92254	SYTL2	11q14
4	0.000182	100	1.712	1.287	168737	hypothetical protein similar to beta-transducin family	3735019	Hs.85570	FLJ10458	17q12
3.69	0.000501	95	1.706	1.318	162813	poliovirus receptor-related 1 (herpesvirus entry mediator C; nectin)	1967556	Hs.334846	PVRL1	11q23
4.04	0.000166	100	1.705	1.276	164291	Unknown [Homo sapiens], mRNA sequence	4073486	Hs.27092		2
3.73	0.00045	100	1.668	1.196	168707	regulator of G-protein signalling 4	617517	Hs.405720	RGS4	1q23.1
3.94	0.000226	100	1.665	1.251	169170	cyclin-dependent kinase-like 5	2014951	Hs.50905	CDKL5	Xp22
4.27	0.000074	100	1.655	1.2	166498	chromosome 17 open reading frame 31	2363395	Hs.20185	C17orf31	17p13.3
4.29	0.000073	100	1.655	1.203	168610	neuronal cell adhesion molecule	1832521	Hs.7912	NRCAM	7q31.1-q31.2
3.65	0.000586	92	1.645	1.167	168017	hypothetical protein FLJ20758	2105026	Hs.274248	FLJ20758	2p11.2
4.3	0.000068	100	1.625	1.071	169106	Homo sapiens, clone IMAGE:4830179, mRNA, mRNA sequence	2295127	Hs.192905		X
5.81	p < 0.000001	100	1.617	1.106	167261	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E	3212059	Hs.212414	SEMA3E	7q21.11
3.5	0.000922	32	1.616	1.268	169495	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	513943	Hs.40968		4p16
3.52	0.000843	46	1.616	1.195	166649	glycoprotein A repetitions predominant	3572014	Hs.151641	GARP	11q13.5-q14
4.04	0.000168	100	1.616	1.15	165143	hypothetical protein FLJ20535	4044967	Hs.183362	FLJ20535	11q23.2
3.74	0.00044	100	1.613	1.097	160201	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	698665	Hs.110736	SLC12A2	5q23.3
3.51	0.000896	42	1.61	1.232	165494	Incyte EST	3411277
3.68	0.000518	95	1.609	1.308	163940	solute carrier family 21 (organic anion transporter), member 11	1265073	Hs.14805	SLC21A11	15q26
3.56	0.000782	59	1.606	1.051	168219	Homo sapiens cDNA FLJ12830 fis, clone NT2RP2003073, mRNA sequence	1431471	Hs.123158		22
3.94	0.000226	100	1.601	1.213	169692	ESTs	1685511	Hs.54707		X
3.56	0.000765	54	1.554	1.273	167712	transmembrane 4 superfamily member tetraspan NET-7	1509276	Hs.95583	NET-7	10q22.1
3.99	0.000212	100	1.554	1.126	165351	Homo sapiens cDNA FLJ30370 fis, clone BRACE2007832, mRNA sequence	3736683	Hs.21411		13
3.66	0.000548	92	1.521	1.23	166685	KIAA0675 gene product	1794725	Hs.165662	KIAA0675	3q13.12
4.25	0.000081	100	1.517	1.163	169080	Unnamed protein product [Homo sapiens], mRNA sequence	4002274	Hs.378531		19
3.84	0.000314	100	1.514	1.15	165478	Homo sapiens cDNA FLJ11375 fis, clone HEMBA1000411, weakly similar to ANKYRIN, mRNA sequence	1850249	Hs.352591		10
