Gene Name	Gene Symbol	Gene ID	GenBank	Probe name	D	r
similar to C11orf17 protein	RGD1306959	361624	BF561368	1392938_s_at	5.039	1.5
caveolin 3	Cav3	29161	NM_019155	1387814_at	4.216	1.4
similar to RIKEN cDNA 1700012G19 gene	RGD1307773	287115	BG380656	1388881_at	4.206	1.2
similar to C11orf17 protein	RGD1306959	361624	AA799992	1385458_a_at	4.168	1.6
enolase 3, beta	Eno3	25438	NM_012949	1386907_at	4.135	1.5
similar to C11orf17 protein	RGD1306959	361624	BF561368	1383175_a_at	3.947	1.5
cytochrome P450, family 27, subfamily a, polypeptide 1	Cyp27a1	301517	M73231	1387914_at	3.927	1.4
similar to RIKEN cDNA 2700002I20	RGD1307279	307210	AI171367	1373074_at	3.783	1.3
EGL nine homolog 1	Egln1	308913	BI282122	1389207_at	3.652	1.2
Unknown		NA	BI295165	1373167_at	3.594	1.2
cystatin C	Cst3	25307	BG666933	1370855_at	3.457	1.3
tumor necrosis factor, alpha-induced protein 1 (endothelial)	Tnfaip1	287543	BM390023	1371911_at	3.433	1.2
