Genbank Accession #	Fold Change	Gene Name	Gene Symbol	q-value (%)	GO Biological Process	Chromosomal Location
NM_002466	9.49654	V-myb myeloblastosis viral oncogene homolog (avian)-like 2	MYBL2	0.569183903	anti-apoptosis;development;regulation of cell cycle;regulation of transcription\, DNA-dependent;transcription from Pol II promoter	20q13.12
NM_017786	4.1014	Hypothetical protein FLJ20366	FLJ20366	0.569183903		8q23.2
NM_018136	3.27968	Asp (abnormal spindle)-like, microcephaly associated (Drosophila)	ASPM	0.569183903		1q31.3
NM_016343	3.20829	Centromere protein F, 350/400ka (mitosin)	CENPF	0.569183903	DNA replication and chromosome cycle;regulation of mitosis	1q41
NM_006528	3.08341	Tissue factor pathway inhibitor 2	TFPI2	0.569183903	blood coagulation	7q21.3
NM_018131	3.07217	Chromosome 10 open reading frame 3	C10orf3	0.569183903	cytoskeleton organization and biogenesis	10q23.33
NM_001067	3.0072	Topoisomerase (DNA) II alpha 170kDa	TOP2A	0.569183903	DNA topological change	17q21.2
NM_005733	2.9909	Kinesin family member 20A	KIF20A	0.569183903	intracellular protein transport;vesicle-mediated transport	5q31.2
AF108138	2.96297	Chromosome 15 open reading frame 20	C15orf20	0.569183903	DNA repair	15q22.31
NM_001786	2.8847	Cell division cycle 2, G1 to S and G2 to M	CDC2	0.569183903	cytokinesis;mitosis;protein amino acid phosphorylation;start control point of mitotic cell cycle	10q21.2
NM_014750	2.87755	Discs, large homolog 7 (Drosophila)	DLG7	0.569183903	biological_process unknown;cell-cell signaling	14q22.3
NM_006101	2.71705	Kinetochore associated 2	KNTC2	0.569183903	mitotic chromosome segregation	18p11.32
NM_001813	2.71269	Centromere protein E, 312kDa	CENPE	0.569183903	DNA replication and chromosome cycle;cytokinesis;mitotic chromosome movement;mitotic metaphase plate congression	4q24
NM_181803	2.71057	Ubiquitin-conjugating enzyme E2C	UBE2C	0.569183903	cyclin catabolism;cytokinesis;mitosis;positive regulation of cell proliferation;regulation of DNA repair;ubiquitin cycle;ubiquitin-dependent protein catabolism	20q13.12
NM_004701	2.63526	Cyclin B2	CCNB2	0.569183903	cytokinesis;mitosis;regulation of cell cycle	15q22.2
NM_007174	2.63325	Citron (rho-interacting, serine/threonine kinase 21)	CIT	0.569183903	intracellular signaling cascade	12q24.23
AK098670	2.62182	Cell division cycle associated 2	CDCA2	0.569183903		8p21.2
NM_022346	2.62062	Chromosome condensation protein G	HCAP-G	0.569183903	mitotic chromosome condensation	4p15.32
NM_003258	2.57682	Thymidine kinase 1, soluble	TK1	0.569183903	DNA metabolism	17q25.3
ENST00000330382	2.56355			0.569183903		0
NM_018101	2.5629	Cell division cycle associated 8	CDCA8	0.569183903		1p34.3
NM_019013	2.55033	Hypothetical protein FLJ10156	FLJ10156	0.569183903	signal transduction	17p13.2
