AFFY_ID	DESCR	Mean (Control)	Mean (Spheroids)	Change factor Control (Spheroids)	P value control (Spheroids)
1916_s_at	v-fos fbj murine osteosarcoma viral oncogene homolog	248.5	2111.9	7.5	0.00009
2094_s_at	v-fos fbj murine osteosarcoma viral oncogene homolog	54	316.3	4.85	0.02645
37456_at	lectin, galactoside-binding, soluble, 2 (galectin 2)	62.8	337.2	4.37	0.00654
425_at	interferon, alpha-inducible protein 27	124.6	646	4.18	0.00091
1915_s_at	v-fos fbj murine osteosarcoma viral oncogene homolog	206.8	898.2	3.34	0.00954
41770_at	monoamine oxidase a	52.4	218.2	3.17	0.00536
39436_at	bcl2/adenovirus e1b 19kda interacting protein 3-like	55.9	212.6	2.8	0.01155
37897_s_at	trefoil factor 3 (intestinal)	144.3	526.1	2.65	0.01266
38639_at	max dimerization protein 4	52.1	170.3	2.27	0.00307
36634_at	btg family, member 2	184.7	560.2	2.03	0.00317
41771_g_at	monoamine oxidase a	403.8	1222.9	2.03	0.00153
32320_at	annexin a13	307.2	915.2	1.98	0.00052
32609_at	h2a histone family, member o	104.1	300.1	1.88	0.00678
33304_at	interferon stimulated gene 20kda	50.1	133.9	1.67	0.00371
41713_at	zinc finger protein 36 (kox 18)	130.9	330.5	1.53	0.0012
37880_at	alanine-glyoxylate aminotransferase (oxalosis i; hyperoxaluria i; glycolicaciduria; serine-pyruvate aminotransferase)	50.1	123.7	1.47	0.00131
37363_at	kiaa0429 gene product	59.4	142.2	1.4	0.00407
31477_at	trefoil factor 3 (intestinal)	52	1228.6	1.36	0.00502
35961_at	homo sapiens mrna; cdna dkfzp586o1318 (from clone dkfzp586o1318), mrna sequence	52.8	124.4	1.36	0.03195
39089_at	non-metastatic cells 4, protein expressed in	69.1	161.3	1.34	0.00954
37199_at	cgi-60 protein	105.3	239.7	1.28	0.02765
41772_at	monoamine oxidase a	244.6	555.3	1.27	0.00294
36531_r_at	hypothetical protein mgc2650	104.1	234.3	1.25	0.03397
32021_at	cluster incl ai560890:tq41d05.x1 homo sapiens cdna, 3 end /clone=image-2211369 /clone_end=3 /gb=ai560890 /gi=4511231 /ug=hs.226004 /len=430	65.4	146.7	1.24	0.0034
31431_at	fc fragment of igg, receptor, transporter, alpha	297.9	664.8	1.23	0.00574
32252_at	transthyretin (prealbumin, amyloidosis type i)	61.3	136.5	1.23	0.01418
34821_at	chemokine c-c motif receptor-like 1 adjacent	109.5	239.1	1.18	0.00859
32583_at	v-jun sarcoma virus 17 oncogene homolog (avian)	116.9	250.9	1.15	0.00042
33131_at	sry (sex determining region y)-box 4	598.8	1258.3	1.1	0.0011
577_at	midkine (neurite growth-promoting factor 2)	162.2	336.5	1.07	0.02073
33572_at	zinc finger protein 165	52	107.1	1.06	0.0366
40064_at	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 3	94.2	194	1.06	0.01067
40729_s_at	cluster incl y14768:homo sapiens dna, cosmid clones tn62 and tn82 /cds=(10,744) /gb=y14768 /gi=3805800 /ug=hs.890 /len=896	61.4	125.2	1.04	0.04057
40607_at	dihydropyrimidinase-like 2	222.4	451.7	1.03	0.01045
38845_at	pyruvate dehydrogenase kinase, isoenzyme 2	144.5	291.3	1.02	0.04389
40694_at	cytokeratin 20	796.5	1607.1	1.02	0.01397
1612_s_at	jun d proto-oncogene	2708.8	5437.4	1.01	0.00009
35834_at	alpha-2-glycoprotein 1, zinc	61.1	123	1.01	0.03481
34403_at	milk fat globule-egf factor 8 protein	94.6	189	1	0.01737
37963_at	arylsulfatase a	69.5	138.9	1	0.02698
