Probe set	Common name	GeneBank	Description
39402_at	IL1B	M15330	interleukin 1, beta
37145_at	GNLY	M85276	Homo sapiens NKG5 gene, complete cds.
36711_at	MAFF	AL021977	Human DNA sequence from clone CTA-447C4 on chromosome 22q12.2-13.2, complete sequence.
242385_at	RORB	R18374	RAR-related orphan receptor B
236782_at	SAMD3	AI129628	sterile alpha motif domain containing 3
231776_at	EOMES	NM_005442	eomesodermin homolog (Xenopus laevis)
231093_at	FCRH3	BF514552	Fc receptor-like protein 3
230508_at	DKK3	AL569601	dickkopf homolog 3 (Xenopus laevis)
229309_at	ADRB1	AI625747	adrenergic, beta-1-, receptor
226731_at	ITGA1	AA156873	integrin, alpha 1
226694_at	AKAP2	BG540494	paralemmin 2
225496_s_at	SYTL2	N21426	yx58d01.s1 Soares melanocyte 2NbHM Homo sapiens cDNA clone IMAGE:265921 3, mRNA sequence.
223280_x_at	MS4A6A	AF253977	membrane-spanning 4-domains, subfamily A, member 6A
221127_s_at	RIG	NM_006394
220646_s_at	KLRF1	NM_016523	killer cell lectin-like receptor subfamily F, member 1
220307_at	CD244	NM_016382	CD244 natural killer cell receptor 2B4
219666_at	MS4A6A	NM_022349	membrane-spanning 4-domains, subfamily A, member 6A
219033_at	FLJ2130 8	NM_024615	hypothetical protein FLJ21308
219013_at	GALNT1 1	NM_022087	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11)
216920_s_at	TRGV9	M27331	T cell receptor gamma locus
216676_x_at	KIR2DS2	AC_006293
216191_s_at	TRD@	X72501	T cell receptor delta locus
215894_at	PTGDR	AI460323	prostaglandin D2 receptor (DP)
215806_x_at	TRGV9	M13231	T cell receptor gamma locus
214660_at	ITGA1	X68742	integrin, alpha 1
214567_s_at	XCL1	NM_003175	chemokine (C motif) ligand 2
214450_at	CTSW	NM_001335	cathepsin W (lymphopain)
214247_s_at	DKK3	AU148057	dickkopf homolog 3 (Xenopus laevis)
213975_s_at	LYZ	AV711904	AV711904 DCA Homo sapiens cDNA clone DCAAIE08 5, mRNA sequence.
213915_at	NKG7	NM_005601	natural killer cell group 7 sequence
213385_at	CHN2	AK026415	chimerin (chimaerin) 2
212240_s_at	PIK3R1	AI679268	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)
211144_x_at	TRGV9	M30894	T cell receptor gamma locus
210690_at	KLRC4	U96845	killer cell lectin-like receptor subfamily C, member 4
210606_x_at	KLRD1	U30610	killer cell lectin-like receptor subfamily D, member 1
210354_at	IFNG	M29383	Human mRNA for HuIFN-gamma interferon.
