probe	UniGene	EntrezGene.ID	Basal	Her2	LumA	LumB	Normal
ACTR3B	Hs.647117	57180	0.718331891	-0.481665675	0.00998107	-0.190551328	0.465722871
ANLN	Hs.62180	54443	0.537372301	0.266931609	-0.579245716	0.098804179	-0.836939593
BAG1	Hs.377484	573	-0.574506867	-0.476072868	0.758221161	-0.405458622	0.316552973
BCL2	Hs.150749	596	-0.11876043	-0.157913959	0.28748744	-0.441339498	0.533978871
BIRC5	Hs.514527	332	0.300488641	0.405733099	-0.881434366	0.603850777	-0.876636424
BLVRA	Hs.488143	644	-0.642677513	0.335336041	0.042042017	0.691204962	-0.163412812
CCNB1	Hs.23960	891	0.191208143	0.135476652	-0.491662114	0.503176358	-0.545269312
CCNE1	Hs.244723	898	0.560271028	0.066872232	-0.430291227	-0.01666143	-0.255476058
CDC20	Hs.524947	991	0.399695242	0.00835552	-0.46904401	-0.070412466	-0.04550481
CDC6	Hs.405958	990	0.159418279	0.58900682	-0.612824305	0.510895969	-0.595752175
CDCA1	NA	NA	0.472400168	-0.023819207	-0.712520819	0.589626883	-0.370533365
CDH3	Hs.461074	1001	0.508362012	0.210889692	-0.513649344	-1.419134437	0.757920624
CENPF	Hs.497741	1063	0.482976288	-0.02926616	-0.543740234	0.278228556	-0.070583075
CEP55	Hs.14559	55165	0.567748894	0.276381022	-0.746721735	0.460015762	-1.162374186
CXXC5	Hs.189119	51523	-0.920385813	-0.241550612	0.467411571	0.32133502	0.050901436
EGFR	Hs.488293	1956	-0.030416849	-0.096382621	0.009162963	-0.412401259	0.341637082
ERBB2	Hs.446352	2064	-0.80835398	1.759844231	0.608191264	0.159651874	-0.870238456
ESR1	Hs.208124	2099	-2.746513086	-1.513111253	2.161411882	1.605899914	-0.418282349
EXO1	Hs.498248	9156	0.428090356	0.049297194	-0.567474505	0.141241282	-0.450780537
FGFR4	Hs.165950	2264	-0.271238025	0.821778152	0.170811925	-0.247036038	0.857472777
FOXA1	Hs.163484	3169	-2.626946721	0.022827151	1.017457421	0.360757795	-0.782812106
FOXC1	Hs.348883	2296	1.490451472	-0.947174192	-0.17495796	-1.564854964	1.111547864
GPR160	Hs.231320	26996	-1.054974672	0.583194826	0.685489973	0.714407601	-0.423568467
GRB7	Hs.86859	2886	-0.276128586	1.03065778	0.041568986	0.087750887	0.241710991
KIF2C	Hs.69360	11004	0.20357258	-0.165102048	-0.505394668	-0.182890713	-0.390014484
KNTC2	NA	NA	0.600356167	0.042546792	-0.588220989	0.386706844	-1.06962886
KRT14	Hs.654380	3861	0.096826723	-0.443646142	0.368375943	-0.639446966	1.73568631
KRT17	Hs.2785	3872	0.482565528	-0.337837101	0.014209862	-1.463742934	1.759598437
KRT5	Hs.694210	3852	0.506640416	-0.428261778	0.215320068	-0.91160727	1.785116895
MAPT	Hs.101174	4137	-0.425829273	-0.357506541	0.700622718	-0.190340574	0.117828498
MDM2	Hs.567303	4193	-0.251366205	-0.106728681	0.14195743	-0.133779037	0.274214011
MELK	Hs.184339	9833	0.523033872	0.198013115	-0.582088108	0.44793463	-0.743764676
MIA	Hs.646364	8190	1.578276368	-0.904898621	-0.165258584	-1.422926267	2.038859556
MKI67	Hs.80976	4288	0.476537448	0.06566236	-0.501871622	-0.145217868	-0.166004063
MLPH	Hs.102406	79083	-0.339972459	-0.195228658	0.339304418	-0.456149915	0.750758365
MMP11	Hs.143751	4320	-0.556037672	0.50675876	-0.00625509	0.334199309	-2.326985119
MYBL2	Hs.179718	4605	0.389893452	0.20526358	-0.843569931	0.46728199	-0.601704754
MYC	Hs.202453	4609	0.178763812	-1.046832832	-0.090830821	0.015264397	1.029176203
NAT1	Hs.591847	9	-0.936848946	-0.089988492	2.922786792	0.470788042	-0.363273764
ORC6L	Hs.49760	23594	0.216304797	0.204402449	-0.352220667	0.11062765	-0.255879493
PGR	Hs.368072	5241	-0.429133389	-0.279409916	0.445785003	-0.448839844	0.126011482
PHGDH	Hs.487296	26227	0.63451887	-0.186625862	-0.398682234	-1.030139318	0.660437753
PTTG1	Hs.350966	9232	0.264131894	0.055809895	-0.63446827	0.249725281	-0.54978126
RRM2	Hs.226390	6241	0.156204676	0.682724889	-0.9507602	0.35066384	-1.12105493
SFRP1	Hs.695991	6422	0.987988459	-1.048202667	0.131566364	-1.720458262	2.436288668
SLC39A6	Hs.79136	25800	-1.051125052	-0.695736457	2.061459075	1.653303022	0.116889694
TMEM45B	Hs.504301	120224	-1.109458181	1.330636172	0.446242045	0.375688226	0.036208914
TYMS	Hs.592338	7298	0.449800897	0.052944897	-0.644602075	0.492606521	-0.726989454
UBE2C	Hs.93002	11065	0.218534147	0.061080598	-0.519818399	0.292799306	-0.408894685
UBE2T	Hs.5199	29089	0.389908898	0.284536813	-0.539259391	0.738952133	-0.952381005
