Probe set	Unigene cluster	Gene name	Fold change	P
204351_at	Hs.2962	S100 (calcium-binding protein P)	152	0.001
203108_at	Hs.194691	GPCR (RA-induced 3)	26.3	0.007
217109_at	Hs.198267	MUC4	24.6	0.001
206392_s_at	Hs.82547	RAR responder 1 (RARRES 1)	16.5	0.004
205366_s_at	Hs.98428	HOXB6	14.4	0.009
211924_s_at	Hs.179657	UPAR	13.5	0.002
202859_x_at	Hs.624	Interleukin 8 (IL8)	12.5	0.001
205453_at	Hs.2733	HOXB2	6.7	0.001
219799_s_at	Hs.179608	Retinol dehydrogenase homologue (hRADH)	4.7	0.016
203596_s_at	Hs.27610	RA- and IFN-inducible protein (IFT5)	4.2	0.01
204070_at	Hs.17466	RAR responder 3 (RARRES 3)	3.8	0.005
228601_at	Hs.93574	HOXD3	3.4	0.024
205249_at	Hs.1359	Krox20 (EGR2)	3.2	0.008
231936_at	Hs.40408	HOXC9	3.2	0.009
213844_at	Hs.37034	HOXA5	3	0.035
203749_s_at	Hs.250505	RAR-?	2.9	0.007
201042_at	Hs.512708	TGM2	2.9	0.001
202510_s_at	Hs.101382	TNFAIP2	2.9	0.004
204420_at	Hs.283565	FOSL1 (FOS-like antigen-1)	2.8	0.005
205601_s_at	Hs.22554	HOXB5	2.7	0.003
206858_s_at	Hs.820	HOXC6	2.6	0.016
202575_at	Hs.83650	Cellular RA-binding protein 2 (CRABP2)	2.6	0.018
38037_at	Hs.799	HB-EGF	2.5	0.009
2214782_at		Novel gene similar to retinaldehyde-binding protein (sRABP)	2.4	0.036
208937_s_at	Hs.75424	Id-1 (inhibitor of DNA binding 1)	2.3	0.039
201505_at	Hs.82124	Laminin ?1	2.2	0.026
204118_s_at	Hs.1497	RAR-?	2.2	0.049
212501_at	Hs.99029	CEBP ? (CCAAT enhancer-binding protein ?)	2.1	0.005
203936_s_at	Hs.151738	MMP9	2	0.008
221701_s_at	Hs.24553	STRA6	1.9	0.03
202449_s_at	Hs.20084	Retinoid X receptor ? (RXR-?)	0.4	0.005
231906_at	Hs.301963	HOXD8	0.6	0.01
202882_x_at	Hs.106346	RA-repressible protein (RARG-1)	0.6	0.045
207914_x_at	Hs.336963	Even-skipped homeobox 1 (EVX1)	0.5	0.016
208224_at	Hs.99992	HOXB1	0.4	0.01
205883_at	Hs.37096	Zinc finger protein 145 (ZNF145, PLZF)	0.3	0.002
203423_at	Hs.101850	Cellular RA-binding protein 1 (CRABP1)	0.2	0.001
209496_at	Hs.37682	RAR responder 2 (RARRES 2)	0.1	0.001
