List No.	Probe Set	FC(C)	P(C)	FC(T)	P(T)	Gene Symbol	Gene ID	Unigene	Chromosome	Description
392	217250_s_at	-7	0.00005	-13	0.0006	CHD5	26038	Hs.522898	1p36.23	chromodomain helicase DNA binding protein 5
393	216541_x_at	-7	0.00007	-7	0.05	IGHG1	3500	Hs.375600	14q32.33	immunoglobulin heavy constant gamma 1
394	212342_at	-5	0.00007	-3	0.01	MGC21416	286451	Hs.82719	Xq13.1	hypothetical protein MGC21416
395	205304_s_at	-20	0.0001	-26	0.001	KCNJ8	3764	Hs.102308	12p11.23	potassium inwardly-rectifying channel, subfamily J, member 8
396	215439_x_at	-3	0.0002	-4	0.002	SYNPO2	171024	Hs.480615	4q26	synaptopodin 2
397	208353_x_at	-3	0.0003	-5	0.009	ANK1	286	Hs.491558	8p11.1	ankyrin 1, erythrocytic
398	211296_x_at	-2	0.0007	-3	0.003	UBC	7316	Hs.520348	2p16	ribosomal protein S27a
399	212225_at	-51	0.0009	-24	0.003	SUI1	10209	Hs.150580	17q21.31	putative translation initiation factor
400	219391_at	-6	0.0009	-8	0.01	BPNT1	10380	Hs.406134	1q42.11	3(2), 5-bisphosphate nucleotidase 1
401	207574_s_at	-13	0.001	-6	0.007	GADD45B	4616	Hs.110571	19p13.3	growth arrest and DNA-damage-inducible, beta
402	202992_at	-3	0.001	-159	0.000008	C7	730	Hs.78065	5p13	complement component 7
403	209189_at	-3	0.001	-84	0.008	FOS	2353	Hs.25647	14q24.3	v-fos FBJ murine osteosarcoma viral oncogene homolog
404	218224_at	-3	0.001	-3	0.04	PNMA1	9240	Hs.194709	14q24.2	paraneoplastic antigen MA1
405	206032_at	-23	0.002	-14	0.004	DSC3	1825	Hs.41690	18q12.1	desmocollin 3
406	210904_s_at	-13	0.002	-2	0.04	IL13RA1	3597	Hs.496646	Xq24	interleukin 13 receptor, alpha 1
407	214484_s_at	-11	0.002	-5	0.04	OPRS1	10280	Hs.522087	9p13.2	opioid receptor, sigma 1
408	214640_at	-10	0.002	-24	0.001	UNC93A	54346	Hs.267749	6q27	unc-93 homolog A (C. elegans)
409	201328_at	-5	0.002	-3	0.01	ETS2	2114	Hs.517296	21q22.3	v-ets erythroblastosis virus E26 oncogene homolog 2
410	201842_s_at	-5	0.002	-14	0.001	EFEMP1	2202	Hs.76224	2p16	EGF-containing fibulin-like extracellular matrix protein 1
411	209335_at	-5	0.002	-74	0.02	DCN	1634	Hs.156316	12q13.2	decorin
412	222172_at	-4	0.002	-7	0.004	NPAS3	64067	Hs.509113	14q12-q13	neuronal PAS domain protein 3
413	201010_s_at	-3	0.002	-9	0.003	TXNIP	10628	Hs.533977	1q21.2	thioredoxin interacting protein
414	201560_at	-3	0.002	-6	0.008	CLIC4	25932	Hs.440544	1p36.11	chloride intracellular channel 4
415	206332_s_at	-3	0.002	-6	0.002	IFI16	3428	Hs.380250	1q22	interferon, gamma-inducible protein 16
416	207545_s_at	-3	0.002	-4	0.01	NUMB	8650	Hs.509909	14q24.3	numb homolog (Drosophila)
417	211476_at	-3	0.002	-4	0.004	MYOZ2	51778	Hs.381047	4q26-q27	myozenin 2
418	212812_at	-3	0.002	-4	0.007	FLJ22642		Hs.288232	5	cDNA FLJ22642
419	213933_at	-28	0.003	-2	0.02	PTGER3	5733	Hs.445000	1p31.2	prostaglandin E receptor 3 (subtype EP3)
420	201185_at	-3	0.003	-6	0.009	PRSS11	5654	Hs.501280	10q26.3	protease, serine, 11 (IGF binding)
421	218501_at	-3	0.003	-2	0.02	ARHGEF3	50650	Hs.476402	3p21-p13	Rho guanine nucleotide exchange factor (GEF) 3
422	201445_at	-2	0.003	-5	0.0002	CNN3	1266	Hs.483454	1p22-p21	calponin 3, acidic
423	220273_at	-2	0.003	-2	0.05	IL17B	27190	Hs.409558	5q32-34	interleukin 17B
424	203074_at	-28	0.004	-23	0.0002	ANXA8	244	Hs.463110	10q11.2	annexin A8
425	219304_s_at	-18	0.004	-18	0.01	PDGFD	80310	Hs.352298	11q22.3	platelet derived growth factor D
426	222168_at	-17	0.004	-3	0.03	ALDH1A3	220	Hs.459538	15q26.3	aldehyde dehydrogenase 1 family, member A3
427	201269_s_at	-9	0.004	-5	0.03	KIAA1068	23386	Hs.488171	7p13-p12	KIAA1068 protein
428	203178_at	-4	0.004	-22	0.0002	GATM	2628	Hs.75335	15q15.1	glycine amidinotransferase
429	222210_at	-3	0.004	-3	0.004	CASKIN2	57513	Hs.274408	17q25.3	CASK interacting protein 2
430	221872_at	-9	0.005	-13	0.03	RARRES1	5918	Hs.131269	3q25.32	retinoic acid receptor responder (tazarotene induced) 1
431	217767_at	-8	0.005	-5	0.01	C3	718	Hs.529053	19p13.3-p13.2	complement component 3
432	211872_s_at	-6	0.005	-8	0.003	RGS11	8786	Hs.65756	16p13.3	regulator of G-protein signalling 11
433	208441_at	-2	0.005	-2	0.0007	IGF1R	3480	Hs.20573	15q26.3	insulin-like growth factor 1 receptor
434	222151_s_at	-2	0.005	-2	0.04	FLJ13386	80254	Hs.443301	3q22.1	hypothetical protein FLJ13386
435	209763_at	-15	0.006	-22	0.002	CHRDL1	91851	Hs.496587	Xq23	chordin-like 1
436	204457_s_at	-10	0.006	-8	0.04	GAS1	2619	Hs.65029	9q21.3-q22	growth arrest-specific 1
437	220664_at	-8	0.006	-7	0.007	SPRR2C	6702	Hs.2421	1q21-q22	small proline-rich protein 2B
438	201666_at	-6	0.006	-4	0.008	TIMP1	7076	Hs.522632	Xp11.3-p11.23	tissue inhibitor of metalloproteinase 1
439	209699_x_at	-5	0.006	-2	0.04	AKR1C2	1646	Hs.460260	10p15-p14	aldo-keto reductase family 1, member C1
440	32541_at	-2	0.006	-3	0.004	PPP3CC	5533	Hs.149413	8p21.2	protein phosphatase 3, catalytic subunit
441	210690_at	-15	0.007	-4	0.04	KLRC4	8302	Hs.268510	12p13.2-p12.3	killer cell lectin-like receptor subfamily C, member 4
442	207269_at	-9	0.007	-4	0.008	DEFA4	1669	Hs.2582	8p23	defensin, alpha 4, corticostatin
443	203483_at	-7	0.007	-4	0.05	C10orf6	55719	Hs.447458	10q24.32	sema domain, 4G
444	214122_at	-6	0.007	-4	0.006	PDLIM7	9260	Hs.533040	5q35.3	PDZ and LIM domain 7 (enigma)
445	218718_at	-5	0.007	-19	0.002	PDGFC	56034	Hs.148162	4q32	platelet derived growth factor C
446	201315_x_at	-4	0.007	-2	0.008	IFITM2	10581	Hs.174195	11p15.5	interferon induced transmembrane protein 3 (1-8U)
447	205008_s_at	-4	0.007	-3	0.03	CIB2	10518	Hs.129867	15q24	calcium and integrin binding family member 2
448	207919_at	-2	0.007	-2	0.004	ART1	417	Hs.382188	11p15	ADP-ribosyltransferase 1
449	210301_at	-2	0.007	-2	0.01	XDH	7498	Hs.250	2p23-p22	xanthine dehydrogenase
450	221841_s_at	-15	0.008	-35	0.0002	KLF4	9314	Hs.376206	9q31	Kruppel-like factor 4 (gut)
451	203973_s_at	-4	0.008	-3	0.04	CEBPD	1052	Hs.440829	8p11.2-p11.1	CCAAT/enhancer binding protein (C/EBP), delta
452	206534_at	-4	0.008	-3	0.02	GRIN2A	2903	Hs.411472	16p13.2	glutamate receptor, ionotropic, N-methyl D-aspartate 2A
453	211457_at	-4	0.008	-6	0.04	GABARAPL3	23766	Hs.546646	12p13.31	GABA(A) receptor-associated protein like 1
454	206000_at	-2	0.008	-4	0.007	MEP1A	4224	Hs.179704	6p12-p11	meprin A, alpha (PABA peptide hydrolase)
455	220053_at	-2	0.008	-2	0.05	GDF3	9573	Hs.86232	12p13.1	growth differentiation factor 3
456	222176_at	-5	0.009	-11	0.0004	PTEN	5728	Hs.500466	10q23.3	phosphatase and tensin homolog
457	203934_at	-4	0.009	-13	0.01	KDR	3791	Hs.479756	4q11-q12	kinase insert domain receptor
458	208623_s_at	-4	0.009	-4	0.005	VIL2	7430	Hs.487027	6q25.2-q26	villin 2 (ezrin)
459	217058_at	-3	0.009	-3	0.02	GNAS	2778	Hs.125898	20q13.2-q13.3	GNAS complex locus
460	200012_x_at	-1	0.009	-6	0.00002	RPL21	6144	Hs.381123	4q12	similar to 60S ribosomal protein L21
461	204749_at	-18	0.01	-16	0.008	NAP1L3	4675	Hs.21365	Xq21.3-q22	nucleosome assembly protein 1-like 3
462	217452_s_at	-18	0.01	-15	0.05	B3GALT2	8707	Hs.518834	1q31	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2
463	204059_s_at	-9	0.01	-17	0.006	ME1	4199	Hs.21160	6q12	malic enzyme 1, NADP(+)-dependent, cytosolic
464	206634_at	-8	0.01	-9	0.02	SIX3	6496	Hs.227277	2p16-p21	sine oculis homeobox homolog 3 (Drosophila)
465	204306_s_at	-7	0.01	-5	0.02	CD151	977	Hs.512857	11p15.5	CD151 antigen
466	215981_at	-7	0.01	-10	0.007	DLEU7	220107	Hs.285829	13q14.3	Deleted in lymphocytic leukemia 7
467	219196_at	-7	0.01	-4	0.05	SCG3	29106	Hs.232618	15q21	secretogranin III
468	216420_at	-6	0.01	-4	0.03	TARDBPL	128682		20p12.3	TAR DNA binding protein-like
469	201280_s_at	-5	0.01	-20	0.02	DAB2	1601	Hs.481980	5p13	disabled homolog 2, mitogen-responsive phosphoprotein
470	211866_x_at	-5	0.01	-4	0.04	HFE	3077	Hs.233325	6p21.3	hemochromatosis
471	200891_s_at	-4	0.01	-4	0.01	SSR1	6745	Hs.114033	6p24.3	signal sequence receptor, alpha
472	202340_x_at	-4	0.01	-4	0.007	NR4A1	3164	Hs.524430	12q13	nuclear receptor subfamily 4, group A, member 1
473	205577_at	-4	0.01	-6	0.003	PYGM	5837	Hs.154084	11q12-q13.2	phosphorylase, glycogen; muscle
474	209854_s_at	-4	0.01	-3	0.02	KLK2	3817	Hs.515560	19q13.41	kallikrein 2, prostatic
475	204467_s_at	-3	0.01	-16	0.009	SNCA	6622	Hs.271771	4q21	synuclein, alpha (non A4 component of amyloid precursor)
476	204864_s_at	-3	0.01	-5	0.0003	IL6ST	3572	Hs.532082	5q11	interleukin 6 signal transducer
477	204976_s_at	-3	0.01	-2	0.03	AMMECR1	9949	Hs.211021	Xq22.3	Alport syndrome
478	205990_s_at	-3	0.01	-16	0.002	WNT5A	7474	Hs.152213	3p21-p14	wingless-type MMTV integration site family, member 5A
479	208410_x_at	-3	0.01	-3	0.003	AMELX	265	Hs.46329	Xp22.31-p22.1	amelogenin (amelogenesis imperfecta 1, X-linked)
480	209001_s_at	-3	0.01	-2	0.02	ANAPC13	25847	Hs.106909	3q22.1	anaphase promoting complex subunit 13
481	212244_at	-3	0.01	-3	0.02	GRINL1A	81488	Hs.437256	15q22.1	glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A
482	215675_at	-3	0.01	-3	0.01	KIAA1655	85370	Hs.181159	22	KIAA1655 protein
483	217590_s_at	-3	0.01	-5	0.02	TRPA1	8989	Hs.137674	8q13	transient receptor potential cation channel, subfamily A, member 1
484	202920_at	-2	0.01	-2	0.03	ANK2	287	Hs.137367	4q25-q27	ankyrin 2, neuronal
485	205528_s_at	-2	0.01	-6	0.01	CBFA2T1	862	Hs.368431	21q22.3	runt-related transcription factor 1
486	209779_at	-2	0.01	-5	0.003	MGC14817	84298	Hs.504820	12q14.2	hypothetical protein MGC14817
487	212777_at	-2	0.01	-2	0.03	SOS1	6654	Hs.278733	2p22-p21	son of sevenless homolog 1 (Drosophila)
488	212818_s_at	-2	0.01	-2	0.02	ASB1	51665	Hs.516788	2q37	ankyrin repeat and SOCS box-containing 1
489	217539_at	-2	0.01	-1	0.03	C18orf25	147339	Hs.116486	18q21.1	chromosome 18 open reading frame 25
490	220683_at	-2	0.01	-2	0.03	RDH8	50700	Hs.272405	19p13.2-p13.3	retinol dehydrogenase 8 (all-trans)
491	204755_x_at	-32	0.02	-27	0.02	HLF	3131	Hs.196952	17q22	hepatic leukemia factor
492	205626_s_at	-30	0.02	-39	0.02	CALB1	793	Hs.65425	8q21.3-q22.1	calbindin 1, 28kDa
493	211276_at	-20	0.02	-55	0.001	TCEAL2	140597	Hs.401835	Xq22.1-q22.3	my048 protein
494	206581_at	-18	0.02	-24	0.008	BNC	646	Hs.459153	15q25.1	basonuclin 1
495	204364_s_at	-13	0.02	-52	0.01	C2orf23	65055	Hs.368884	2p11.2	chromosome 2 open reading frame 23
496	203851_at	-12	0.02	-6	0.03	IGFBP6	3489	Hs.274313	12q13	insulin-like growth factor binding protein 6
497	207480_s_at	-11	0.02	-4	0.002	MEIS2	4212	Hs.510989	15q13.3	Meis1, myeloid ecotropic viral integration site 1 homolog 2
498	221766_s_at	-8	0.02	-4	0.04	C6orf37	55603	Hs.10784	6q14	chromosome 6 open reading frame 37
499	201117_s_at	-7	0.02	-5	0.004	CPE	1363	Hs.75360	4q32.3	carboxypeptidase E
500	207826_s_at	-7	0.02	-19	0.00005	ID3	3399	Hs.76884	1p36.13-p36.12	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
501	214247_s_at	-6	0.02	-15	0.03	DKK3	27122	Hs.292156	11p15.2	dickkopf homolog 3 (Xenopus laevis)
502	200986_at	-5	0.02	-2	0.04	SERPING1	710	Hs.384598	11q12-q13.1	serine proteinase inhibitor, clade G, member 1
503	209113_s_at	-5	0.02	-4	0.03	HMG20B	10362	Hs.406534	19p13.3	high-mobility group 20B
504	217429_at	-5	0.02	-2	0.02	TTLL2	83887	Hs.520554	6q27	tubulin tyrosine ligase-like family, member 2
505	218729_at	-5	0.02	-9	0.02	LXN	56925	Hs.478067	3q25.32	latexin
506	200953_s_at	-4	0.02	-19	0.005	CCND2	894	Hs.376071	12p13	cyclin D2
507	201508_at	-4	0.02	-2	0.0001	IGFBP4	3487	Hs.462998	17q12-q21.1	insulin-like growth factor binding protein 4
508	203941_at	-4	0.02	-2	0.05	FLJ10871	55756	Hs.162397	8p21.1	hypothetical protein FLJ10871
509	207595_s_at	-4	0.02	-4	0.02	BMP1	649	Hs.1274	8p21	bone morphogenetic protein 1
510	208933_s_at	-4	0.02	-4	0.03	WAC	51322	Hs.435610	1q42-q43	lectin, galactoside-binding, soluble, 8 (galectin 8)
511	211469_s_at	-4	0.02	-5	0.02	CXCR6	10663	Hs.34526	3p21	chemokine (C-X-C motif) receptor 6
512	211959_at	-4	0.02	-6	0.04	IGFBP5	3488	Hs.369982	2q33-q36	insulin-like growth factor binding protein 5
513	202388_at	-3	0.02	-8	0.005	RGS2	5997	Hs.78944	1q31	regulator of G-protein signalling 2, 24kDa
514	202518_at	-3	0.02	-2	0.02	BCL7B	9275	Hs.408219	7q11.23	B-cell CLL/lymphoma 7B
515	202581_at	-3	0.02	-4	0.02	HSPA1B	3304	Hs.274402	6q14.1	chemokine (C-C motif) receptor 5
516	203789_s_at	-3	0.02	-4	0.02	SEMA3C	10512	Hs.269109	7q21-q31	sema domain, 3C
517	207001_x_at	-3	0.02	-3	0.03	DSIPI	1831	Hs.522074	Xq22.3	delta sleep inducing peptide, immunoreactor
518	208451_s_at	-3	0.02	-4	0.03	C4B	721	Hs.546241	6p21.3	complement component 4A
519	212096_s_at	-3	0.02	-15	0.006	MTUS1	57509	Hs.7946	8p22	mitochondrial tumor suppressor 1
520	212615_at	-3	0.02	-6	0.005	FLJ12178	80205	Hs.530936	16q12.2	hypothetical protein FLJ12178
521	216481_at	-3	0.02	-7	0.0004	GRIP2	80852	Hs.517819	3p24-p23	glutamate receptor interacting protein 2
522	200902_at	-2	0.02	-4	0.005	SEP15	9403	Hs.362728	1p31	15 kDa selenoprotein
523	201565_s_at	-2	0.02	-3	0.05	ID2	3398	Hs.180919	2p25	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
524	201778_s_at	-2	0.02	-3	0.0008	KIAA0494	9813	Hs.100874	1pTER-p22.1	KIAA0494 gene product
525	203188_at	-2	0.02	-2	0.02	B3GNT6	11041	Hs.8526	11q13.1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6
526	207609_s_at	-2	0.02	-3	0.006	CYP1A2	1544	Hs.1361	15q22-qTER	cytochrome P450, family 1, subfamily A, polypeptide 2
527	208593_x_at	-2	0.02	-2	0.03	CRHR1	1394	Hs.417628	17q12-q22	corticotropin releasing hormone receptor 1
528	209735_at	-2	0.02	-3	0.03	ABCG2	9429	Hs.480218	4q22	ATP-binding cassette, sub-family G (WHITE), member 2
529	209880_s_at	-2	0.02	-4	0.002	SELPLG	6404	Hs.506670	12q24	selectin P ligand
530	211316_x_at	-2	0.02	-2	0.03	CFLAR	8837	Hs.390736	2q33-q34	CASP8 and FADD-like apoptosis regulator
531	213029_at	-2	0.02	-2	0.02	NFIB	4781	Hs.370359	9p24.1	nuclear factor I/B
532	214780_s_at	-2	0.02	-2	0.01	MYO9B	4650	Hs.123198	19p13.1	myosin IXB
533	221844_x_at	-2	0.02	-3	0.009	ZNF574	64763	Hs.13323	19q13.31	zinc finger protein 574
534	207124_s_at	-28	0.03	-25	0.04	GNB5	10681	Hs.155090	15q21.1	guanine nucleotide binding protein (G protein), beta 5
535	204622_x_at	-12	0.03	-15	0.005	NR4A2	4929	Hs.165258	2q22-q23	nuclear receptor subfamily 4, group A, member 2
536	207010_at	-8	0.03	-18	0.007	GABRB1	2560	Hs.27283	4p12	gamma-aminobutyric acid (GABA) A receptor, beta 1
537	215021_s_at	-8	0.03	-8	0.03	NRXN3	9369	Hs.368307	14q31	neurexin 3
538	219640_at	-7	0.03	-14	0.003	CLDN15	24146	Hs.38738	7q11.22	claudin 15
539	220843_s_at	-7	0.03	-2	0.04	DKFZP564O0463	25879	Hs.532265	8q22.3	DKFZP564O0463 protein
540	203930_s_at	-6	0.03	-4	0.002	MAPT	4137	Hs.101174	17q21.1	microtubule-associated protein tau
