Accession No	Description	Intensity in normal tissue	Intensity in tumour	Ratio tumour/normal
X66079	Transcription factor Spi-B	39	1	0.03
M60314	Bone morphogenetic protein 5 precursor (BMP5)	37	1	0.03
U08854; X63359; U06641; J05428; Y00317	Microsomal UDP-glucuronosyltransferase 2B15 precursor (UDPGT); UDPGTH-3; UGT2 + microsomal 2B10 precursor (UDPGT); UGT2B10 + 2 microsomal B8 precursor?	401	7	0.02
U17075	Cyclin-dependent kinase inhibitor 2B, CDKN2B (p15, inhibits CDK4)	39	5	0.1
X57086; X57331	IgC mu heavy chain constant region	2609	314	0.1
J00220 + S71043	Immunoglobulin alpha 1 heavy chain constant region (IgA1; IGHA1) + immunoglobulin alpha 2 heavy chain constant region (IgA2; IGHA2)	12 878	739	0.1
D13365; M93311	Growth inhibitory factor; metallothionein-III (MT-III)	409	86	0.2
M27749	Immunoglobulin-related 14.1 protein precursor	228	50	0.2
M22324	Microsomal aminopeptidase N; myeloid plasma membrane glycoprotein CD13	265	56	0.2
U17077	BENE	998	227	0.2
X02811; X02744; M12783;	Platelet-derived growth factor B subunit precursor (PDGFB; PDGF2); bacaplermin; c-sis	563	86	0.2
