Symbol	Gene name	GenBank accession no.	Fold change	Function
ACTC	Actin, alpha, cardiac muscle	J00073	-61.3	Actin cytoskeleton
AMPH	Amphiphysin	X81438	-22	Actin cytoskeleton
CALD1	Caldesmon 1	M64110	-4.1	Actin cytoskeleton
CNN1	Calponin 1, basic, smooth muscle	D17408	-14.9	Actin cytoskeleton
DSP	Desmoplakin 1	AL031058	-140.9	Actin cytoskeleton
FARP1	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1	AI701049	-4.5	Actin cytoskeleton
FLG	Filaggrin	M60502	-48.8	Actin cytoskeleton
HSPB1	Heat shock 27-kDa protein 1	Z23090	-2.4	Actin cytoskeleton
LMOD1	Leiomodin 1 (smooth muscle)	X54162	-6.1	Actin cytoskeleton
MAP1A	Microtubule-associated protein 1A	W26631	-4.3	Actin cytoskeleton
MAP1B	Microtubule-associated protein 1B	L06237	-3.5	Actin cytoskeleton
MYO1D	Myosin ID	AB018270	-4.6	Actin cytoskeleton
KIAA09921	Palladin	AB023209	-7.4	Actin cytoskeleton
TES	Testis-derived transcript (3 LIM domains)	AL050162	-8.3	Actin cytoskeleton
TPM1	Tropomyosin 1 (alpha)	M19267	-3.2	Actin cytoskeleton
FAT	FAT tumour suppressor homolog 1	X87241	-2.7	Cell adhesion
ISLR	Immunoglobulin superfamily containing leucine-rich repeat	AB003184	-5.7	Cell adhesion
IGSF4	Immunoglobulin superfamily, 4	AL080181	-19.4	Cell adhesion
MFGE8	Milk fat globule-EGF factor 8 protein	U58516	-6.1	Cell adhesion
OPCML	Opioid binding protein/cell adhesion molecule-like (OBCAM)	U79251	-27.3	Cell adhesion
TRO	Trophinin	AB029037	-9.6	Cell adhesion
CXCL12	Chemokine (C-X-C motif) ligand 12 (SDF1)	U19495	-14.3	Cell motility
CTGF	Connective tissue growth factor	X78947	-21.9	Cell motility
ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	L35594	-24.8	Cell motility
