Gene Symbol	Gene Description	RefSeq ID	UniGene ID	EntrzGene ID
ATR	Ataxia telangiectasia and Rad3 related	NM_001184	Hs.271791	545
BRCA1	Breast cancer 1, early onset	NM_007295 NM_007294 NM_007296 NM_007302 NM_007297 NM_007299 NM_007300 NM_007304 NM_007303 NM_007305 NM_007298	Hs.194143	672
CCNB1	Cyclin B1	NM_031966	Hs.23960	891
CDC2	Cell division cycle 2, G1 to S and G2 to M	NM_001786 NM_033379	Hs.334562	983
CDC34	Cell division cycle 34 homolog (S. cerevisiae)	NM_004359	Hs.514997	997
CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	NM_078467 NM_000389	Hs.370771	1026
CDKN2D	Cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)	NM_001800 NM_079421	Hs.435051	1032
CHEK1	CHK1 checkpoint homolog (S. pombe)	NM_001274	Hs.24529	1111
CHEK2	CHK2 checkpoint homolog (S. pombe)	NM_001005735 NM_007194 NM_145862	Hs.291363	11200
CHEK2	CHK2 checkpoint homolog (S. pombe)	BP420084	Hs.505297	11200
EP300	E1A binding protein p300	NM_001429	Hs.517517	2033
EP300	E1A binding protein p300	AI470276	Hs.655211	2033
GADD45A	Growth arrest and DNA-damage-inducible, alpha	NM_001924	Hs.80409	1647
MDM2	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)	NM_002392 NM_006878 NM_006881 NM_006882 NM_006879	Hs.567303	4193
MYT1	Myelin transcription factor 1	NM_004535	Hs.279562	4661
PLK1	Polo-like kinase 1 (Drosophila)	NM_005030	Hs.592049	5347
PRKDC	Protein kinase, DNA-activated, catalytic polypeptide	NM_006904 NM_001081640	Hs.695981	5591
RASGRF1	Ras protein-specific guanine nucleotide-releasing factor 1	NM_002891 NM_153815	Hs.591111	5923
RPS6KA1	Ribosomal protein S6 kinase, 90kDa, polypeptide 1	NM_002953 NM_001006665	Hs.149957	6195
TP53	Tumor protein p53 (Li-Fraumeni syndrome)	NM_000546	Hs.654481	7157
WEE1	WEE1 homolog (S. pombe)	NM_003390	Hs.249441	7465
YWHAH	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	NM_003405	Hs.226755	7533
YWHAQ	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	NM_006826	Hs.74405	10971
-	Transcribed locus	BG261310	Hs.491682	5591
