geneSymbol	accession no
ABLIM1	NM_001003407
ACOT11	NM_015547
ARHGDIB	NM_001175
ATAD2	NM_014109
BCL2L14	NM_138723
BICD1	NM_001714
C11orf51	NM_014042
C11orf9	NM_013279
C1orf66	NM_015997
C3	NM_000064
CAPN2	NM_001748
CCNE2	NM_057749
CD44	NM_000610
CEP57	NM_014679
CLN8	NM_018941
CNKSR1	NM_006314
COL2A1	NM_033150
DUSP4	NM_057158
EEF1A2	NM_001958
FEN1	NM_004111
FKBP2	NM_004470
GABRQ	NM_018558
GFOD2	NM_030819
GOLPH2	NM_177937
GTSE1	NM_016426
HIST1H4H	NM_003543
IL18	NM_001562
MAG	NM_080600
MLF1IP	NM_024629
NCAPG2	NM_017760
OR12D2	NM_013936
ORC3L	NM_181837
PARP4	NM_006437
PLK1	NM_005030
PPP1CC	NM_002710
PSMC2	NM_002803
RFXDC2	NM_022841
RPS4X	NM_001007
SAT1	NM_002970
SLC35A1	NM_006416
SMC4	NM_001002799
SUPT16H	NM_007192
TACC2	NM_206862
TNFSF13	NM_003808
UCKL1	NM_017859
YIF1A	NM_020470
ZCCHC8	NM_017612
ZFP36L2	NM_006887
