ID	GenBank ID	UniGene ID	Description
27261			LC_27261
34777	AF006082	Hs.42915	ARP2 actin-related protein 2 homolog (yeast)
17266	U12779	Hs.75074	mitogen-activated protein kinase-activated protein kinase 2
28324	U12779	Hs.75074	mitogen-activated protein kinase-activated protein kinase 2
16544	U85946	Hs.29494	SEC10-like 1 (S. cerevisiae)
17154	NM_000176	Hs.75772	nuclear receptor subfamily 3, group C, member 1
22128	M77198	Hs.326445	v-akt murine thymoma viral oncogene homolog 2
24987	U18291	Hs.1592	CDC16 cell division cycle 16 homolog (S. cerevisiae)
25193	M58603	Hs.83428	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)
26448	AB020713	Hs.56966	KIAA0906 protein
27119	U85946	Hs.29494	SEC10-like 1 (S. cerevisiae)
27397	U12779	Hs.75074	mitogen-activated protein kinase-activated protein kinase 2
27650	NM_000176	Hs.75772	nuclear receptor subfamily 3, group C, member 1
27966	X64643	Hs.301927	c6.1A
29686			LC_29686
31460	Z69043	Hs.102135	signal sequence receptor, delta (translocon-associated protein delta)
32628	X58957	Hs.159494	Bruton agammaglobulinemia tyrosine kinase
16564	U78305	Hs.100980	protein phosphatase 1D magnesium-dependent, delta isoform
16803	NM_005334	Hs.83634	host cell factor C1 (VP16-accessory protein)
16832	M74093	Hs.9700	cyclin E1
16850	X57398	Hs.227823	pM5 protein
16867	M32294	Hs.16488	calreticulin
17370	Z25535	Hs.211608	nucleoporin 153kD
17467			LC_17467
17863	U12779	Hs.75074	mitogen-activated protein kinase-activated protein kinase 2
17927	NM_005347	Hs.75410	heat shock 70kD protein 5 (glucose-regulated protein, 78kD)
23833	AF041261	Hs.48647	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 4
23873			LC_23873
24389	M73791	Hs.29797	ribosomal protein L10
24544	X16663	Hs.14601	hematopoietic cell-specific Lyn substrate 1
24794	X65550	Hs.80976	antigen identified by monoclonal antibody Ki-67
25234	X65550	Hs.80976	antigen identified by monoclonal antibody Ki-67
26104	U01877	Hs.25272	E1A binding protein p300
26665	X04098	Hs.14376	actin, gamma 1
26989	U10564	Hs.75188	WEE1+ homolog (S. pombe)
27006	U10564	Hs.75188	WEE1+ homolog (S. pombe)
27358	M32294	Hs.16488	calreticulin
27668	U01877	Hs.25272	E1A binding protein p300
28393	X98296	Hs.77578	ubiquitin specific protease 9, X chromosome (fat facets-like Drosophila)
28394	X98296	Hs.77578	ubiquitin specific protease 9, X chromosome (fat facets-like Drosophila)
28781	NM_005334	Hs.83634	host cell factor C1 (VP16-accessory protein)
28784	M33336	Hs.183037	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)
28880	X52222	Hs.99987	excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)
30373			LC_30373
30523	BC002417	Hs.57729	Kelch-like ECH-associated protein 1
30534	U37426	Hs.8878	kinesin-like 1
30643	AF202445
32142	AK025593	Hs.104916	hypothetical protein FLJ21940
32343	M33336	Hs.183037	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)
