Genbank accession numbers	Genes	Fold
S40719	Glial fibrillary acidic protein	-14.7
X14787	Thrombospondin-1	-6.7
NM_000546	Tumor protein p53	-3
J04177	Collagen, type XI, alpha a1	-12.4
J05016	Protein disulfide isomerase-related protein	-4.3
X02419	Plasminogen activator, urokinase	-3.5
M59371	EphA 2	-4.6
AL162086	Villin 2	-7.4
X13482	Small nuclear ribonucleoprotein polypeptide A	-3.6
D87930	Myosin phosphatase, target subunit 1	-7.1
X80692	Mitogen-activated protein kinase 6	-3.5
M90657	Transmembrane 4 superfamily member 1	-3.7
M86752	Stress-induced-phosphoprotein 1	-4.6
S45630	Crystallin, alphaB	+6.2
