Probe Set	FC(S)	P(S)	FC(T)	P(T)	Gene	Gene ID	Unigene	Chromosome	Description
204729_s_at	5	0.00003	4	0.0006	STX1A	6804	Hs.488683	7q11.23	syntaxin 1A (brain)
209819_at	8	0.00007	4	0.02	HABP4	22927	Hs.494567	9q22.3-q31	hyaluronan binding protein 4
214022_s_at	3	0.0005	4	0.0003	IFITM1	8519	Hs.458414	11p15.5	interferon induced transmembrane protein 1 (9-27)
212707_s_at	6	0.0007	4	0.0007	RASA4	10156	Hs.520599	7q22-q31.1	RAS p21 protein activator 4
210904_s_at	13	0.002	6	0.005	IL13RA1	3597	Hs.496646	Xq24	interleukin 13 receptor, alpha 1
210224_at	12	0.002	9	0.001	MR1	3140	Hs.101840	1q25.3	major histocompatibility complex, class I-related
222269_at	4	0.002	7	0.002	CXorf33	139322	Hs.512181	Xq21.1	AAIR8193 
212203_x_at	3	0.002	2	0.002	IFITM3	10410	Hs.374650	11p15.5	interferon induced transmembrane protein 3 (1-8U)
215259_s_at	2	0.002	5	0.009	IGSF4C	199731	Hs.370984	19q13.32	immunoglobulin superfamily, member 4C
213933_at	28	0.003	11	0.007	PTGER3	5733	Hs.445000	1p31.2	prostaglandin E receptor 3 (subtype EP3)
209596_at	8	0.003	10	0.008	DKFZp564I1922	25878	Hs.369422	Xp22.33	adlican
208548_at	6	0.003	5	0.006	IFNA6	3443	Hs.533470	9p22	interferon, alpha 2
221690_s_at	6	0.003	27	0.0002	NALP2	55655	Hs.369279	19q13.42	NACHT, leucine rich repeat and PYD containing 2
221266_s_at	5	0.003	3	0.02	TM7SF4	81501	Hs.208036	8q23	DC-specific transmembrane protein
205505_at	20	0.004	7	0.05	GCNT1	2650	Hs.521568	9q13	glucosaminyl (N-acetyl) transferase 1, core 2
222168_at	17	0.004	5	0.008	ALDH1A3	220	Hs.459538	15q26.3	aldehyde dehydrogenase 1 family, member A3
221124_s_at	7	0.004	3	0.04	VSX1	30813	Hs.274264	20p11.23-p11.22	visual system homeobox 1 homolog, CHX10-like
205081_at	16	0.005	42	0.0003	CRIP1	1396	Hs.70327	7q11.23	cysteine-rich protein 1 (intestinal)
