GenBank ID	Category	Gene Description	Cluster
X15939	Muscle-specific genes Upregulated	Myosin heavy chain 7 (4.8)	F
M12098	Muscle-specific genes Upregulated	Myosin heavy chain 3 (4.2)	F
AI639532	Muscle-specific genes Upregulated	Troponin C (3.5)	F
K02423	Muscle-specific genes Upregulated	Myosin light chain 1f (3.2)	F
K02111	Muscle-specific genes Upregulated	Myosin heavy chain 8 (3.1)	F
X90475	Muscle-specific genes Upregulated	Muscle C protein (3.1)	F
X00975	Muscle-specific genes Upregulated	Myosin light chain 2 (2.8)	F
M73701	Muscle-specific genes Upregulated	Troponin I (2.9)	F
M22323	Muscle-specific genes Downregulated	Smooth muscle actin (&#4;3.1)	A
M83107	Muscle-specific genes Downregulated	Transgelin (&#4;2.8)	A
AI176456	Antioxidants genes Upregulated	Metallothionein 2 (3.3)	D
U09401	Antioxidants genes Downregulated	Tenascin-C (&#4;5.0)	A
X06769	Signal transduction, transcription factors, and inflammation genes Upregulated	c-Fos (10.1)	D
X51529	Signal transduction, transcription factors, and inflammation genes Upregulated	Phospholipase A2 (5.7)	E
AF023087	Signal transduction, transcription factors, and inflammation genes Upregulated	NGFI-A (5.7)	D
U17254	Signal transduction, transcription factors, and inflammation genes Upregulated	NGFI-B (3.4)	D
X54686	Signal transduction, transcription factors, and inflammation genes Upregulated	JunB (3.3)	D
AA900476	Signal transduction, transcription factors, and inflammation genes Upregulated	Cbp/p300 interacting transactivator 2;	E
X63369	Signal transduction, transcription factors, and inflammation genes Upregulated	TIS (3.3)	E
AJ224879	Extracellular matrix Upregulated genes	Collagen a1-II (4.8)	E
