Accession #	Primary Sequence Name
NM_008042	Fprl1
NM_011315	Saa3
NM_008518	Ltb
NM_008357	Il15
NM_007548	Prdm1
NM_009421	Traf1
NM_008152	Gpr65
NM_009058	Ralgds
NM_010510	lfnb1
NM_013839	Nr1h3
NM_021327	Tnip1
NM_011611	Tnfrsf5
AW496438	AW496438
M86671	Il12b
AI043056	X83327
AI450152	AI450152
AI326880	AI326880
NM_009397	Tnfaip3
AF068748	Sphk1
NM_019494	Cxcl11
NM_013562	Ifrd1
BB532105	BB532105
NM_008102	Gch1
NM_008361	Il1b
BE197977	BE197977
M12571	Hspa1a
AI481176	AI481176
BF018243	BF018243
K02782	C3
NM_013521	Fpr1
BE630688	BE630688
NM_009366	Tgfb1i4
NM_011018	Sqstm1
AF077742	Tcfec
BB206914	BB206914
AF199491	Ccrn4l
NM_009841	Cd14
NM_008039	Fpr-rs2
BB201573	BB201573
NM_008903	Ppap2a
BF020125	BF020125
AI256591	AI256591
AI385691	AI385691
NM_011171	Procr
NM_009705	Arg2
NM_008335	lfna6
NM_007981	Acsl1
U70139	Ccrn4l
NM_008334	lfna7
BE989134	BE989134
AI662827	AI662827
NM_010927	Nos2
NM_008059	G0s2
AW494132	AW494132
NM_008808	Pdgfa
NM_016767	Batf
AI644220	AI644220
AI450672	AI450672
BE634799	BE634799
NM_019564	Prss11
NM_010554	Il1a
NM_007413	Adora2b
NM_019777	Ikbke
NM_010612	Kdr
NM_013885	Clic4
AI605395	AI605395
NM_009895	Cish
AV227612	AV227612
NM_011693	Vcam1
AV033964	AV033964
AW060329	AW060329
NM_010090	Dusp2
AI450296	AI450296
D26157	Ptgir
NM_008690	Nfkbie
AI551337	AI551337
NM_011990	Slc7a11
J03783	Il6
NM_008871	Serpine1
NM_010723	Lmo4
AI182581	AI182581
AW908922	AW908922
X67644	ler3
NM_008038	Fpr-rs1
AW106907	AW106907
NM_008599	Cxcl9
AI854413	AI854413
BB557749	BB557749
AW558823	AW558823
BB222983	BB222983
M31885	Id1
AI314618	AI314618
BB138989	BB138989
BE333974	BE333974
NM_009061	Rgs2
AF180338	Mafb
BE332833	BE332833
NM_010849	Myc
AI430832	AI430832
AV368774	AV368774
AV368768	AV368768
NM_010265	Gcnt1
NM_009912	Ccr1
U39066	Map2k6
BE852540	BE852540
NM_011361	Sgk
NM_008328	Ifi203
NM_008390	Irf1
NM_011579	Tgtp
NM_008330	Ifi47
NM_011637	Trex1
NM_007609	Casp11
NM_010276	Gem
AW212345	AW212345
NM_010260	Gbp2
AF194871	Iigp1
AF233517	Cd274
NM_010496	Id2
AI449097	AI449097
NM_008326	Ifi1
NM_019440	Iigp2
M64085	Serpina3g
AV367775	AV367775
M96163	Plk2
AV372338	AV372338
NM_013652	Ccl4
NM_009140	Cxcl2
NM_021274	Cxcl10
NM_011905	Tlr2
NM_008176	Cxcl1
NM_008965	Ptger4
NM_007707	Socs3
NM_009404	Tnfsf9
AI451537	AI451537
NM_007464	Birc3
NM_009856	Cd83
NM_017466	Ccrl2
NM_011337	Ccl3
NM_019408	Nfkb2
NM_020557	Tyki
NM_013653	Ccl5
NM_009396	Tnfaip2
AW494821	AW494821
NM_011632	Traf3
BF148835	BF148835
NM_007778	Csf1
NM_019948	Clec4e
AI451676	AI451676
AV249683	AV249683
AA989754	AA989754
NM_011386	Skil
NM_010119	Ehd1
NM_009805	Cflar
NM_009044	Rel
AI875461	AI875461
NM_008655	Gadd45b
NM_007746	Map3k8
NM_007987	Fas
NM_009046	Relb
BE132745	Ets2
NM_013693	Tnf
NM_011198	Ptgs2
AI662586	AI662586
