Accession ID	Gene name	Fold change	P-value
H57180	Phospholipase C, gamma2	19.6	0.0001
H23187	Carbonic anhydrase II	13.8	0.0001
AA399633	ESTs	9.9	0.0001
N89673	PPAR, gamma, coactivator 1	9.2	0.0001
W95082	Hydroxysteroid (11-beta) dehydrogenase 2	9	0.0001
N93505	Transmembrane 4 superfamily member 2	8.9	0.0001
R59722	Hypothetical protein FLJ 10851	8.3	0.0011
T60160	Homo sapiens mRNA; cDNA	7.6	0.0001
H17036	DHHC1 protein	7.6	0.0001
AA446650	Homo sapiens mRNA; cDNA DKFZp586M0723	7.5	0.0001
R16134	Plasmolipin	7.2	0.0001
AA406233	ESTs, highly similar to GTPase-activating proteins	7.1	0.0001
T49816	ESTs	7	0.0001
H22944	Nicotinamide nucleotide transhydrogenase	6.9	0.0001
R43873	Human chromosome 16 BACclone CIT987SK-A-101F10	6.8	0.0001
AA463445	Homolog of yeast ubiquitin–protein ligase Rsp5	6.7	0.0001
N54401	Rag D protein	6.5	0.0001
H22856	Glutamic–oxaloacetic transaminase 1, soluble	6.3	0.0001
R09053	ESTs	6.1	0.0001
AA406362	Prostaglandin E receptor 3 (subtype EP3)	6.1	0.0001
H97921	ESTs	6	0.0001
W31540	KIAA 1450 protein	5.9	0.0001
AA427619	1,2-alpha-mannosidase IC5.9	5.9	0.0001
W47387	Ecotropic viral integration site 5	5.7	0.0004
N29800	Hypothetical protein FLJ20783	5.7	0.0001
H99738	Rag D protein	5.7	0.0001
AA894557	Creatine kinase, brain	5.7	0.0001
AA452566	Peroxisomal membrane protein 3 (35 kDa)	5.7	0.0001
AA504265	LIM and senescent cell antigen-like domains 1	5.6	0.0001
AA682684	Protein tyrosine phosphatase, nonreceptor type 3	5.5	0.0001
