chromosome band	number of genes	p.val	FDR.q.val
chr1q42	46	0.004158	0.21988
chr1q32	88	0.004202	0.22646
chrYp11	14	0.004662	0.34395
chr1q22	37	0.008529	0.22317
chr2p22	21	0.008696	0.3216
chr1q41	14	0.009804	0.17392
chrY	33	0.01758	0.31022
chr11q21	11	0.03434	0.40279
chr8q11	15	0.05588	0.47957
chrYq11	14	0.07051	0.41585
chr8q24	81	0.09731	0.53112
chr7q32	19	0.1145	0.93965
chr2q35	37	0.1623	1
chr5q12	12	0.1683	1
chr7q22	61	0.1786	1
chr12q15	16	0.1843	1
chr4q27	10	0.198	1
chr3q23	16	0.2053	1
chrXq25	19	0.2105	1
chr7p14	29	0.2485	1
chr8q12	11	0.25	1
chr7q11	45	0.2574	1
chr1q25	43	0.2791	1
chr5q32	25	0.2972	1
chr3q29	21	0.3192	1
chr8q13	17	0.3352	1
chr8p11	20	0.3354	1
chr7p22	25	0.3361	1
chr4p16	43	0.3371	1
chr5q13	35	0.3494	1
chr17q11	44	0.3514	1
chr2q36	17	0.3532	1
chr2p23	53	0.3564	1
chr17q24	26	0.3613	1
chrXq13	31	0.3624	1
chr1q44	10	0.3659	1
chr1	946	0.3787	1
chr8	312	0.3843	1
chr7q36	34	0.4008	1
chr7q33	10	0.4021	1
chr20p13	43	0.4052	0.99778
chr10q21	27	0.425	1
chr5q31	82	0.4295	1
chr2q14	31	0.4408	0.98849
chrXq28	64	0.4449	1
chr17q12	48	0.4455	0.94943
chrXp22	73	0.4607	0.96321
chr2p16	18	0.464	0.94324
chrXp11	85	0.4692	0.97401
chrX	333	0.4801	0.91439
chr6p22	73	0.4811	0.93068
chr12q24	96	0.4823	0.9448
chr7	422	0.499	0.96961
chr3q26	35	0.5195	0.9935
chr5q23	28	0.5245	0.98778
chrXq24	17	0.5292	0.9635
chr1q31	21	0.5343	0.97873
chr17q25	86	0.5565	0.97918
chr1q21	88	0.5572	0.96467
chr16q24	32	0.5593	0.97813
chr7p21	19	0.5776	0.99448
chr5q14	29	0.5858	0.96168
chr1q24	32	0.6177	0.96303
chr15q23	17	0.6458	1
chr2p21	21	0.6483	1
chr5	397	0.6752	1
chr11p11	32	0.7033	1
chr8p12	25	0.7099	1
chr6q15	18	0.7125	1
chr5q35	58	0.7279	1
chr13q22	13	0.7411	1
chr3p25	49	0.7421	1
chr6p21	207	0.7521	1
chr15q24	41	0.7548	1
chrXq22	47	0.7599	1
chr17q21	128	0.7601	1
chr10p11	16	0.764	0.97
chr7q21	49	0.7729	1
chr22	237	0.7751	1
chr14q23	42	0.7766	1
chr5q11	20	0.7881	0.97713
chr8q21	36	0.7941	0.93404
chr9q31	35	0.7964	0.99146
chr7p15	41	0.8	1
chr20	257	0.8038	0.96848
chr8q22	32	0.8054	0.94275
chr2p11	26	0.8067	1
chr19p13	286	0.8121	0.95628
chr14q32	104	0.8152	0.96077
chr4q12	19	0.8157	0.95883
chr13q33	11	0.8383	0.95805
chr1p33	12	0.8414	0.94251
chr2q33	44	0.8448	1
chr2q11	42	0.8513	1
chr2q37	61	0.86	0.98573
chr15q14	10	0.8642	0.94772
chr5p15	31	0.8705	0.95069
chr20q11	77	0.8853	0.93398
chr15q22	34	0.8945	0.92692
chr10p12	32	0.8976	0.93564
chr3p21	111	0.9097	0.95021
chr19q13	340	0.9364	0.94523
chr2q31	42	0.9371	0.95381
chr19	521	0.9599	0.98488
chr9p13	58	0.966	0.96193
chr1p13	66	0.9725	0.95724
chr2p13	43	0.9787	0.97828
chr16p13	120	0.9879	0.97818
