Gene name 	 Accession no. 	 ES 	 EB 	 ES/EB 
HSPA4	AB023420	9	0	OE 
ELOVL6	NM_024090	5	0	OE 
LEFTB	AF081507	4	0	OE
PTTG1	AJ223953	4	0	OE
CYP26A1	AF005418	4	0	OE
PSMA3	D00762	3	0	OE
C20orf129	BC001068	3	0	OE
FABP5	M94856	3	0	OE
KIAA1573	AB046793	2	0	OE
ZNF257	AF070651	2	0	OE
FLJ12581/Nanog	NM_024865	2	0	OE
CRABP1	S74445	1	0	OE
TDGF1	X14253	20	1	OE 
SEMA6A	AF225425	16	1	OE 
NASP	M97856	58	7	OE 
CCNB1	M25753	8	1	OE 
SFRP2	AF311912	7	1	OE 
RPL17	X53777	7	1	OE 
JADE-1	NM_024900	6	1	OE
RAMP	NM_016448	6	1	OE
NS	NM_014366	5	1	OE
TNNT1	M19309Ê	5	1	OE
MGC27165	J04164	4	1	OE
HDAC2	U31814	4	1	OE
KPNA2	U28386	19	6	OE 
SLC16A1	AL162079	22	7	OE 
CCNC	M740914	3	1	OE
MGST1	J03746	3	1	OE
