Accession no.	Unigene no.	Description	Ratio of gene expression at different times after transfection 6 h	16 h	24 h	48 h	72 h	Function
R13558	Hs.10247	Activated leucocyte cell adhesion molecule(ALCAM)	-	0.21	0.249	-	-	Adhesion molecules
T65192	Hs.79133	Cadherin 8, type 2(CDH8)	-	0.24	0.25	-	0.25	Adhesion molecules
H19315	Hs.143434	Contactin 1(CNTN1)	0.28	0.19	0.23	0.3	-	Adhesion molecules
AA215502	Hs.34851	Epsilon-tubulin(LOC51175)	-	-	0.3	-	0.29	Adhesion molecules
T94626	Hs.75431	Fibrinogen, ? polypeptide(FGG)	-	0.11	0.12	0.21	-	Adhesion molecules
AA043806	Hs.82084	Integrin ? 3 binding protein(ITGB3BP)	-		0.28	0.28	0.21	Adhesion molecules
R42600	Hs.159581	Matrix metalloproteinase 17(MMP17)	-	0.22	0.29	-	-	Adhesion molecules
AA497002	Hs.211579	Melanoma cell adhesion molecule(MCAM)	-	0.14	0.19	0.3	-	Adhesion molecules
R25521	Hs.7912	Neuronal cell adhesion molecule(NRCAM)	-	0.28	0.24	0.22	-	Adhesion molecules
R45517	Hs.247735	Protocadherin ? 10(PCDHA10)	-	0.26	0.22	-	-	Adhesion molecules
AA608568	Hs.85137	Cyclin A2(CCNA2)	-	0.29	0.28	-	-	Cell cycle control
AA043382	Hs.118508	Cyclin-dependent kinase-like 3(CDKL3)	-	0.25	0.27	-	-	Cell cycle control
H84982	Hs.211773	Checkpoint suppressor 1(CHES1)	0.29	0.28	0.29	-	-	Cell cycle control
AA504348	Hs.156346	Topoisomerase(DNA) II ?(TOP2A)	0.26	0.25	0.24	0.29	-	Cell cycle control
R64144	Hs.13313	cAMP responsive element binding protein-like 2(CREBL2)	-	0.29	0.28	0.28	-	Signal transduction and growth factors
AA160670	Hs.15871	LPAP for lysophosphatidic acid phosphatase(LOC51205)	-	0.3	0.3	-	-	Signal transduction and growth factors
AA670144	Hs.61762	Hypoxia-inducible protein 2(HIG2)	0.28	0.29	0.29	-	-	Signal transduction and growth factors
AA455210	Hs.170040	Platelet-derived growth factor receptor-like(PDGFRL)	0.3	0.3	0.29	-	-	Signal transduction and growth factors
AA630620	Hs.83050	Phosphoinositide-3-kinase, regulatory subunit 4,(PIK3R4)	0.29	0.25	0.22	-	-	Signal transduction and growth factors
T60709	Hs.6780	Protein tyrosine kinase 9-like(PTK9L)	0.27	-	0.28	-	-	Signal transduction and growth factors
R28407	Hs.236494	RAB10, member RAS oncogene family(RAB10)	-	0.28	0.26	-	-	Signal transduction and growth factors
AA495985	Hs.16530	Small inducible cytokine subfamily A(Cys-Cys), member 18, pulmonary and activation-regulated(SCYA18)	0.3	0.27	0.28	-	-	Signal transduction and growth factors
H10045	Hs.267659	Vav 3 oncogene(VAV3)	-	0.28	0.16	0.22	-	Signal transduction and growth factors
R83000	Hs.101025	Basic transcription factor 3(BTF3)	-	0.28	0.3	-	-	Transcripcion factors
AA598840	Hs.165263	Early development regulator 2(EDR2)	-	0.3	0.29	0.25	-	Miscellaneous
R60031	Hs.198899	Eukaryotic translation initiation factor 3, subunit 10(EIF3S10)	-	-	0.27	0.23	0.21	Miscellaneous
AI270906	Hs.23510	Kruppel-like factor 12(KLF12)	0.3	0.25	0.3	-	-	Miscellaneous
NM_021724	Hs.276916	Nuclear receptor subfamily 1, group D, member 1(NR1D1)	-	0.18	0.28	-	0.26	Miscellaneous
AA864479	Hs.78596	Proteasome(prosome, macropain) subunit, ? type, 5(PSMB5)	0.25	0.21	0.15	0.29	-	Miscellaneous
AA633549	Hs.2934	Ribonucleotide reductase M1 polypeptide(RRM1)	-	-	0.3	0.23	-	Miscellaneous
AA630628	Hs.84131	Threonyl-tRNA synthetase(TRAS)	0.18	0.2	0.18	0.24	-	Miscellaneous
