Gene Name	Gene Description	Gene Symbol	Chromosomal Location	Tumor Group	P-value	Fold Change
1440202_at	Mus musculus 2 days neonate thymus thymic cells cDNA, RIKEN full-length enriched library, clone:E430024I08 product:inferred: DNA-binding protein	---	---	C	2.18E-05	2.44
1442916_at	Transcribed locus	---	chr8 B3.2	C	7.98E-04	-5.45
1427053_at	RIKEN cDNA D930038M13 gene	---	---	C and D	7.112E-05	-48.30
1429530_a_at	RIKEN cDNA 4122402O22 gene	---	chr16 B1	C and D	3.129E-06	5.99
1437765_at	cytoplasmic polyadenylation element binding protein 3	---	---	C and D	8.936E-07	-21.47
1438577_at	Transcribed sequences	---	chr8 C2	C and D	0.0005628	-22.18
1439537_at	Transcribed sequences	---	chr6 A3.3	C and D	0.004752	-7.92
1439789_at	Transcribed locus	---	chr11 B1.1	C and D	0.0006468	2.55
1441518_at	Transcribed locus	---	---	C and D	0.0003253	21.06
1443353_at	Mus musculus 0 day neonate thymus cDNA, clone:A430106O19	---	chr15 A1	C and D	0.0001464	5.62
1444531_at	RIKEN cDNA C230029D21 gene	---	---	C and D	0.0006336	20.43
1445641_at	Mus musculus transcribed sequences	---	chr3	C and D	0.001593	4.94
1446730_at	Transcribed sequences	---	chr4 D3	C and D	0.0001134	-17.43
1447381_at	RIKEN cDNA 4733401N12 gene	---	---	C and D	2.252E-05	12.84
1448021_at	Transcribed locus	---	chr3 F2.2	C and D	2.581E-06	-570.90
1456440_s_at	Transcribed sequences	---	---	C and D	0.001203	-32.64
1456836_at	Transcribed sequences	---	---	C and D	3.702E-09	-31.01
1457869_at	Transcribed locus	---	chr12 C3	C and D	5.644E-06	5.56
1458978_at	Transcribed sequences	---	chr4 B1	C and D	0.0003598	8.49
1446530_at	S12207 hypothetical protein (B2 element)	---	chr6	D	3.474E-06	5.23
1457022_at	Transcribed sequence similar to POL2_MOUSE Retrovirus-related POL	---	chrX	D	0.003333	5.48
1457245_at	Transcribed locus	---	chr16 B3	D	8.522E-05	8.75
1457549_at	Transcribed sequences	---	chr17 C	D	2.452E-05	-9.17
1457883_at	Adult male aorta and vein cDNA,  clone:A530095B21	---	chr4 A5	D	4.646E-05	7.68
1459655_at	Mus musculus transcribed sequences	---	chr16 C4	D	0.004657	8.25
1452756_at	RIKEN cDNA 0610009J22 gene	0610009J22Rik	chr11 A1	C and D	0.001213	-4.84
1427878_at	RIKEN cDNA 0610010O12 gene	0610010O12Rik	chr18 B3	C	4.64E-03	-3.25
1423909_at	RIKEN cDNA 0610011I04 gene	0610011I04Rik	chr6 B2.3	C and D	1.089E-06	-156.70
1431008_at	RIKEN cDNA 0610037M15 gene	0610037M15Rik	chr17	C and D	1.06E-05	-7.08
1434484_at	RIKEN cDNA 1100001G20 gene	1100001G20Rik	chr11 C	D	4.169E-06	-82.88
1437682_x_at	RIKEN cDNA 1110004E09 gene	1110004E09Rik	chr16 C3.3	C and D	5.661E-06	6.22
1459068_at	RIKEN cDNA 1110006I15 gene	1110006I15Rik	chr19 A	C	2.07E-03	6.45
1429468_at	RIKEN cDNA 1110018F16 gene	1110018F16Rik	chr3 H1	C and D	0.0004451	-24.89
