Probe Set ID (Hu6800)	Gene Title	Fold Change	q-value (%)	Gene Symbol
HG2743-HT2845_at	Caldesmon 1, Alt. Splice 3, Non-Muscle	2.09	2.12	NA
HG3044-HT3742_s_at	Fibronectin, Alt. Splice 1	2.87	1.16	NA
HG3431-HT3616_s_at	Decorin, Alt. Splice 1	2.98	1.16	NA
HG3494-HT3688_at	Nuclear Factor Nf-Il6	2.30	1.16	NA
HG4069-HT4339_s_at	Monocyte Chemotactic Protein 1	2.05	1.16	NA
U81607_at	A kinase (PRKA) anchor protein (gravin) 12	2.77	1.16	AKAP12
X13839_at	actin, alpha 2, smooth muscle, aorta	3.70	1.16	ACTA2
U37122_at	adducin 3 (gamma)	0.50	1.16	ADD3
X97324_at	adipose differentiation-related protein	2.22	1.16	ADFP
D14874_at	adrenomedullin	2.73	1.16	ADM
K02215_at	angiotensinogen (serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 8)	0.44	5.09	AGT
D63412_at	aquaporin 4	0.47	2.12	AQP4
J05096_rna1_at	ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide	0.50	2.12	ATP1A2
X87212_at	cathepsin C	2.24	1.16	CTSC
M23178_s_at	chemokine (C-C motif) ligand 3	3.74	1.16	CCL3
J04130_s_at	chemokine (C-C motif) ligand 4	3.70	1.16	CCL4
M69203_s_at	chemokine (C-C motif) ligand 4	3.06	1.16	CCL4
Y08374_rna1_at	chitinase 3-like 1 (cartilage glycoprotein-39)	2.23	2.12	CHI3L1
U93205_at	chloride intracellular channel 1	2.43	1.16	CLIC1
U16306_at	chondroitin sulfate proteoglycan 2 (versican)	0.45	1.16	CSPG2
M14539_at	coagulation factor XIII, A1 polypeptide	2.14	1.16	F13A1
Z74616_s_at	collagen, type I, alpha 2	6.96	1.16	COL1A2
X06700_s_at	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	6.12	1.16	COL3A1
M26576_cds2_at	collagen, type IV, alpha 1	2.84	1.16	COL4A1
X52022_at	collagen, type VI, alpha 3	3.52	1.16	COL6A3
U62015_at	cysteine-rich, angiogenic inducer, 61	5.30	1.16	CYR61
U28833_at	Down syndrome critical region gene 1	2.35	1.16	DSCR1
X52541_at	early growth response 1	2.15	1.16	EGR1
J04076_at	early growth response 2 (Krox-20 homolog, Drosophila)	4.01	1.16	EGR2
X63741_s_at	early growth response 3	3.43	1.16	EGR3
D13168_at	endothelin receptor type B	0.47	9.39	EDNRB
X02761_s_at	fibronectin 1	2.79	1.16	FN1
X53416_at	filamin A, alpha (actin binding protein 280)	2.12	1.16	FLNA
L07956_at	glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)	2.00	1.16	GBE1
X76534_at	glycoprotein (transmembrane) nmb	4.56	2.12	GPNMB
M60974_s_at	growth arrest and DNA-damage-inducible, alpha	2.18	1.16	GADD45A
U31384_at	guanine nucleotide binding protein (G protein), gamma 11	2.34	1.16	GNG11
M65292_s_at	H factor (complement)-like 1	3.40	1.16	HFL1
S81914_at	immediate early response 3	2.30	1.16	IER3
M63438_s_at	immunoglobulin kappa constant	2.17	1.16	IGKC
S37730_s_at	insulin-like growth factor binding protein 2, 36kDa	2.01	1.16	IGFBP2
M62402_at	insulin-like growth factor binding protein 6	2.58	1.16	IGFBP6
X07979_at	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	2.09	1.16	ITGB1
Y00787_s_at	interleukin 8	2.50	1.16	IL8
U20734_s_at	jun B proto-oncogene	2.17	1.16	JUNB
X51345_at	jun B proto-oncogene	2.45	1.16	JUNB
