Gene description	GenBank accession	Fold change	Function
CD49B antigen, integrin alpha 2 (ITGA2)	M28249	4.9	Adhesion
CD54, intercellular adhesion molecule 1, ICAM-1	NM_000201	1.8	Adhesion
BAK1, BCL2-antagonist/killer 1	AY260471	1.7	Apoptosis
GADD45B	BC023815	2.3	Apoptosis
KIAA0054	D29677	5.1	Apoptosis
CDC-like kinase 2, CLK2	AF023268	2.3	Cell cycle
CCL22, macrophage-derived chemokine (MDC)	U83171	2.4	Chemokine signaling
CCL3, macrophage inflammatory protein 1 alpha, MIP-1alpha	X03754	5.2	Chemokine signaling
CCL4, macrophage inflammatory protein 1 beta, MIP-1beta	J04130	4.8	Chemokine signaling
CCR7	NM_001838	1.7	Chemokine signaling
CXCR4, CXC chemokine receptor type 4, SDF1 receptor	D10924	3.3	Chemokine signaling
CXCR5, Burkitt’s lymphoma receptor 1 (BLR1)	X68149	4.1	Chemokine signaling
Interleukin 3 (IL3), multiple colony-stimulating factor (multi-CSF)	M14743	2.6	Cytokine signaling
Interleukin 6 (IL6), interferon beta 2 (IFNB2)	X04602	2.6	Cytokine signaling
PDGF-beta, PDGFB, sis proto-oncogene	X02811	3.7	Growth factors, housekeeping, interferon response, ion channels
Heat shock 40 kDa protein 2, HSPF2, DNAJC4	AF036874	1.8	Growth factors, housekeeping, interferon response, ion channels
Interferon-induced protein IFI-15K	M13755	2	Growth factors, housekeeping, interferon response, ion channels
Chloride channel 7, CLCN7	NM_001287	1.9	Growth factors, housekeeping, interferon response, ion channels
Adenine phosphoribosyltransferase	Y00486	3.7	Metabolism
ALDH7, aldehyde dehydrogenase E3 isozyme, ALDH4	U34252	5.5	Metabolism
Transferrin	S95936	1.8	Metabolism
UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6	NM_006876	2.1	Metabolism
PDGF receptor beta-like tumor suppressor (PRLTS)	D37965	4	Oncogenesis
Casein kinase 1 gamma 2	G854735	1.7	Signal transduction
MAP kinase kinase 1, MAPKK1, MEK1, MAPK/ERK kinase 1	L05624	2.8	Signal transduction
MAP kinase kinase 2, MAP2K2, MEK2, MAPK/ERK kinase 2	L11285	1.8	Signal transduction
MAP kinase kinase 6, MAP2K6, MEK6, MAPK/ERK kinase 6	U39657	2.8	Signal transduction
Neurogenic locus notch protein homolog 1 (NOTCH1), TAN1	M73980	3.8	Signal transduction
Protein tyrosine phosphatase (PAC-1), DUSP2	L11329	2.6	Signal transduction
Serum/glucocorticoid regulated kinase, SGK1	BC001263	2.2	Signal transduction
src, Tyr protein kinase	X04000	1.6	Signal transduction
Suppressor of cytokine signalling-1, SOCS-1	U88326	2	Signal transduction
TYK2, tyrosine kinase 2	X54637	3	Signal transduction
CD23A, Fc fragment of IgE low affinity II receptor	M15059	3	Surface antigens
CD25, IL2 receptor alpha, IL2RA, TAC antigen	X01057(8)	3.5	Surface antigens
CD30L, CD153 antigen	L09753	3	Surface antigens
CD37	X14046	2.2	Surface antigens
CD40, tumor necrosis factor receptor superfamily member 5	X60592	2.1	Surface antigens
BCL6, zinc finger protein 51 (ZNF51), LAZ3 protein	U00115	2.9	Transcription factors
Interferon-stimulated gene factor 3 gamma subunit (ISGF3G)	M87503	2.7	Transcription factors
Jun B proto-oncogene (JunB)	NM_002229	1.7	Transcription factors
NAK1, TR3, Growth factor responsive gene 1, GFRP1	L13740	2.2	Transcription factors
NF-B p65, RelA	NM_021975	7	Transcription factors
NF-B, RelB	M83221	2.4	Transcription factors
Pre-B-cell leukemia transcription factor-1, homeobox protein pbx1, prl	M86546	4	Transcription factors
Similar to interleukin enhancer-binding factor ILF-1	AA447547	2	Transcription factors
Spi-B transcription factor (Spi-1/PU.1 related)	BC007921	1.8	Transcription factors
WD40 protein Ciao1	BC032812	1.7	Transcription factors
