Score (median)	p-value	Gene	Gene	Abbreviation	Known functions
?2.89	0.0033	Hs.1408	endothelin 3	EDN3	Cell–cell signaling morphogenesis, Perception of sound, Regulation of blood pressure, Regulation of vasoconstriction, Signal transduction
?2.72	0.0044	Hs.105700	secreted frizzled-related protein 4	SFRP4	Embryo implantation transmembrane receptor activity, Development, Extracellular matrix
?1.90	0.022	Hs.446641	tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	TIMP1	Metalloendopeptidase inhibitor activity, Positive regulation of cell proliferation, Proteolysis and peptidolysis, Collagen catabolism, Collagenase activity
?3.07	0.0033	Hs.120330	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 2	ADAMTS2	Extracellular matrix; Hydrolase activity; Procollagen N-endopeptidase activity; Heparan sulfate proteoglycan bio-synthesis, sulfotransferase activity
?1.98	0.015	Hs.380792	heparan sulfate 6-O-sulfotransferase 1	HS6ST1	Transferase activity, Acute-phase response, Cell adhesion, Cell migration
?2.00	0.015	Hs.418138	fibronectin 1	FN1	Collagen binding, Extracellular matrix structural constituent, Heparin binding, Response to wounding, Cell-matrix adhesion
?3.15	0.0033	Hs.158237	integrin alpha 10	ITGA10	Collagen binding, Integrin complex, Integrin-mediated signaling pathway, Magnesium ion binding, Receptor activity, Glucuronosyl-N-acetylglucosaminylproteoglycan 4-alpha-N-acetylglucosaminyltransferase activity
?2.23	0.0087	Hs.150956	exostoses (multiple)-like 1	EXTL1	Skeletal development
?1.89	0.022	Hs.284216	angiogenic factor VG5Q	VG5Q	Angiogenesis, Nucleic acid binding, Integral to plasma membrane
?2.26	0.0076	Hs.4007	sarcolemma associated protein	SLMAP	Muscle contraction, Smooth endoplasmic reticulum
