Name	Systematic	GenBank accession no.	Average fold change
HDGFRP3	34673_r_at	AL109689	5
SPRY2	33700_at	AF039843	3.6
FARP1	32148_at	AI701049	5.5
ACTN1	39329_at	X15804	10.8
CST3	39689_at	AI362017	11
PTP4A3	36008_at	AF041434	2
AEBP1	39069_at	AF053944	8.1
DBN1	37981_at	U00802	6.6
HOMER3	38233_at	AF093265	6.5
DUSP5	529_at	U15932	5.3
CASP6	35662_at	U20536	2.3
ENPP2	41124_r_at	L35594	22
RHOC	1395_at	L25081	3.1
PSEN2	41349_at	L43964	2.4
TPM2	32314_g_at	M75165	9.2
FZD2	628_at	L37882	2.7
SPARC	671_at	J03040	24.2
CCL4	36674_at	J04130	12.4
CCND1	2020_at	M73554	19.7
PCCA	1348_s_at	S79219	2.1
ZNF3	40118_at	X07290	2.5
IGF2R	160027_s_at	Y00285	7.8
CRY1	38148_at	D83702	2.9
CYFIP1	37306_at	D38549	11.2
PRKCB1	160029_at	X07109	8.2
ENPP2	41123_s_at	L35594	23.3
CHL1	34193_at	AF002246	6.1
CCL5	1405_i_at	M21121	23.8
DKFZp434I	41810_at	AA203545	2
ZNF268	35866_at	X78926	1.8
SCA1	36142_at	X79204	4.2
TYRO3	2086_s_at	D17517	3.6
ID1	36618_g_at	X77956	3.8
NFE2L3	34282_at	AB010812	4.8
OPTN	41744_at	AF070533	2.4
NMT2	41656_at	AF043325	2
SERPINF1	40856_at	U29953	5.4
SMARCA1	40213_at	M88163	2.9
SLC16A4	39260_at	U59185	15.9
TIAM1	38370_at	U90902	6.1
CCL5	1403_s_at	M21121	11.8
PHYH	32724_at	AF023462	4.6
FSCN1	39070_at	U03057	9
CNN3	40953_at	S80562	12.1
OASL	38389_at	X04371	2.3
KIAA0882	38254_at	AB020689	3.9
