Genbank ID	Gene Title	Gene Symbol	5 h                               FC ± SEM	8 d                FC ± SEM	1.5 mos                              FC ± SEM	6 mos                                       FC ± SEM	Gene sequence
BG072708	ATPase, Cu++ transporting, alpha polypeptide	Atp7a	-1.6 ± 0.4	N.C.	N.C.	N.C.	1
BC020177	ATPase, Na+/K+ transporting, alpha 3 polypeptide	Atp1a3	N.C.	-2.0 ± 0.4	N.C.	N.C.	2
BM249532	ATPase, class V, type 10A	Atp10a	-1.7 ± 0.4	N.C.	N.C.	N.C.	3
AV340006	ATPase, Ca++-sequestering	Atp2c1	N.C.	-2.5 ± 0.5	N.C.	N.C.	4
AV010327	SET and MYND domain containing 1	Smyd1	N.C.	-2.0 ± 0.4	N.C.	N.C.	5
AI845177	ATPase, Na+/K+ transporting, alpha 2 polypeptide	Atp1a2	-1.8 ± 0.4	N.C.	N.C.	N.C.	6
BF451402	ATPase, class I, type 8B, member 1 (Atp8b1), mRNA	Atp8b1	N.C.	N.C.	-1.5 ± 0.4	N.C.	7
NM_053122	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)	Immp2l	N.C.	-1.9 ± 0.4	N.C.	N.C.	8
NM_007507	ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit e	Atp5k	N.C.	-1.6 ± 0.4	N.C.	N.C.	9
AK004157	ATPase, H+ transporting, V1 subunit C, isoform 2	Atp6v1c2	-1.5 ± 0.4	N.C.	-1.5 ± 0.4	-1.5 ± 0.4	10
BB327008	minichromosome maintenance deficient domain containing 1	Mcmdc1	N.C.	-3.7 ± 0.5	N.C.	N.C.	11
AV129500	DnaJ (Hsp40) homolog, subfamily C, member 1	Dnajc1	N.C.	-1.8 ± 0.5	N.C.	N.C.	12
AW413978	ATP-binding cassette, sub-family G (WHITE), member 1	Abcg1	-1.5 ± 0.4	N.C.	N.C.	N.C.	13
AW537380	ATP-binding cassette, sub-family B (MDR/TAP), member 7	Abcb7	-1.9 ± 0.4	N.C.	N.C.	N.C.	14
BB799477	RAD51-like 1 (S. cerevisiae)	Rad51l1	-3.0 ± 0.4	N.C.	N.C.	N.C.	15
BM206009	ATPase family, AAA domain containing 2	Atad2	-1.8 ± 0.3	N.C.	N.C.	N.C.	16
NM_026487	ATPase family, AAA domain containing 1	Atad1	N.C.	-1.8 ± 0.4	N.C.	N.C.	17
NM_022879	myosin, light polypeptide 7, regulatory	Myl7	N.C.	-1.7 ± 0.5	N.C.	N.C.	18
