chromosome band	number of genes	p.val	FDR.q.val
chr6q22	39	0	0.00093452
chr4q32	18	0	0.029035
chr11q12	62	0	0.030547
chr11p15	121	0.001792	0.03715
chr6q24	23	0.001876	0.028395
chr4q31	33	0.003876	0.033942
chr12p13	89	0.007722	0.19867
chr15q25	39	0.008016	0.12076
chr4q21	35	0.009542	0.1195
chr12q22	10	0.00994	0.15655
chr12p12	34	0.0117	0.13224
chr8p22	16	0.01287	0.12388
chr21q22	117	0.01507	0.24508
chr21	116	0.01515	0.20761
chr15q26	37	0.01961	0.20121
chr1p12	12	0.02464	0.12483
chr16q12	35	0.02559	0.11827
chr1p21	20	0.03285	0.19221
chr4	342	0.03434	0.25044
chr6q23	36	0.03696	0.1472
chr5q22	17	0.04478	0.1932
chr6q21	41	0.04537	0.20485
chr2q23	13	0.04694	0.25517
chr8p23	22	0.0499	0.33777
chr6q25	40	0.06008	0.29506
chr17p12	12	0.06576	0.32796
chr1p32	38	0.06625	0.37044
chr9q21	46	0.06692	0.45856
chr2q13	18	0.07313	0.33155
chr4p15	25	0.07607	0.39819
chr12q12	10	0.08037	0.46893
chr3q13	50	0.08917	0.46955
chr6q27	21	0.09922	0.36259
chr1p31	41	0.1049	0.46673
chr9p24	31	0.1107	0.47578
chr4q22	20	0.1186	0.48141
chr4q26	10	0.1243	0.45806
chr15q21	42	0.1284	0.55868
chr3q24	12	0.1294	0.46948
chr5p13	26	0.1383	0.51038
chr18q21	54	0.1553	0.51172
chr12q21	28	0.1589	0.54603
chr3p14	29	0.1595	0.50818
chr16q13	12	0.1684	0.47209
chr13	166	0.1697	0.53932
chr17p13	110	0.171	0.51761
chr1p36	153	0.1727	0.55284
chr2q32	26	0.173	0.51306
chr10q11	28	0.174	0.53756
chr4q13	29	0.1766	0.55019
chr1p22	27	0.1868	0.54751
chr11q23	61	0.1978	0.56384
chr11q22	32	0.1981	0.5442
chr11	563	0.2178	0.63192
chr6	517	0.2192	0.61037
chr10p13	22	0.2231	0.62669
chr2q24	32	0.2427	0.65286
chr9q32	20	0.2465	0.62448
chr14q21	24	0.2622	0.60038
chr4p12	10	0.2647	0.63738
chr21q21	23	0.2736	0.62497
chrXq26	22	0.2795	0.61674
chr15	285	0.2873	0.72719
chr4q23	14	0.2878	0.6334
chr10q26	62	0.2885	0.69811
chr9	322	0.3123	0.70985
chr16p12	28	0.3278	0.74769
chr9q22	53	0.3314	0.72852
chr12	491	0.3373	0.75833
chr10p15	25	0.3433	0.75729
chr17p11	35	0.3642	0.76294
chr9p22	12	0.3745	0.77244
chr18	118	0.3839	0.77545
chr7q34	24	0.3922	0.80339
chr13q12	42	0.396	0.78159
chr6p24	21	0.4059	0.80459
chr1q43	10	0.4233	0.79611
chr3p24	22	0.4297	0.80483
chr14q13	18	0.4308	0.80479
chr10q25	38	0.4402	0.79969
chr11q24	30	0.446	0.79853
chr2p24	13	0.4534	0.80889
chr18q22	16	0.4665	0.83056
chr18p11	40	0.4781	0.80421
chr12q23	35	0.4953	0.87751
chr6p25	21	0.497	0.84602
chr18q12	32	0.497	0.87405
chr13q32	23	0.5094	0.865
chr17q23	45	0.5145	0.87253
chr4q25	17	0.5198	0.88832
chr5q15	11	0.5213	0.88383
chr20p11	34	0.5344	0.86985
chr10p14	16	0.5398	0.85776
chr13q14	53	0.5425	0.86126
chr1p35	38	0.5456	0.87243
chr14q11	71	0.5474	0.88104
chr3p22	32	0.5529	0.87393
chr12p11	16	0.5605	0.85363
chr1q23	69	0.577	0.89484
chr5q34	10	0.5895	0.85364
chr18q11	23	0.5941	0.85119
chrXq21	21	0.5965	0.85611
chr3q25	30	0.6047	0.86008
chr14q22	31	0.6077	0.85654
chr3q27	35	0.6111	0.87728
chr16	380	0.6128	0.87767
chr9p21	20	0.6149	0.86217
chr10q23	50	0.6151	0.84671
chr7p13	22	0.632	0.87401
chr16q22	63	0.6324	0.90561
chr10q24	74	0.6612	0.89375
chr11q14	20	0.6867	0.90926
chr6q16	12	0.687	0.91581
chr12q13	132	0.6988	0.88464
chr10	320	0.7073	0.89831
chr9q34	111	0.7102	0.89928
chr4p14	15	0.7106	0.90778
chr3p26	13	0.722	0.90412
chr7p12	10	0.7233	0.89312
chr7q31	36	0.7234	0.95407
chr15q15	41	0.7389	0.88594
chrXq23	14	0.7459	0.94773
chrXp21	10	0.7465	0.93619
chr3q22	27	0.7552	0.94156
chr2q34	10	0.7821	0.93119
chr10q22	71	0.787	0.9416
chr4q35	14	0.7972	0.94161
chr3	489	0.7992	0.94292
chr14q12	13	0.8004	0.93002
chr14	329	0.8024	0.94181
chr6q13	13	0.8031	0.93879
chr8p21	51	0.8053	0.94728
chr4q28	10	0.8101	0.92631
chr13q13	21	0.8233	0.92976
chr6q14	26	0.8234	0.96311
chr17	514	0.8362	0.93531
chr3q12	11	0.8386	0.94727
chr22q12	67	0.841	0.9417
chr22q13	104	0.8596	0.94551
chr3q21	45	0.866	0.92488
chr1p34	84	0.8755	0.92091
chr11q13	147	0.8827	0.94614
chr11p13	18	0.8882	0.95972
chr6p12	40	0.8893	0.92681
chr5q33	30	0.9121	0.98185
chr9q33	46	0.9354	0.98629
chr16q23	19	0.9367	0.98216
chr14q24	65	0.9402	0.99481
chr2p25	33	0.9487	0.97757
chr2	601	0.9715	0.94481
chr20p12	28	0.9793	0.99771
chr22q11	70	0.9818	1
chr16p11	41	0.9823	0.9957
chr13q34	22	0.9837	0.9933
chr12q14	22	0.9855	1
chr20q13	143	0.9943	0.99838
chr2q21	15	0.9945	0.99509
