GeneBank Accession No.	Gene	Symbol	Fold Day 10(+)	Fold Liver
AF440692	Transferrin	Trf	35.377	13.563
X04115	Major urinary protein 1	Mup1	33.867	7.845
D83073	Mitogen-activated protein kinase 14	Mapk14	33.478	8.692
NM_013474	Apolipoprotein A-II	Apoa2	33.023	10.9
AY073538	Olfactory receptor MOR145-4	MORI45-4	25.915	6.109
BC019965	Similar to major urinary protein 4		24.419	11.53
Y127132	Endogenous retroviral sequence 4 (with leucine t-RNA primer)	Erv4-pending	22.091	0.991
NM_021528	Chondroitin 4-sulfotransferase 2	C4st2-pending	21.44	6.36
NM_009247	Serine protease inhibitor 1-5	Spi1-5	20.045	7.363
NM_013697	Transthyretin	Ttr	18.919	7.691
X13060	Albumin 1	Alb1	18.9	8.744
NM_009244	Serine protease inhibitor 1-2	Spi1-2	18.129	8.39
X62595	Cytochrome P450, family 2, subfamily e, polypeptide 1	Cyp2e1	15.869	7.464
AK019146	Putative homeodomain transcription factor	Phtf	14.187	5.366
BC017687	Ubiquinol-cytochrome c reductase core protein 1	Uqcrc1	12.341	4.775
NM_007443	Alpha 1 microglobulin/bikunin	Ambp	11.448	4.454
NM_007376	Pregnancy zone protein	Pzp	11.136	31.266
NM_007469	Apolipoprotein C-I	Apoc1	10.581	24.366
AF307745	Tyrosine kinase, nonreceptor, 1	Tnk1	9.428	3.308
AF403567	Aldolase 2, B isoform	Aldo2	8.663	4.202
J00369	Complement component 3	C3	8.499	13.565
NM_010726	Phytanoyl-CoA hydroxylase	Phyh	7.227	2.825
AK021254	RIKEN cDNA C430046P22 gene	C430046P22Rik	7.024	22.691
NM_010764	Mannosidase 2, alpha B1	Man2b1	6.985	2.779
NM_007409	Alcohol dehydrogenase 1 (class I)	Adh1	6.44	10.54
BC013343	4-hydroxyphenylpyruvic acid dioxygenase	Hpd	6.264	14.715
NM_134143	Cytochrome P450, family 2, subfamily c, polypeptide 40	Cyp2c40	6.143	9.015
AL136158	Dm538m10.1		6.002	1.818
AK018115	RIKEN cDNA 6330404E16 gene	6330404E16Rik	5.969	20.298
NM_009381	Thyroid hormone responsive spot14 homolog	Thrsp	5.83	9.857
