Alteration	Gene	Locus	Frequency (%)
Gain	EIF4G	3q27	50
Gain	ETV5	3q28	47.4
Gain	EGFR	7p12.3–12.1	52.3
Gain	CDC10	7p14.2	54.5
Gain	IGFBP1	7p14–p12	56.8
Gain	MYCLK1	7p15	50
Gain	TAX1BP1	7p15.2	47.7
Gain	TCRG	7p15–p14	54.5
Gain	IL6	7p21	47.7
Gain	PMS2	7p22	56.8
Gain	MUC3	7q22	47.7
Gain	MET	7q31	45.5
Gain	SMOH	7q31–q32	45.5
Gain	BRAF	7q34	45.5
Gain	CDK5	7q36	52.3
Gain	AR	Xq12	47.7
Gain	CuI4B	Xq24	47.7
Gain	MCF2	Xq27	45.5
Gain	MAGEA2	Xq28	45.5
Gain	CTAG	Xq28	61.4
Loss	AFP	4q11–q13	40.9
Loss	FGF5	4q21	50
Loss	ABCG2	4q22	52.3
Loss	NFKB	4q24	43.2
Loss	p16	9p21	63.6
Loss	MTAP	9p21.3	47.7
Loss	BMI1	10p13	43.2
Loss	PCDH15	10q21.1	40.9
Loss	PGR	11q22	50
Loss	FGF9	13q11–q12	45.5
Loss	ZNF198	13q11–q12	47.7
Loss	FLT1	13q12	45.5
Loss	FLT3	13q12	54.5
Loss	BRCA2	13q12–13	54.5
Loss	RB1	13q14	47.7
Loss	PIBF1	13q22.1	43.2
Loss	KLF12	13q22.1	52.3
Loss	HNF3A	14q12	47.7
Loss	MBIP	14q12	52.3
Loss	FKHL1	14q13	43.2
