Symbol	Accession	Gene name	Allele a PthlhThr	PthlhSerAspTyr	PthlhPro
ACAA2	H07926	Acetyl-coenzyme A acyltransferase 2	-1.79	-2.94	-0.67
AKAP12	AA478542	A kinase (PRKA) anchor protein (gravin) 12	0.37	-1.12	-1.04
AKR1C1	R93124	Aldo-keto reductase family 1, member C2	-3.06	-0.6	-0.22
ALDOC	T77281	Aldolase C, fructose-bisphosphate	-0.54	-0.09	-1.79
ANXA1	H63077	Annexin A1	2.86	0.34	-4.06
CCL2	AA425102	Chemokine (C-C motif) ligand 2	-1.89	-0.25	3.43
CDK2AP1	R78607	CDK2-associated protein 1	-2.25	-2.64	0.08
CEACAM6	AA054073	Carcinoembryonic antigen-related cell adhesion molecule 6	1.99	3.67	-2.74
CLIC1	AA486518	Chloride intracellular channel 1	0.87	-0.29	-0.07
ELF3	AA433851	E74-like factor 3	3.37	3.39	1.01
FBN1	NM_000138	Fibrillin 1 (Marfan syndrome)	3.39	3.08	2.12
FN1	R62612	Fibronectin 1	-3.32	-1.25	2.17
FXYD3	AA126115	FXYD domain containing ion transport regulator 3	2.09	2.23	-0.86
IGFBP3	AA598601	Insulin-like growth factor binding protein 3	-1.4	0.03	2.03
IGFBP5	H08560	In multiple clusters	-5.06	-3.06	0.65
KCNE3	AI221445	Potassium voltage-gated channel, Isk-related family, member 3	0.3	0.44	-1.29
KRT19	AA464250	Keratin 19	1.93	0.21	-0.67
MATR3	H91156	Matrin 3	-0.84	-1.06	-0.27
MEST	NM_002402	Mesoderm-specific transcript homolog	-0.62	-1.4	1.62
MTHFD2	AA480995	Methylenetetrahydrofolate dehydrogenase (NADP+dependent) 2	-0.36	-0.25	1.49
PLCL1	NM_006226	Phospholipase C-like 1	-1.51	-0.74	-2.47
S100A11	AA464731	S100 calcium-binding protein A11	2.84	1.14	-0.6
SET	AA205665	SET translocation (myeloid leukemia-associated)	-1.32	-2.12	-0.22
TFF3	N74131	Trefoil factor 3 (intestinal)	0.08	0.9	-3.06
TRIM29	NM_012101	Tripartite motif-containing 29	2.05	-0.14	-1.64
