Gene	Accession	Map	Description	-fold	Expression
ADPRF	U52521	—	Arfaptin (ADP-ribosylation factor)	8	Down-regulation
ARD1	U14575	1	Activator of RNA decay 1	5	Down-regulation
ARHH	Z35227	4p13	Ras homolog gene family H	6	Down-regulation
CDH	D88797	5q31	Cadherin	6	Down-regulation
CRA	U78556	1	Cisplatin resistance associated	>10	Down-regulation
DLEC1	AB020522	3p22	Deleted in lung and esophageal cancer	>10	Down-regulation
DYRK2	Y09216	12	Dual tyrosine-phosphorylation-regulated kinase 2	6	Down-regulation
H-PLK	M55422	7	Krueppel-related zinc finger protein	8	Down-regulation
IFNAR1	J03171	21q22.1	Interferon alpha receptor 1	>10	Down-regulation
LCP2	U20158	5q33.1	Lymphocyte cytosolic protein	7	Down-regulation
MNDA	M81750	1q22	Myeloid cell nuclear differentiation antigen	7	Down-regulation
NFE2	S77763	12q13	Nuclear factor, erythroid derived 2	8	Down-regulation
NKG7	S69115	19	Natural killer cell group 7	5	Down-regulation
P63	Y16961	3q27-q29	Tumor protein 63	7	Down-regulation
PAGE1	AF058989	X	Prostate-associated gene 1	6	Down-regulation
PF4	M25897	4q12-q21	Platelet factor 4	10	Down-regulation
PIK3CG	X83368	7	Phosphatidylinositol kinase 3 catalytic gamma	>10	Down-regulation
PRKAA1	AB022017	5p12	AMP-activated protein kinase alpha 1	8	Down-regulation
RGS19	X91809	—	Regulator of G-protein signaling 19	7	Down-regulation
SDF1	L36033	10q11.1	Stromal-cell-derived factor 1	>10	Down-regulation
STAT2	U18671	12	Signal transducer and activator of transcription 2	>10	Down-regulation
TDGF3	M96956	Xq21-q22	Teratocarcinoma-derived growth factor 3	5	Down-regulation
UPK3	AF085808	22q13.31	Uroplakin	>10	Down-regulation
ALTE	D31762	6p21	AC-like transposable element	6	Up-regulation
BENE	U17077	2q13	T-lymphocyte maturation factor	>10	Up-regulation
CCND1	M73554	11q13	Cyclin D1	>10	Up-regulation
CD9	M38690	12q13	CD9 antigen	6	Up-regulation
CDK2AP1	AF089814	11q13	CDK2-associated protein	10	Up-regulation
GA733-2	M93036	4q	Carcinoma-associated antigen	>10	Up-regulation
HRAS1	J00277	11p15.5	H-RAS 1	6	Up-regulation
IEX1	S81914	6p21.3	Radiation-inducible immediate-early response gene	9	Up-regulation
JUND	X56681	19p13.2	Jun-D proto-oncogene	5	Up-regulation
MAGE1	M77481	Xq28	Melanoma antigen 1	>10	Up-regulation
MAGE3	U03735	Xq28	Melanoma antigen 3	7	Up-regulation
MAGE6	U10691	Xq28	Melanoma antigen 6	>10	Up-regulation
MIG2	Z24725	14	Mitogen-inducible gene	8	Up-regulation
MKPL	AF038844	17q12	MKP1-like protein tyrosine phosphatase	6	Up-regulation
MLF2	AF070539	12p13	Myeloid leukemia factor 2	8	Up-regulation
NCOR1	AF044209	17p11.2	Nuclear receptor corepressor 1	7	Up-regulation
PDF	AB000584	19p	Prostate-derived factor	>10	Up-regulation
PSMD11	AB003102	17	Proteasome 26S subunit p44.5	5	Up-regulation
PTPRN	L18983	2q35	Protein tyrosine phosphatase receptor N	5	Up-regulation
RAI3	AF095448	12p13	Retinoic-acid-induced gene	8	Up-regulation
STIP1	M86752	11q13	Stress-induced phosphoprotein 1	>10	Up-regulation
TK1	M15205	17q23	Thymidine kinase 1	5	Up-regulation
TM4SF3	M35252	12	Transmembrane 4 superfamily 3	>10	Up-regulation
TOM1	AJ006973	22q13.1	Target of myb 1	5	Up-regulation
