Gene description	Symbol	Accession no.	Ratio (Log2)	SD	Functional Category
HLA-DR alpha heavy-chain a class II antigen (MHC)	FLJ51114	H78841	2.5	0.8	Cell surface receptors/ligands
Peripheral lymph node homing receptor homolog	CD62L	H00662	3.3	1.3	Cell surface receptors/ligands
MHC class II dr beta	DRB1	H90289	2	0.9	Cell surface receptors/ligands
CD133 antigen†	PROM1	R40057	3.7	0.8	Cell surface receptors/ligands
m130 antigen cytoplasmic variant 2	M130	N73867	3.2	1.7	Cell surface receptors/ligands
HLA-DP-beta1 gene and HLA-DP-alpha-1 gene exon 1‡	DPB1	AA496472	2.2	0.7	Cell surface receptors/ligands
Complement component 1, q subcomponent, receptor 1	CD93	H28298	2.1	1.6	Cell surface receptors/ligands
Human platelet endothelial cell adhesion molecule‡	CD31	R22412	2.2	0.6	Cell surface receptors/ligands
Low-affinity IgG receptor CD16 (fcgriii)	CD16	N47495	2.7	1.4	Cell surface receptors/ligands
Toll/IL-1 receptor-like protein 4 (til4)	CD282	AA004805	2.1	1.6	Cell surface receptors/ligands
Mannose receptor, c type 1	CD206	AA043388	2.2	1	Cell surface receptors/ligands
HLA-SB(dp) alpha gene	DP	H38801	2	0.5	Cell surface receptors/ligands
Multidrug resistance gene 1 (MDR1)‡	CD243	AA135957	2.1	0.5	Transporter/signal transduction
Soluble guanylate cyclase small subunit	GUCB3	W73155	2	1.4	Transporter/signal transduction
Glucose transport-like 5 (glut5)	GLUT5	AA459707	2	1.4	Transporter/signal transduction
Osteopontin	BNSP	R59298	3	1.8	Transporter/signal transduction
Interferon gamma—induced protein	IFNGIP1	AA126928	2	1	Transporter/signal transduction
Prepromultimerin	MMRN	AA423867	2.1	1.4	Transporter/signal transduction
kiaa0337 gene	Arhgef17	AA236696	2	0.7	Transporter/signal transduction
v-ets erythroblastosis virus e26 oncogene-like (avian)‡	P55	R01192	2.9	0.9	Transcription factors/cell cycle
erg2 gene†	HERG2	R87572	2.9	0.4	Transcription factors/cell cycle
cyclin G2	CCNG2	H18981	2	0.8	Transcription factors/cell cycle
Fibronectin (fn precursor)	CIG	W57892	2.1	1.4	Cellular component/cytoskeleton
Dermal fibroblast elastin‡	WDR1	R49766	2.2	0.6	Cellular component/cytoskeleton
Williams-Beuren syndrome chromosome region 5‡	WBSCR5	AF086239	2.1	0.6	Other/unknown
kiaa 1766 protein	KIAA1766	AI800340	2.1	1.6	Other/unknown
kiaa0125 gene product‡	KIAA0125	H65343	2.2	0.6	Other/unknown
Melanoma-associated gene‡	D2S448	R09509	2	0.5	Other/unknown
lim protein slimmer	FHL1	AA134667	2.3	1.1	Other/unknown
kiaa0581 protein‡	PLCB1	AA011027	2.2	0.8	Other/unknown
ralgds-like gene	RGL	AA013091	2.1	1.9	Other/unknown
Cysteine and tyrosine-rich 1	CYYR1	AA125921	2	0.8	Other/unknown
Hypothetical protein flj14054‡	FLJ14054	H68441	2.9	0.8	Other/unknown
cDNA dkfzp586e1624		AA042839	2.3	0.8	Other/unknown
Acyl-protein thioesterase	LYPLA2	R38687	2.3	3.3	Other/unknown
Hypothetical protein flj10628‡	FLJ10628	AA400002	2.3	0.7	Other/unknown
