HGNC Identifier	Description	Foldchange EB/ MK	Ensembl ID
ERAF	Alpha-hemoglobin stabilizing protein (Erythroid associated factor) (Erythroid differentiation related factor). [Source:SWISSPROT;Acc:Q9NZD4]	142.3210397	ENSG00000169877
CA1	Carbonic anhydrase I (EC 4.2.1.1) (Carbonate dehydratase I) (CA-I) (Carbonic anhydrase B). [Source:SWISSPROT;Acc:P00915]	140.8992431	ENSG00000133742
TAC3	Neurokinin B precursor (NKB) (Neuromedin K) (ZNEUROK1). [Source:SWISSPROT;Acc:Q9UHF0]	116.6357998	ENSG00000166863
GDF15	Growth/differentiation factor 15 precursor (GDF-15) (Placental bone morphogenic protein) (Placental TGF-beta) (Macrophage inhibitory cytokine-1) (MIC-1) (Prostate differentiation factor) (NSAID-regulated protein 1) (NRG-1). [Source:SWISSPROT;Acc:Q99988]	73.4609497	ENSG00000130513
HBA2	HBA2, hemoglobin, alpha 2 [Homo sapiens], Other Aliases: HBA1	67.29561656	ENSG00000188536
PECI	Peroxisomal 3,2-trans-enoyl-CoA isomerase (EC 5.3.3.8) (Dodecenoyl-CoA delta-isomerase) (D3,D2-enoyl-CoA isomerase) (DBI-related protein 1) (DRS-1) (Hepatocellular carcinoma-associated antigen 88). [Source:SWISSPROT;Acc:O75521]	52.48798982	ENSG00000198721
PKLR	Pyruvate kinase, isozymes R/L (EC 2.7.1.40) (R-type/L-type pyruvate kinase) (Red cell/liver pyruvate kinase). [Source:SWISSPROT;Acc:P30613]	50.03439305	ENSG00000143627
CCR7	C-C chemokine receptor type 7 precursor (C-C CKR-7) (CC-CKR-7) (CCR-7) (MIP-3 beta receptor) (EBV-induced G protein-coupled receptor 1) (EBI1) (BLR2). [Source:SWISSPROT;Acc:P32248]	43.45769832	ENSG00000126353
TACSTD1	Tumor-associated calcium signal transducer 1 precursor (Major gastrointestinal tumor-associated protein GA733-2) (Epithelial cell surface antigen) (Epithelial glycoprotein) (EGP) (Adenocarcinoma- associated antigen) (KSA) (KS 1/4 antigen) (Cell surface glycoprotein Trop-1). [Source:SWISSPROT;Acc:P16422]	38.84378864	ENSG00000119888
HBE1	Hemoglobin epsilon chain. [Source:SWISSPROT;Acc:P02100]	38.49453876	ENSG00000196565
NP_112177.1	MSTP014	37.74589595	ENSG00000185082
SELENBP1	Selenium-binding protein 1. [Source:SWISSPROT;Acc:Q13228]	35.99392478	ENSG00000143416
MARCH2	Blasts to: Membrane-associated RING finger protein 2 (Membrane-associated RING-CH protein II) (MARCH-II) (RING finger protein 172) (HSPC240). [Source:Uniprot/SWISSPROT;Acc:Q9P0N8]	35.14701143	ENSG00000168754
KRT17	Keratin, type I cytoskeletal 17 (Cytokeratin 17) (K17) (CK 17) (39.1). [Source:SWISSPROT;Acc:Q04695]	32.41657051	ENSG00000186831
CTSL	Cathepsin L precursor (EC 3.4.22.15) (Major excreted protein) (MEP). [Source:SWISSPROT;Acc:P07711]	29.97612902	ENSG00000135047
KCNH2	Potassium voltage-gated channel subfamily H member 2 (Voltage-gated potassium channel subunit Kv11.1) (Ether-a-go-go related gene potassium channel 1) (H-ERG) (Erg1) (Ether-a-go-go related protein 1) (Eag-related protein 1) (eag homolog).	29.01719277	ENSG00000055118
ELA2B_HUMAN	Elastase 2B precursor (EC 3.4.21.71). [Source:SWISSPROT;Acc:P08218]	26.96346337	ENSG00000142615
FAM83A	Blasts to: FAM83A	26.69987986	ENSG00000147689
CRYZ	Quinone oxidoreductase (EC 1.6.5.5) (NADPH:quinone reductase) (Zeta- crystallin). [Source:SWISSPROT;Acc:Q08257]	25.889107	ENSG00000116791
TNFSF7	Tumor necrosis factor ligand superfamily member 7 (CD27 ligand) (CD27- L) (CD70 antigen). [Source:SWISSPROT;Acc:P32970]	25.40089175	ENSG00000125726
SYNGR1	Synaptogyrin 1. [Source:SWISSPROT;Acc:O43759]	24.62835167	ENSG00000100321
TPSD1	Tryptase delta precursor (EC 3.4.21.59) (Delta tryptase) (Mast cell mMCP-7-like) (HmMCP-3-like tryptase III). [Source:SWISSPROT;Acc:Q9BZJ3]	20.43738861	ENSG00000095917
ARL4	ADP-ribosylation factor-like protein 4. [Source:SWISSPROT;Acc:P40617]	18.63774952	ENSG00000122644
SPATA9	spermatogenesis associated 9 isoform 1; NYD-SP16 protein. [Source:RefSeq;Acc:NM_031952]	17.95275069	ENSG00000145757
CALB2	Calretinin (CR) (29 kDa calbindin). [Source:SWISSPROT;Acc:P22676]	16.53453088	ENSG00000172137
ADD2	Beta adducin (Erythrocyte adducin beta subunit). [Source:SWISSPROT;Acc:P35612]	15.72384246	ENSG00000075340
ISG20	interferon stimulated gene 20kDa; interferon stimulated gene (20kD). [Source:RefSeq;Acc:NM_002201]	15.60543667	ENSG00000172183
EMP2	Epithelial membrane protein-2 (EMP-2) (XMP protein). [Source:SWISSPROT;Acc:P54851]	14.82305843	ENSG00000186261
GTF3A	Transcription factor IIIA (Factor A) (TFIIIA). [Source:SWISSPROT;Acc:Q92664]	13.58541867	ENSG00000122034
IER3	Radiation-inducible immediate-early gene IEX-1 (Immediate early protein GLY96) (Immediate early response 3 protein) (PACAP-responsive gene 1 protein) (PRG1 protein) (Differentiation-dependent gene 2 protein) (DIF-2 protein). [Source:SWISSPROT;Acc:P46695]	12.55471403	ENSG00000137331
LRRC54	Tsukushi precursor (Leucine-rich repeat-containing protein 54) (E2- induced gene 4 protein). [Source:Uniprot/SWISSPROT;Acc:Q8WUA8]	11.88020944	ENSG00000182704
ELL2	RNA polymerase II elongation factor ELL2. [Source:SWISSPROT;Acc:O00472]	11.70601049	ENSG00000118985
UBADC1	ubiquitin associated domain containing 1; putative glialblastoma cell differentiation-related; putative glialblastoma cell differentiation-related protein. [Source:RefSeq;Acc:NM_016172]	11.36726203	ENSG00000130560
TOP1MT	DNA topoisomerase I, mitochondrial precursor (EC 5.99.1.2) (TOP1mt). [Source:SWISSPROT;Acc:Q969P6]	11.24456956	ENSG00000184428
CCDC77	Blasts to: CCDC77	10.52816664	ENSG00000120647
FAM117A	C/EBP-induced protein. [Source:RefSeq;Acc:NM_030802]	10.2659495	ENSG00000121104
CA2	Carbonic anhydrase II (EC 4.2.1.1) (Carbonate dehydratase II) (CA-II) (Carbonic anhydrase C). [Source:SWISSPROT;Acc:P00918]	9.959402671	ENSG00000104267
TFRC	Transferrin receptor protein 1 (TfR1) (TR) (TfR) (Trfr) (CD71 antigen) (T9) (p90). [Source:SWISSPROT;Acc:P02786]	9.733478773	ENSG00000072274
SSX4	SSX4 protein. [Source:SWISSPROT;Acc:O60224]	9.555750601	ENSG00000185319
CBS	Cystathionine beta-synthase (EC 4.2.1.22) (Serine sulfhydrase) (Beta-thionase). [Source:SWISSPROT;Acc:P35520]	9.313447311	ENSG00000160200
RNF43	Transcription elongation factor SPT4 (hSPT4) (DRB sensitivity-inducing factor small subunit) (DSIF small subunit) (DSIF p14)	9.277755398	ENSG00000108375
PRDX2	Peroxiredoxin 2 (EC 1.11.1.-) (Thioredoxin peroxidase 1) (Thioredoxin- dependent peroxide reductase 1) (Thiol-specific antioxidant protein) (TSA) (PRP) (Natural killer cell enhancing factor B) (NKEF-B). [Source:SWISSPROT;Acc:P32119]	9.15983834	ENSG00000167815
TIMP4	Metalloproteinase inhibitor 4 precursor (TIMP-4) (Tissue inhibitor of metalloproteinases 4). [Source:Uniprot/SWISSPROT;Acc:Q99727]	8.888841648	ENSG00000157150
C20orf108	Blasts to: CT108_Human	8.877731624	ENSG00000124098
ZDHHC14	Zinc finger DHHC domain containing protein 14 (NEW1 domain containing protein) (NEW1CP). [Source:SWISSPROT;Acc:Q8IZN3]	8.732692235	ENSG00000175048
ADFP	Adipophilin (Adipose differentiation-related protein) (ADRP). [Source:SWISSPROT;Acc:Q99541]	8.648479351	ENSG00000147872
EVPL	Envoplakin (210 kDa paraneoplastic pemphigus antigen) (p210) (210 kDa cornified envelope precursor protein).	8.505622368	ENSG00000167880
OAT	Ornithine aminotransferase, mitochondrial precursor (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase). [Source:SWISSPROT;Acc:P04181]	8.317855018	ENSG00000065154
DDIT4	RTP801; HIF-1 responsive RTP801. [Source:RefSeq;Acc:NM_019058]	8.258941438	ENSG00000168209
CLC	Eosinophil lysophospholipase (EC 3.1.1.5) (Charcot-Leyden crystal protein) (Lysolecithin acylhydrolase) (CLC) (Galactin-10). [Source:SWISSPROT;Acc:Q05315]	8.029510584	ENSG00000105205
EPX	Eosinophil peroxidase precursor (EC 1.11.1.7) (EPO). [Source:SWISSPROT;Acc:P11678]	7.917226247	ENSG00000121053
