ID	Gene	P	95% Confidence interval	R/S ratio both†	R/S ratio cell line‡	R/S ratio patients tumor§	Expression
200963_x_at	Ribosomal protein L31	0.0076	0.0060-0.0095	0.83	0.93	0.75	Down-regulated in both chemoresistant cell lines and resistant tumor specimens
200008_s_at	GDP dissociation inhibitor 2	0.0015	0.0008-0.0025	0.68	0.91	0.5	Down-regulated in both chemoresistant cell lines and resistant tumor specimens
200052_s_at	Interleukin enhancer binding factor 2, 45 kDa	0.008	0.0063-0.0099	0.68	0.96	0.46	Down-regulated in both chemoresistant cell lines and resistant tumor specimens
200008_s_at	GDP dissociation inhibitor 2	0.0086	0.0069-0.0106	0.67	0.89	0.51	Down-regulated in both chemoresistant cell lines and resistant tumor specimens
200036_s_at	Ribosomal protein L10a	0.0326	0.0292-0.0363	0.75	0.75	0.77	Down-regulated in both chemoresistant cell lines and resistant tumor specimens
201105_at	Lectin, galactoside binding, soluble, 1 (galectin 1)	0.0077	0.0061-0.0096	0.53	0.41	0.66	Down-regulated in both chemoresistant cell lines and resistant tumor specimens
200741_s_at	Ribosomal protein S27 (metallopanstimulin 1)	0.0318	0.0284-0.0354	0.78	0.92	0.69	Down-regulated in both chemoresistant cell lines and resistant tumor specimens
221729_at	Collagen, type V, ?2	0.004	0.0029-0.0054	0.37	0.5	0.36	Down-regulated in both chemoresistant cell lines and resistant tumor specimens
218350_s_at	Geminin, DNA replication inhibitor	0.0081	0.0064-0.0101	0.43	0.93	0.28	Down-regulated in both chemoresistant cell lines and resistant tumor specimens
204031_s_at	DKFZp564J157 protein	0.0213	0.0186-0.0243	0.69	0.79	0.6	Down-regulated in both chemoresistant cell lines and resistant tumor specimens
201524_x_at	Ubiquitin-conjugating enzyme E2N (UBC13 homologue, yeast)?	0.0219	0.0191-0.0250	0.83	0.98	0.67	Down-regulated in both chemoresistant cell lines and resistant tumor specimens
200934_at	DEK oncogene (DNA binding)	0.0295	0.0263-0.0330	0.63	0.75	0.52	Down-regulated in both chemoresistant cell lines and resistant tumor specimens
200081_s_at	Ribosomal protein S6	0.0329	0.0295-0.0366	0.69	0.6	0.8	Down-regulated in both chemoresistant cell lines and resistant tumor specimens
200081_s_at	Ribosomal protein S6	0.0304	0.0271-0.0340	0.69	0.61	0.8	Down-regulated in both chemoresistant cell lines and resistant tumor specimens
208782_at	Follistatin-like 1?	0.0314	0.0281-0.0350	0.59	0.79	0.42	Down-regulated in both chemoresistant cell lines and resistant tumor specimens
201054_at	Heterogeneous nuclear ribonucleoprotein A0	0.0229	0.0201-0.0260	0.69	0.56	0.86	Down-regulated in both chemoresistant cell lines and resistant tumor specimens
201518_at	Chromobox homologue 1 (HP1? homologue Drosophila)	0.039	0.0353-0.0430	0.63	0.88	0.43	Down-regulated in both chemoresistant cell lines and resistant tumor specimens
205812_s_at	Sulfotransferase family, cytosolic, 1C, member 2	0.0016	0.001-0.003	1.58	1.59	1.63	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
201358_s_at	Coatomer protein complex, subunit ?	0.0028	0.0019-0.0040	1.66	1.5	1.9	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
200063_s_at	Nucleophosmin (nucleolar phosphoprotein B23, numatrin)	0.0052	0.0039-0.0068	1.24	1.22	1.24	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
204386_s_at	Mitochondrial ribosomal protein 63	0.0111	0.0091-0.0134	1.3	1.21	1.41	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
224778_s_at	Homo sapiens, clone IMAGE:5259584, mRNA	0.0103	0.0084-0.0125	1.56	1.7	1.41	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
200039_s_at	Proteasome (prosome, macropain) subunit, ?type, 2¶	0.0056	0.0042-0.0073	1.45	1.33	1.52	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
201288_at	Rho-GDP dissociation inhibitor ?	0.0078	0.0062-0.010	3.13	4.45	2.23	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
225301_s_at	Myosin VB	0.0074	0.0058-0.0093	1.42	1.32	1.53	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
200055_at	TAF10 RNA polymerase II, TATA box binding protein-associated factor, 30 kDa¶	0.0169	0.0145-0.0196	1.55	1.61	1.52	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
200055_at	TAF10 RNA polymerase II, TATA box binding protein-associated factor, 30 kDa	0.0148	0.0125-0.0174	1.59	1.73	1.52	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
202442_at	Adaptor-related protein complex 3, ?1 subunit	0.0022	0.0014-0.0033	1.37	1.43	1.32	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
208709_s_at	Nardilysin (N-arginine dibasic convertase)	0.0409	0.0371-0.0450	1.43	1.2	1.66	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
201046_s_at	RAD23 homologue A (Saccharomyces cerevisiae)	0.0409	0.0371-0.0450	1.57	1.08	2.32	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
207988_s_at	Actin-related protein 2/3 complex, subunit 2, 34 kDa	0.0395	0.0358-0.0435	1.42	1.29	1.54	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
206445_s_at	HMT1 hnRNP methyltransferase-like 2 (S. cerevisiae)	0.0421	0.0382-0.0462	1.44	1.28	1.61	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
217939_s_at	Hypothetical protein FLJ20080	0.0419	0.0381-0.0460	1.41	1.28	1.58	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
201470_at	Glutathione S-transferase ?1	0.0012	0.0006-0.0021	1.45	1.09	1.91	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
202060_at	SH2 domain binding protein 1 (tetratricopeptide repeat containing)	0.0313	0.0280-0.0349	1.75	1.64	1.87	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
200005_at	Eukaryotic translation initiation factor 3, subunit 7?, 66/67 kDa	0.0112	0.0092-0.0135	1.66	1.15	2.35	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
226622_at	Hypothetical protein FLJ14408	0.0078	0.0062-0.0097	3.39	1.77	4.85	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
202090_s_at	Ubiquinol-cytochrome c reductase (6.4 kDa) subunit¶	0.0189	0.0163-0.0218	1.33	1.1	1.61	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
203190_at	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23 kDa (NADH-coenzyme Q reductase)	0.0289	0.0257-0.0324	1.59	1.41	1.74	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
201077_s_at	NHP2 nonhistone chromosome protein 2-like 1 (S. cerevisiae)¶	0.0418	0.0380-0.0459	1.34	1.2	1.43	Up-regulated in both chemoresistant cell lines and resistant tumor specimens
