Class	Cluster	Accession	Gene name
1	5	NM_000099	Cystatin C
1	5	NM_000636	Superoxide dismutase 2
1	5	NM_001123	Adenosine kinase
1	5	NM_002164	Indoleamine-pyrrole 2,3 dioxygenase
1	5	NM_002166	Inhibitor of DNA binding 2
1	5	NM_002693	Polymerase (DNA directed), gamma
1	5	NM_003507	Frizzled homolog 7
1	5	NM_003651	Cold shock domain protein A
1	5	NM_003651	Mitochondrial ribosomal protein L35
1	5	NM_003831	RIO kinase 3
1	5	NM_003897	Immediate early response 3
1	5	NM_004288	Pleckstrin homology, Sec7 and coiled-coil domains, binding protein
1	5	NM_004985	V-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog
1	5	NM_006294	Ubiquinol-cytochrome c reductase binding protein
1	5	NM_006888	Calmodulin 1 (phosphorylase kinase, delta)
1	5	NM_013384	LAG1 longevity assurance homolog 2
1	5	NM_020529	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
1	5	NM_000998	Ribosomal protein L37a
1	5	NM_001101	Actin, beta
1	5	NM_002046	Glyceraldehyde-3-phosphate dehydrogenase
1	5	NM_003295	Tumor protein, translationally controlled
2	2	NM_000584	Interleukin 8
2	2	NM_000989	Ribosomal protein L30
2	3	NM_001001132	Intersectin 1 (SH3 domain protein)
2	3	NM_001558	Interleukin 10 receptor, alpha
2	3	NM_003330	Thioredoxin reductase 1
2	3	NM_004566	6-Phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
2	3	NM_004723	Rho/rac guanine nucleotide exchange factor (GEF) 2
2	3	NM_021238	Chromosome 12 open reading frame 14
2	3	NM_145071	Cytokine inducible SH2-containing protein
2	4	NM_001636	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6
2	4	NM_002970	Spermidine/spermine N1-acetyltransferase
2	4	NM_004157	Protein kinase, cAMP-dependent, regulatory, type II, alpha
2	4	NM_004417	Dual specificity phosphatase 1
2	4	NM_014723	Syntaphilin
2	4	NM_022757	Hypothetical protein FLJ12892
2	4	NM_030796	Hypothetical protein DKFZp564K0822
